id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3db62a03d4,"Unmounted Butterfly/Papilionidae - Papilio ophidicephalus ophidicephalus, M, A2",https://www.ebay.com/itm/Unmounted-Butterfly-Papilionidae-Papilio-ophidicephalus-ophidicephalus-M-A2/265049211860?hash=item3db62a03d4:g:kucAAOSwR21Z095B,https://i.ebayimg.com/thumbs/images/g/kucAAOSwR21Z095B/s-l225.jpg,$2.67,Feb-24 11:50,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1
item3d9e8a9f2f,"Unmounted Butterfly/Papilionidae - Papilio ophidicephalus ophidicephalus, M, A-",https://www.ebay.com/itm/Unmounted-Butterfly-Papilionidae-Papilio-ophidicephalus-ophidicephalus-M-A/264652889903?hash=item3d9e8a9f2f:g:kucAAOSwR21Z095B,https://i.ebayimg.com/thumbs/images/g/kucAAOSwR21Z095B/s-l225.jpg,$4.81,Feb-10 07:24,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1
item23edbfbe89,Papilionidae Papilio ophidicephalus FEMALE From Esat Usambara Mts.Tanzania,https://www.ebay.com/itm/Papilionidae-Papilio-ophidicephalus-FEMALE-From-Esat-Usambara-Mts-Tanzania/154312621705?hash=item23edbfbe89:g:dO4AAOSw149gFaCE,https://i.ebayimg.com/thumbs/images/g/dO4AAOSw149gFaCE/s-l225.jpg,$21.60,Feb-07 15:02,"Madrid, Spain",machanoides,https://www.ebay.com/usr/machanoides?_trksid=p2047675.l2559,Auction,8,1
item5963dcb7aa,Papilionidae Papilio ophidicephalus FEMALE From Esat Usambara Mts.Tanzania,https://www.ebay.com/itm/Papilionidae-Papilio-ophidicephalus-FEMALE-From-Esat-Usambara-Mts-Tanzania/383927498666?hash=item5963dcb7aa:g:Ek8AAOSwqXVgFaEI,https://i.ebayimg.com/thumbs/images/g/Ek8AAOSwqXVgFaEI/s-l225.jpg,$15.10,Feb-07 14:55,"Madrid, Spain",machanoides,https://www.ebay.com/usr/machanoides?_trksid=p2047675.l2559,Auction,4,1
item28a863ad4b,Butterfly x1 female Papilio ophidicephalus ophidicephalus (Kenya),https://www.ebay.com/itm/Butterfly-x1-female-Papilio-ophidicephalus-ophidicephalus-Kenya/174623796555?hash=item28a863ad4b:g:SWUAAOSwLn5gFoMS,https://i.ebayimg.com/thumbs/images/g/SWUAAOSwLn5gFoMS/s-l225.jpg,$13.91,Feb-07 12:11,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1
item5b565f8c6a,Papilio ophidicephalus phalusco Male * Natal *,https://www.ebay.com/itm/Papilio-ophidicephalus-phalusco-male-Natal/392291126378?hash=item5b565f8c6a:g:IEkAAOSwRJFczuE7,https://i.ebayimg.com/thumbs/images/g/IEkAAOSwRJFczuE7/s-l225.jpg,$91.04,Feb-03 10:07,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Instant,0,1
item287b6e3c29,PAPILIO OPHIDICEPHALUS  Butterfly Papilionidae Tanzania,https://www.ebay.com/itm/PAPILIO-OPHIDICEPHALUS-Butterfly-Papilionidae-Tanzania/173869513769?hash=item287b6e3c29:g:yjQAAOSwtQtcgDuC,https://i.ebayimg.com/thumbs/images/g/yjQAAOSwtQtcgDuC/s-l225.jpg,$7.25,Feb-02 13:19,"Quebec, Quebec, Canada",triple-b-guy,https://www.ebay.com/usr/triple-b-guy?_trksid=p2047675.l2559,Instant,0,1
item23d53d0c8e,Insect Butterfly Wholesale Papilionidae Papilio ophidicephalus-Series of 10!,https://www.ebay.com/itm/Insect-Butterfly-Wholesale-Papilionidae-Papilio-ophidicephalus-Series-of-10/153901403278?hash=item23d53d0c8e:g:iXoAAOSw8~5emhAL,https://i.ebayimg.com/thumbs/images/g/iXoAAOSw8~5emhAL/s-l225.jpg,$30.00,Jan-20 03:26,"Pincher Creek, Alberta, Canada",wynlynwings,https://www.ebay.com/usr/wynlynwings?_trksid=p2047675.l2559,Instant,0,1
item1f1d30182e,Butterfly -  Papilio ophidicephalus? x 2. Male. From Tanzania,https://www.ebay.com/itm/Butterfly-Papilio-ophidicephalus-x-2-Male-From-Tanzania/133633677358?hash=item1f1d30182e:g:22MAAOSw-Dlf-03R,https://i.ebayimg.com/thumbs/images/g/22MAAOSw-Dlf-03R/s-l225.jpg,$9.09,Jan-17 10:52,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1
item59604e6d0f,Papilionidae Papilio ophidicephalus ssp?  from Uluguru Mts.Tanzania,https://www.ebay.com/itm/Papilionidae-Papilio-ophidicephalus-ssp-from-Uluguru-Mts-Tanzania/383867841807?hash=item59604e6d0f:g:UVIAAOSw5Dlf35xc,https://i.ebayimg.com/thumbs/images/g/UVIAAOSw5Dlf35xc/s-l225.jpg,$6.50,Dec-27 13:47,"Madrid, Spain",machanoides,https://www.ebay.com/usr/machanoides?_trksid=p2047675.l2559,Auction,4,1
