id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item1cadac5d3e,"LEPIDOPTERA, PAPILIONIDAE, PAPILIO ORIBAZUS from MADAGASCAR",https://www.ebay.com/itm/LEPIDOPTERA-PAPILIONIDAE-PAPILIO-ORIBAZUS-from-MADAGASCAR/123172838718?hash=item1cadac5d3e:g:fcUAAOSw2spbFbrM,https://i.ebayimg.com/thumbs/images/g/fcUAAOSw2spbFbrM/s-l225.jpg,$4.12,Feb-24 14:55,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,1
item56f01778f0,"Papilio oribazus, good A-, UNMOUNTED butterfy",https://www.ebay.com/itm/Papilio-oribazus-good-A-UNMOUNTED-butterfy/373395257584?hash=item56f01778f0:g:YxUAAOSwMiFgBxSo,https://i.ebayimg.com/thumbs/images/g/YxUAAOSwMiFgBxSo/s-l225.jpg,$2.90,Feb-24 01:10,"default, Czech Republic, Czech Republic",wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,1
item1cb7a55698,"Papilio oribazus Male EX Madagascar, n346",https://www.ebay.com/itm/Papilio-oribazus-Mannchen-ex-Madagascar-n346/123340150424?hash=item1cb7a55698:g:~WIAAOSwRtNbhrtg,https://i.ebayimg.com/thumbs/images/g/~WIAAOSwRtNbhrtg/s-l225.jpg,$16.99,Feb-19 03:50,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1
item3b56b99608,2 butterflies under glass taxidermy papilio oribazus papilio palinurus tbe +++,https://www.ebay.com/itm/2-papillons-sous-verre-taxidermie-papilio-oribazus-papilio-palinurus-TBE/254858073608?hash=item3b56b99608:g:ho0AAOSwcQ9gHpX~,https://i.ebayimg.com/thumbs/images/g/ho0AAOSwcQ9gHpX~/s-l225.jpg,$49.16,Feb-13 10:26,"NORMANDIE, France",laurentgateau,https://www.ebay.com/usr/laurentgateau?_trksid=p2047675.l2559,Auction,20,1
item5963dcf1da,Papilionidae Papilio oribazus from Madagascar,https://www.ebay.com/itm/Papilionidae-Papilio-oribazus-from-Madagascar/383927513562?hash=item5963dcf1da:g:tmkAAOSw3GZgFaV3,https://i.ebayimg.com/thumbs/images/g/tmkAAOSw3GZgFaV3/s-l225.jpg,$2.10,Feb-07 14:36,"Madrid, Spain",machanoides,https://www.ebay.com/usr/machanoides?_trksid=p2047675.l2559,Auction,1,1
item4b299f3135,MB01/50 A+/A Papilio oribazus Butterflies & Moths Swallowtail Papilio,https://www.ebay.com/itm/MB01-50-A-A-Papilio-oribazus-Butterflies-Moths-Swallowtail-Papilio/322820845877?hash=item4b299f3135:g:SFoAAOSwy2tZznhu,https://i.ebayimg.com/thumbs/images/g/SFoAAOSwy2tZznhu/s-l225.jpg,$55.00,Feb-03 14:31,"Southport, North Carolina, United States",budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,1
item264ceca499,"Papilio oribazus, Framed Butterfly, real butterfly, real insect",https://www.ebay.com/itm/Papilio-oribazus-Framed-Butterfly-real-butterfly-real-insect/164499334297?hash=item264ceca499:g:-mMAAOSwR-NgCKao,https://i.ebayimg.com/thumbs/images/g/-mMAAOSwR-NgCKao/s-l225.jpg,$34.95,Jan-27 09:02,"Worksop, United Kingdom",leclaire1985,https://www.ebay.com/usr/leclaire1985?_trksid=p2047675.l2559,Instant,0,1
item1cfe89ca66,Papilio oribazus Male EX Madagascar n133,https://www.ebay.com/itm/Papilio-oribazus-Mannchen-ex-Madagascar-n133/124529527398?hash=item1cfe89ca66:g:gmQAAOSwt35gAcBw,https://i.ebayimg.com/thumbs/images/g/gmQAAOSwt35gAcBw/s-l225.jpg,$21.85,Jan-27 07:14,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1
item264cecac46,Papilio oribazus,https://www.ebay.com/itm/Papilio-oribazus/164499336262?hash=item264cecac46:g:9OUAAOSwwkZfqEhR,https://i.ebayimg.com/thumbs/images/g/9OUAAOSwwkZfqEhR/s-l225.jpg,$11.11,Jan-27 05:08,"Worksop, United Kingdom",leclaire1985,https://www.ebay.com/usr/leclaire1985?_trksid=p2047675.l2559,Instant,0,1
item4b27f9e1e9,MB 01/10  A+/A  Papilio oribazus    FEBRUARY SALE Papilio,https://www.ebay.com/itm/MB-01-10-A-A-Papilio-oribazus-FEBRUARY-SALE-Papilio/322793234921?hash=item4b27f9e1e9:g:SFoAAOSwy2tZznhu,https://i.ebayimg.com/thumbs/images/g/SFoAAOSwy2tZznhu/s-l225.jpg,$14.50,Jan-02 15:07,"Southport, North Carolina, United States",budgetbutterfly,https://www.ebay.com/usr/budgetbutterfly?_trksid=p2047675.l2559,Instant,0,1
