id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3674c51cb0,0610# PARNASSIUS SMINTHEUS SMINTHEUS MALE - UNMOUNTED,https://www.ebay.com/itm/0610-PARNASSIUS-SMINTHEUS-SMINTHEUS-MALE-UNMOUNTED/233887308976?hash=item3674c51cb0:g:y4oAAOSwsAVgH7zY,https://i.ebayimg.com/thumbs/images/g/y4oAAOSwsAVgH7zY/s-l225.jpg,$12.95,Feb-14 10:55,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,2,1
item3674c51cac,0803# PARNASSIUS SMINTHEUS SAYII MALE - UNMOUNTED,https://www.ebay.com/itm/0803-PARNASSIUS-SMINTHEUS-SAYII-MALE-UNMOUNTED/233887308972?hash=item3674c51cac:g:rpcAAOSw655gH7zY,https://i.ebayimg.com/thumbs/images/g/rpcAAOSw655gH7zY/s-l225.jpg,$9.95,Feb-14 10:54,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,1,1
item4dbce6be23,0653# PARNASSIUS SMINTHEUS MAGNUS MALE (N WA)  - UNMOUNTED,https://www.ebay.com/itm/0653-PARNASSIUS-SMINTHEUS-MAGNUS-MALE-N-WA-UNMOUNTED/333881720355?hash=item4dbce6be23:g:6T4AAOSw8b1gH7zb,https://i.ebayimg.com/thumbs/images/g/6T4AAOSw8b1gH7zb/s-l225.jpg,$14.95,Feb-14 10:52,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,1,1
item3674c51cc0,0832# PARNASSIUS SMINTHEUS HERMODUR MALE - UNMOUNTED,https://www.ebay.com/itm/0832-PARNASSIUS-SMINTHEUS-HERMODUR-MALE-UNMOUNTED/233887308992?hash=item3674c51cc0:g:WRgAAOSw5iJgH7zb,https://i.ebayimg.com/thumbs/images/g/WRgAAOSw5iJgH7zb/s-l225.jpg,$10.45,Feb-14 10:51,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,3,1
item2656d477be,PAPILIONIDAE Parnassius smintheus magnus FEMALE Canada British Columbia RARE,https://www.ebay.com/itm/PAPILIONIDAE-Parnassius-smintheus-magnus-FEMALE-Canada-British-Columbia-RARE/164665522110?hash=item2656d477be:g:4dIAAOSwOA9ft4or,https://i.ebayimg.com/thumbs/images/g/4dIAAOSwOA9ft4or/s-l225.jpg,$30.00,Jan-31 10:19,"Europe, Poland",americaninsects-world,https://www.ebay.com/usr/americaninsects-world?_trksid=p2047675.l2559,Auction,1,1
item28a76b4f52,Parnassius smintheus FEMALE!!!! PAR 60 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-FEMALE-PAR-60-Alberta-Canada-Butterfly-Nice-Variation/174607519570?hash=item28a76b4f52:g:4IAAAOSwMa9gC3O8,https://i.ebayimg.com/thumbs/images/g/4IAAAOSwMa9gC3O8/s-l225.jpg,$26.07,Jan-29 16:55,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,23,1
item2afcf78fa1,Parnassius smintheus PAR 59 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-59-Alberta-Canada-Butterfly-Nice-Variation/184632709025?hash=item2afcf78fa1:g:JUgAAOSwiAJgC3N5,https://i.ebayimg.com/thumbs/images/g/JUgAAOSwiAJgC3N5/s-l225.jpg,$8.38,Jan-29 16:53,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,6,1
item28a76b491d,Parnassius smintheus PAR 58 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-58-Alberta-Canada-Butterfly-Nice-Variation/174607517981?hash=item28a76b491d:g:YyUAAOSwSpBgC3M2,https://i.ebayimg.com/thumbs/images/g/YyUAAOSwSpBgC3M2/s-l225.jpg,$7.90,Jan-29 16:52,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,9,1
item28a76b477b,Parnassius smintheus PAR 57 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-57-Alberta-Canada-Butterfly-Nice-Variation/174607517563?hash=item28a76b477b:g:ybsAAOSwk1VgC3MG,https://i.ebayimg.com/thumbs/images/g/ybsAAOSwk1VgC3MG/s-l225.jpg,$7.99,Jan-29 16:51,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,5,1
item28a76b4647,Parnassius smintheus PAR 56 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-56-Alberta-Canada-Butterfly-Nice-Variation/174607517255?hash=item28a76b4647:g:IzIAAOSwXAlgC3LV,https://i.ebayimg.com/thumbs/images/g/IzIAAOSwXAlgC3LV/s-l225.jpg,$7.90,Jan-29 16:50,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,6,1
item28a76b41da,Parnassius smintheus PAR 55 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-55-Alberta-Canada-Butterfly-Nice-Variation/174607516122?hash=item28a76b41da:g:lRsAAOSw~CJgC3Kj,https://i.ebayimg.com/thumbs/images/g/lRsAAOSw~CJgC3Kj/s-l225.jpg,$8.38,Jan-29 16:49,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,7,1
item28a76b3e7b,Parnassius smintheus PAR 54 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-54-Alberta-Canada-Butterfly-Nice-Variation/174607515259?hash=item28a76b3e7b:g:vdEAAOSwzPpgC3Jr,https://i.ebayimg.com/thumbs/images/g/vdEAAOSwzPpgC3Jr/s-l225.jpg,$8.69,Jan-29 16:49,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,9,1
item2afcf77dda,Parnassius smintheus PAR 53 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-53-Alberta-Canada-Butterfly-Nice-Variation/184632704474?hash=item2afcf77dda:g:B30AAOSwSGRgC3I5,https://i.ebayimg.com/thumbs/images/g/B30AAOSwSGRgC3I5/s-l225.jpg,$7.90,Jan-29 16:48,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,8,1
item2afcf77c49,Parnassius smintheus PAR 52 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-52-Alberta-Canada-Butterfly-Nice-Variation/184632704073?hash=item2afcf77c49:g:5AYAAOSwL8hgC3IA,https://i.ebayimg.com/thumbs/images/g/5AYAAOSwL8hgC3IA/s-l225.jpg,$7.90,Jan-29 16:47,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,7,1
item2afcf77ad0,Parnassius smintheus PAR 51 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-51-Alberta-Canada-Butterfly-Nice-Variation/184632703696?hash=item2afcf77ad0:g:9AoAAOSwrv1gC3HR,https://i.ebayimg.com/thumbs/images/g/9AoAAOSwrv1gC3HR/s-l225.jpg,$7.90,Jan-29 16:46,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,8,1
item28a76b389a,Parnassius smintheus PAR 50 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR-50-Alberta-Canada-Butterfly-Nice-Variation/174607513754?hash=item28a76b389a:g:Gw0AAOSw1q1gC3GK,https://i.ebayimg.com/thumbs/images/g/Gw0AAOSw1q1gC3GK/s-l225.jpg,$7.90,Jan-29 16:45,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,6,1
item28a5a55bf8,Parnassius smintheus FEMALE !!!!PAR711 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-FEMALE-PAR711-Alberta-Canada-Butterfly-Nice-Variation/174577769464?hash=item28a5a55bf8:g:bqEAAOSw2d9f7ReB,https://i.ebayimg.com/thumbs/images/g/bqEAAOSw2d9f7ReB/s-l225.jpg,$33.65,Jan-06 16:13,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,25,1
item28a5a5588c,Parnassius smintheus PAR710 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR710-Alberta-Canada-Butterfly-Nice-Variation/174577768588?hash=item28a5a5588c:g:c7UAAOSw5SJf7Rcb,https://i.ebayimg.com/thumbs/images/g/c7UAAOSw5SJf7Rcb/s-l225.jpg,$17.77,Jan-06 16:11,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,15,1
item28a5a55548,Parnassius smintheus PAR709 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR709-Alberta-Canada-Butterfly-Nice-Variation/174577767752?hash=item28a5a55548:g:xy0AAOSwWZlf7RbT,https://i.ebayimg.com/thumbs/images/g/xy0AAOSwWZlf7RbT/s-l225.jpg,$11.45,Jan-06 16:10,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,11,1
item2afb29201e,Parnassius smintheus PAR708 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR708-Alberta-Canada-Butterfly-Nice-Variation/184602402846?hash=item2afb29201e:g:4VoAAOSwNzRf7RaE,https://i.ebayimg.com/thumbs/images/g/4VoAAOSwNzRf7RaE/s-l225.jpg,$17.06,Jan-06 16:08,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,10,1
item28a5a5518a,Parnassius smintheus PAR707 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR707-Alberta-Canada-Butterfly-Nice-Variation/174577766794?hash=item28a5a5518a:g:IXwAAOSw2Glf7RY0,https://i.ebayimg.com/thumbs/images/g/IXwAAOSw2Glf7RY0/s-l225.jpg,$14.30,Jan-06 16:07,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,7,1
item28a5a54e99,Parnassius smintheus PAR706 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR706-Alberta-Canada-Butterfly-Nice-Variation/174577766041?hash=item28a5a54e99:g:ZWQAAOSwhWBf7RW3,https://i.ebayimg.com/thumbs/images/g/ZWQAAOSwhWBf7RW3/s-l225.jpg,$13.51,Jan-06 16:05,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,6,1
item28a5a54c5f,Parnassius smintheus PAR705 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR705-Alberta-Canada-Butterfly-Nice-Variation/174577765471?hash=item28a5a54c5f:g:YesAAOSw8Stf7RVr,https://i.ebayimg.com/thumbs/images/g/YesAAOSw8Stf7RVr/s-l225.jpg,$13.90,Jan-06 16:04,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,10,1
item2afb29148e,Parnassius smintheus PAR704 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR704-Alberta-Canada-Butterfly-Nice-Variation/184602399886?hash=item2afb29148e:g:Xo8AAOSw4BZf7RUo,https://i.ebayimg.com/thumbs/images/g/Xo8AAOSw4BZf7RUo/s-l225.jpg,$8.51,Jan-06 16:03,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,6,1
item2afb2912b6,Parnassius smintheus PAR703 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR703-Alberta-Canada-Butterfly-Nice-Variation/184602399414?hash=item2afb2912b6:g:EwgAAOSwPMpf7RTk,https://i.ebayimg.com/thumbs/images/g/EwgAAOSwPMpf7RTk/s-l225.jpg,$13.11,Jan-06 16:01,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,13,1
item2afb29056a,Parnassius smintheus PAR702 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR702-Alberta-Canada-Butterfly-Nice-Variation/184602396010?hash=item2afb29056a:g:rhkAAOSwmGNf7RSC,https://i.ebayimg.com/thumbs/images/g/rhkAAOSwmGNf7RSC/s-l225.jpg,$13.03,Jan-06 16:00,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,9,1
item2afb28f18d,Parnassius smintheus PAR701 Alberta Canada Butterfly Nice Variation!!,https://www.ebay.com/itm/Parnassius-smintheus-PAR701-Alberta-Canada-Butterfly-Nice-Variation/184602390925?hash=item2afb28f18d:g:OqsAAOSwgjFf7RQM,https://i.ebayimg.com/thumbs/images/g/OqsAAOSwgjFf7RQM/s-l225.jpg,$12.72,Jan-06 15:59,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,7,1
item28a5a53598,Parnassius smintheus PAR700 Alberta Canada Butterfly,https://www.ebay.com/itm/Parnassius-smintheus-PAR700-Alberta-Canada-Butterfly/174577759640?hash=item28a5a53598:g:TS8AAOSwf6xf7RIj,https://i.ebayimg.com/thumbs/images/g/TS8AAOSwf6xf7RIj/s-l225.jpg,$9.95,Jan-06 15:57,"Regina, Saskatchewan, Canada",tims_bugs,https://www.ebay.com/usr/tims_bugs?_trksid=p2047675.l2559,Auction,10,1
item4dba4f0cd9,0611# PARNASSIUS SMINTHEUS SMINTHEUS MALE - UNMOUNTED,https://www.ebay.com/itm/0611-PARNASSIUS-SMINTHEUS-SMINTHEUS-MALE-UNMOUNTED/333838224601?hash=item4dba4f0cd9:g:WcwAAOSwmGNf6DAs,https://i.ebayimg.com/thumbs/images/g/WcwAAOSwmGNf6DAs/s-l225.jpg,$14.95,Jan-03 10:36,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,4,1
item4dba4f0ccb,0145# PARNASSIUS SMINTHEUS SAYII MALE - UNMOUNTED,https://www.ebay.com/itm/0145-PARNASSIUS-SMINTHEUS-SAYII-MALE-UNMOUNTED/333838224587?hash=item4dba4f0ccb:g:ANgAAOSwE~Rf6DAp,https://i.ebayimg.com/thumbs/images/g/ANgAAOSwE~Rf6DAp/s-l225.jpg,$14.95,Jan-03 10:35,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,2,1
item4dba4f0ce3,0573# PARNASSIUS SMINTHEUS OLYMPIANNA MALE - UNMOUNTED,https://www.ebay.com/itm/0573-PARNASSIUS-SMINTHEUS-OLYMPIANNA-MALE-UNMOUNTED/333838224611?hash=item4dba4f0ce3:g:u94AAOSwfR5f6DAr,https://i.ebayimg.com/thumbs/images/g/u94AAOSwfR5f6DAr/s-l225.jpg,$59.95,Jan-03 10:33,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,2,1
item26524e7d84,Insect Butterfly Moth Papilionidae Parnassius smintheus! 0534 PAR SMI M 20,https://www.ebay.com/itm/Insect-Butterfly-Moth-Papilionidae-Parnassius-smintheus-0534-PAR-SMI-M-20/164589632900?hash=item26524e7d84:g:XjcAAOSwT3hf39pZ,https://i.ebayimg.com/thumbs/images/g/XjcAAOSwT3hf39pZ/s-l225.jpg,$5.50,Dec-27 18:12,"Pincher Creek, Alberta, Canada",wynlynwings,https://www.ebay.com/usr/wynlynwings?_trksid=p2047675.l2559,Auction,3,1
item4db9e33007,1667# PARNASSIUS SMINTHEUS HERMODUR X 2 - UNMOUNTED,https://www.ebay.com/itm/1667-PARNASSIUS-SMINTHEUS-HERMODUR-X-2-UNMOUNTED/333831155719?hash=item4db9e33007:g:w-4AAOSwh0Bf3vTf,https://i.ebayimg.com/thumbs/images/g/w-4AAOSwh0Bf3vTf/s-l225.jpg,$14.95,Dec-27 10:21,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,2,1
item36714188b0,0146# PARNASSIUS SMINTHEUS SAYII MALE - UNMOUNTED,https://www.ebay.com/itm/0146-PARNASSIUS-SMINTHEUS-SAYII-MALE-UNMOUNTED/233828354224?hash=item36714188b0:g:dCMAAOSwlvpf3vTf,https://i.ebayimg.com/thumbs/images/g/dCMAAOSwlvpf3vTf/s-l225.jpg,$14.95,Dec-27 10:19,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,1,1
item3670b5c342,0805# PARNASSIUS SMINTHEUS MAGNUS MALE - UNMOUNTED,https://www.ebay.com/itm/0805-PARNASSIUS-SMINTHEUS-MAGNUS-MALE-UNMOUNTED/233819194178?hash=item3670b5c342:g:2oQAAOSwCStf1ZpD,https://i.ebayimg.com/thumbs/images/g/2oQAAOSwCStf1ZpD/s-l225.jpg,$27.00,Dec-20 11:08,"CA, United States",insectseller,https://www.ebay.com/usr/insectseller?_trksid=p2047675.l2559,Auction,14,1
