id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item5494fed9b7,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/363276982711?hash=item5494fed9b7:g:HnwAAOSwAnZgFZAI,https://i.ebayimg.com/thumbs/images/g/HnwAAOSwAnZgFZAI/s-l225.jpg,$3.51,Feb-06 10:54,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item56f22154b0,"PARTHENOS TIGRINA SSP. MALE FROM TIMIKA, IRIAN JAYA",https://www.ebay.com/itm/PARTHENOS-TIGRINA-SSP-MALE-FROM-TIMIKA-IRIAN-JAYA/373429458096?hash=item56f22154b0:g:Q1UAAOSwvKNgAdGS,https://i.ebayimg.com/thumbs/images/g/Q1UAAOSwvKNgAdGS/s-l225.jpg,$8.00,Jan-23 10:41,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
item56f2215327,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/373429457703?hash=item56f2215327:g:URcAAOSwsWFgAdF0,https://i.ebayimg.com/thumbs/images/g/URcAAOSwsWFgAdF0/s-l225.jpg,$6.00,Jan-23 10:40,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
item56f1bd8b44,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL  ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/373422918468?hash=item56f1bd8b44:g:Ez0AAOSwrl1f-ZVi,https://i.ebayimg.com/thumbs/images/g/Ez0AAOSwrl1f-ZVi/s-l225.jpg,$9.05,Jan-16 10:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1
item5492fde5b9,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/363243365817?hash=item5492fde5b9:g:7L8AAOSwzVdf8JUj,https://i.ebayimg.com/thumbs/images/g/7L8AAOSwzVdf8JUj/s-l225.jpg,$3.91,Jan-09 10:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1
item5492fde45b,"PARTHENOS TIGRINA TIGRINA MALE FROM SORONG, IRIAN JAYA",https://www.ebay.com/itm/PARTHENOS-TIGRINA-TIGRINA-MALE-FROM-SORONG-IRIAN-JAYA/363243365467?hash=item5492fde45b:g:qAsAAOSwjkFf8JUF,https://i.ebayimg.com/thumbs/images/g/qAsAAOSwjkFf8JUF/s-l225.jpg,$4.69,Jan-09 10:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1
item56f0c73b40,"PARTHENOS TIGRINA SSP.  MALE FROM TIMIKA, IRIAN JAYA",https://www.ebay.com/itm/PARTHENOS-TIGRINA-SSP-MALE-FROM-TIMIKA-IRIAN-JAYA/373406776128?hash=item56f0c73b40:g:EqYAAOSw22Ff52CK,https://i.ebayimg.com/thumbs/images/g/EqYAAOSw22Ff52CK/s-l225.jpg,$2.25,Jan-02 10:35,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item549281c7ac,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/363235231660?hash=item549281c7ac:g:TiEAAOSwdhNf52Br,https://i.ebayimg.com/thumbs/images/g/TiEAAOSwdhNf52Br/s-l225.jpg,$5.50,Jan-02 10:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item56ee530e1c,PARTHENOS TIGRINA MYSOLICA MALE FROM MISOOL ISL.,https://www.ebay.com/itm/PARTHENOS-TIGRINA-MYSOLICA-MALE-FROM-MISOOL-ISL/373365607964?hash=item56ee530e1c:g:ZfoAAOSwxF5fvoKv,https://i.ebayimg.com/thumbs/images/g/ZfoAAOSwxF5fvoKv/s-l225.jpg,$4.25,Dec-05 10:45,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1
item56ee530ac0,"PARTHENOS TIGRINA TIGRINA MALE FROM SORONG, IRIAN JAYA",https://www.ebay.com/itm/PARTHENOS-TIGRINA-TIGRINA-MALE-FROM-SORONG-IRIAN-JAYA/373365607104?hash=item56ee530ac0:g:Ya8AAOSw-RlfvoKJ,https://i.ebayimg.com/thumbs/images/g/Ya8AAOSw-RlfvoKJ/s-l225.jpg,$2.25,Dec-05 10:44,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1
