id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item219ea24d55,AGRIAS BEATIFICA x AGRIAS CLAUDINA Hybrid females #3,https://www.ebay.com/itm/144395357525?hash=item219ea24d55:g:BW8AAOSwO05h-uI5,https://i.ebayimg.com/thumbs/images/g/BW8AAOSwO05h-uI5/s-l225.jpg,$88.73,Mar-01 13:41,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,1,
item21a05aea08,"ENTOMOLOGY, BUTTERFLY: HYBRID PREPONA DEXAMENES X AGRIAS BEATIFICA MALE PERU",https://www.ebay.com/itm/144424233480?hash=item21a05aea08:g:wfMAAOSwrlliEodL,https://i.ebayimg.com/thumbs/images/g/wfMAAOSwrlliEodL/s-l225.jpg,$16.50,Feb-27 10:24,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,7,1,"Feb 27, 2022

10:24:19 PST"
item4dd80f0b26,FANTASTIC AGRIAS BEATIFICA STUARTI FORMA MALE NYMPHALIIDAE NYMPHALIDAE PERU,https://www.ebay.com/itm/334337346342?hash=item4dd80f0b26:g:Q7gAAOSw4ORiEoGL,https://i.ebayimg.com/thumbs/images/g/Q7gAAOSw4ORiEoGL/s-l225.jpg,$51.00,Feb-27 10:00,"Azay le Rideau, France",ameriana15,https://www.ebay.com/usr/ameriana15?_trksid=p2047675.l2559,Auction,9,1,"Feb 27, 2022

10:00:19 PST"
item5df1597a23,AGRIAS BEATIFICA LACHAUMEI female A1 (Peru) No67,https://www.ebay.com/itm/403481131555?hash=item5df1597a23:g:5HQAAOSw2q5hhV8H,https://i.ebayimg.com/thumbs/images/g/5HQAAOSw2q5hhV8H/s-l225.jpg,$30.00,Feb-27 09:58,"StPetersburg, Russian Federation",insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

09:58:50 PST"
item36952cca01,Entomology Butterfly: AGRIAS BEATIFICA LACHAUMEI ♂ Peru #6,https://www.ebay.com/itm/234430974465?hash=item36952cca01:g:if4AAOSwHddiEkYF,https://i.ebayimg.com/thumbs/images/g/if4AAOSwHddiEkYF/s-l225.jpg,$9.03,Feb-27 09:36,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,5,1,"Feb 27, 2022

09:36:00 PST"
item4dd70f9195,Butterfly- 1 x set male Agrias beatifica x Prepona dexamenes hybrid (V.Gd A1-),https://www.ebay.com/itm/334320603541?hash=item4dd70f9195:g:iOcAAOSwjHBiAQ8V,https://i.ebayimg.com/thumbs/images/g/iOcAAOSwjHBiAQ8V/s-l225.jpg,$43.61,Feb-26 22:09,"Louth, United Kingdom",Unknown,Unknown,Instant,0,1,
item2b250079b4,RARE HYBRID AGRIAS AMYDON X AGRIAS BEATIFICA LACHAUMEI MALE SPECIAL COLORS #11,https://www.ebay.com/itm/185304381876?hash=item2b250079b4:g:fLQAAOSw3SZh1iR-,https://i.ebayimg.com/thumbs/images/g/fLQAAOSw3SZh1iR-/s-l225.jpg,$59.99,Feb-26 21:18,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Feb 26, 2022

21:18:56 PST"
item219fd9e517,NYMPHALIDAE Agrias beatifica lachaumei FEMALE Red Scales from PERU mounted #326,https://www.ebay.com/itm/144415778071?hash=item219fd9e517:g:WywAAOSwKuhiBZOp,https://i.ebayimg.com/thumbs/images/g/WywAAOSwKuhiBZOp/s-l225.jpg,$6.50,Feb-22 12:43,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,4,1,"Feb 22, 2022

12:43:50 PST"
item219fd9e530,NYMPHALIDAE Agrias beatifica lachaumei MALE from PERU mounted #460,https://www.ebay.com/itm/144415778096?hash=item219fd9e530:g:IbsAAOSwQWtiBYyp,https://i.ebayimg.com/thumbs/images/g/IbsAAOSwQWtiBYyp/s-l225.jpg,$15.50,Feb-22 11:30,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,13,1,"Feb 22, 2022

11:30:29 PST"
item219fd9e52b,NYMPHALIDAE Agrias beatifica lachaumei FEMALE from PERU mounted #721,https://www.ebay.com/itm/144415778091?hash=item219fd9e52b:g:6REAAOSwx0diBY0z,https://i.ebayimg.com/thumbs/images/g/6REAAOSwx0diBY0z/s-l225.jpg,$6.50,Feb-22 11:22,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,6,1,"Feb 22, 2022

11:22:38 PST"
item219fa9442f,"+ ENTOMOLOGY, BUTTERFLY: HYBRID PREPONA DEXAMENES X AGRIAS BEATIFICA MALE +++",https://www.ebay.com/itm/144412591151?hash=item219fa9442f:g:s2EAAOSwtVhiCUzm,https://i.ebayimg.com/thumbs/images/g/s2EAAOSwtVhiCUzm/s-l225.jpg,$36.00,Feb-20 10:24,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,34,1,"Feb 20, 2022

10:24:47 PST"
item219fa8fab9,"+ ENTOMOLOGY, BUTTERFLY: 4X AGRIAS BEATIFICA X CLAUDINA HYBRID FEM UNPREPARED #4",https://www.ebay.com/itm/144412572345?hash=item219fa8fab9:g:HzcAAOSwksliCUj6,https://i.ebayimg.com/thumbs/images/g/HzcAAOSwksliCUj6/s-l225.jpg,$92.52,Feb-20 10:08,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,9,1,"Feb 20, 2022

10:08:15 PST"
