id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item219ea24d55,AGRIAS BEATIFICA x AGRIAS CLAUDINA Hybrid females #3,https://www.ebay.com/itm/144395357525?hash=item219ea24d55:g:BW8AAOSwO05h-uI5,https://i.ebayimg.com/thumbs/images/g/BW8AAOSwO05h-uI5/s-l225.jpg,$88.73,Mar-01 13:41,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Instant,0,1,
item5df1598f63,"AGRIAS CLAUDINA LUGENS female A1+ (Tingo maria, Peru) No64",https://www.ebay.com/itm/403481136995?hash=item5df1598f63:g:Gj8AAOSwCbJhhVh-,https://i.ebayimg.com/thumbs/images/g/Gj8AAOSwCbJhhVh-/s-l225.jpg,$50.00,Feb-27 10:03,"StPetersburg, Russian Federation",insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

10:03:16 PST"
item5df15970f1,AGRIAS CLAUDINA LUGENS male (Peru),https://www.ebay.com/itm/403481129201?hash=item5df15970f1:g:7wwAAOSw~E5hhXgw,https://i.ebayimg.com/thumbs/images/g/7wwAAOSw~E5hhXgw/s-l225.jpg,$28.00,Feb-27 09:55,"StPetersburg, Russian Federation",insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

09:55:51 PST"
item36952cda98,Entomology Butterfly: Hybrid AGRIAS CLAUDINA x A. BEATIFICA ♀ Peru #7,https://www.ebay.com/itm/234430978712?hash=item36952cda98:g:mXgAAOSwrcFiEkZo,https://i.ebayimg.com/thumbs/images/g/mXgAAOSwrcFiEkZo/s-l225.jpg,$11.28,Feb-27 09:37,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,5,1,"Feb 27, 2022

09:37:10 PST"
item2b243284b7,LOT OF 2 HYBRID AGRIAS CLAUDINA LUGENS X PREPONA DEXAMENUS MALE WINGS CLOSED,https://www.ebay.com/itm/185290884279?hash=item2b243284b7:g:yDkAAOSwIMZhx7~x,https://i.ebayimg.com/thumbs/images/g/yDkAAOSwIMZhx7~x/s-l225.jpg,$99.99,Feb-23 14:52,"Miami, Florida, United States",Unknown,Unknown,Instant,0,3,
item52262be799,Entomology nymphalidae Agrias claudina (sahlkei) claudina couple Brazil-para,https://www.ebay.com/itm/352827729817?hash=item52262be799:g:YE0AAOSwL-Fdocwx,https://i.ebayimg.com/thumbs/images/g/YE0AAOSwL-Fdocwx/s-l225.jpg,$358.30,Feb-21 07:32,"Trosly-Breuil, France",hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,1,
item267e49bd1d,LEPIDOPTERA/NYMPHALIDAE/CHARAXINAE AGRIAS CLAUDINA SSP ? MALE URUBU RIVER BRAZIL,https://www.ebay.com/itm/165327519005?hash=item267e49bd1d:g:DTEAAOSwn5diBJrg,https://i.ebayimg.com/thumbs/images/g/DTEAAOSwn5diBJrg/s-l225.jpg,$88.00,Feb-14 20:56,"Iquitos, Peru",loretosales,https://www.ebay.com/usr/loretosales?_trksid=p2047675.l2559,Auction,11,1,"Feb 14, 2022

20:56:45 PST"
item267e49bb09,LEPIDOPTERA/NYMPHALIDAE/CHARAXINAE AGRIAS CLAUDINA SSP ? FEMALE BRAZIL,https://www.ebay.com/itm/165327518473?hash=item267e49bb09:g:4wcAAOSwmXxiBJpX,https://i.ebayimg.com/thumbs/images/g/4wcAAOSwmXxiBJpX/s-l225.jpg,$156.50,Feb-14 20:54,"Iquitos, Peru",loretosales,https://www.ebay.com/usr/loretosales?_trksid=p2047675.l2559,Auction,8,1,"Feb 14, 2022

20:54:46 PST"
item2b1fc1dcad,RARE HYBRID AGRIAS CLAUDINA LUGENS X PREPONA DEXAMENUS MALE SPECIAL COLORS.,https://www.ebay.com/itm/185216392365?hash=item2b1fc1dcad:g:SkkAAOSws45huqEZ,https://i.ebayimg.com/thumbs/images/g/SkkAAOSws45huqEZ/s-l225.jpg,$99.99,Feb-14 09:03,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Instant,0,1,
item3dc22fa438,"Unmounted Butterfly / Nymphalidae - Agrias claudina sardanapalus, male, Peru",https://www.ebay.com/itm/265250907192?hash=item3dc22fa438:g:r4MAAOSwF59hCBmk,https://i.ebayimg.com/thumbs/images/g/r4MAAOSwF59hCBmk/s-l225.jpg,$42.70,Feb-14 09:03,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1,
