id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item46d5f230dd,AUTO WORLD 1:64 2021 PREMIUM #6 R1/A 1993 Toyota Supra (Alpine Silver),https://www.ebay.com/itm/304237129949?epid=10044271514&hash=item46d5f230dd:g:qkQAAOSws9BhnWb4,https://i.ebayimg.com/thumbs/images/g/qkQAAOSws9BhnWb4/s-l225.jpg,$7.99,Feb-27 19:39,Unknown,Unknown,Unknown,Instant,0,1,
item3b293f564a,Paint marker for LEXUS 199 ALPINE SILVER 20 ml + clear coat 20 ml,https://www.ebay.com/itm/254095087178?hash=item3b293f564a:g:SvAAAOSwsZhcSu5b,https://i.ebayimg.com/thumbs/images/g/SvAAAOSwsZhcSu5b/s-l225.jpg,$17.86,Feb-25 03:09,"Pforzheim, Baden-Wôrttemberg, Germany",dropedo-shop,https://www.ebay.com/usr/dropedo-shop?_trksid=p2047675.l2559,Instant,0,1,
item526729e8a1,Antique Vintage Mechanical Pocket Watch Alpine Silver,https://www.ebay.com/itm/353918118049?hash=item526729e8a1:g:k28AAOSwW1lh9u1i,https://i.ebayimg.com/thumbs/images/g/k28AAOSwW1lh9u1i/s-l225.jpg,$16.00,Feb-24 12:29,"Santa Ana, California, United States",ehuela,https://www.ebay.com/usr/ehuela?_trksid=p2047675.l2559,Auction,9,1,"Feb 24, 2022

12:29:15 PST"
item1eed382535,Front & Rear Outer Door Handle For 1998-2002 Toyota Corolla Alpine Silver 199,https://www.ebay.com/itm/132828898613?epid=253690688&hash=item1eed382535:g:IcQAAOSwU7lf0yHz&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/IcQAAOSwU7lf0yHz/s-l225.jpg,$48.74,Feb-22 17:34,"Deerfield Beach, Florida, United States",Unknown,Unknown,Instant,0,9,
item5b897d7082,AUTOWORLD 1993 TOYOTA SUPRA ALPINE SILVER 1/64 DIECAST MODEL CAR 64302-AWSP064 A,https://www.ebay.com/itm/393148723330?epid=10044271514&hash=item5b897d7082:g:-KUAAOSw29xgNEfr,https://i.ebayimg.com/thumbs/images/g/-KUAAOSw29xgNEfr/s-l225.jpg,$6.90,Feb-21 22:48,"Hacienda Heights, California, United States",Unknown,Unknown,Instant,0,4,
item3b571c01fe,LEXUS Genuine OEM Touch Up Paint - PICK YOUR COLOR,https://www.ebay.com/itm/254864523774?var=554705608356&hash=item3b571c01fe:g:DcYAAOSwgjtgJaZ3,https://i.ebayimg.com/thumbs/images/g/DcYAAOSwgjtgJaZ3/s-l225.jpg,$15.99 to $31.98,Feb-18 19:08,"Portland, Oregon, United States",Unknown,Unknown,Instant,0,96,
item4dd2cb443d,Mini GT 1:64 Toyota Supra TRD 3000GT New Silver / White Diecast Model Car,https://www.ebay.com/itm/334249018429?var=543249231489&hash=item4dd2cb443d:g:DJAAAOSwYL5h3LIb,https://i.ebayimg.com/thumbs/images/g/DJAAAOSwYL5h3LIb/s-l225.jpg,$20.99,Feb-12 16:27,"San Gabriel, California, United States",Unknown,Unknown,Instant,0,23,
item2b23dfa861,Alpine silver watch,https://www.ebay.com/itm/185285453921?hash=item2b23dfa861:g:XywAAOSwHSdhwFbK,https://i.ebayimg.com/thumbs/images/g/XywAAOSwHSdhwFbK/s-l225.jpg,$100.00,Feb-11 21:40,"Marijampole, Lithuania",mindpetrusk_0,https://www.ebay.com/usr/mindpetrusk_0?_trksid=p2047675.l2559,Auction,1,1,"Feb 11, 2022

21:40:19 PST"
item400bc0519c,199 Alpine Silver Metallic  Single Stage Touch Up Paint 1oz,https://www.ebay.com/itm/275075060124?hash=item400bc0519c:g:sQIAAOSwnc1hw4Qy,https://i.ebayimg.com/thumbs/images/g/sQIAAOSwnc1hw4Qy/s-l225.jpg,$20.40,Feb-10 13:24,"Raleigh, North Carolina, United States",Unknown,Unknown,Instant,0,1,
item3b687c2023,89-9402S / Ultra Alpine Silver Bolt On Center Cap,https://www.ebay.com/itm/255156035619?epid=11048382061&hash=item3b687c2023:g:aYoAAOSwh9VhVHVc&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/aYoAAOSwh9VhVHVc/s-l225.jpg,$44.25,Feb-10 11:53,"North Charleston, South Carolina, United States",Unknown,Unknown,Instant,0,3,
item23902d960b,Front Outer Door Handle For 02-06 TOYOTA Camry Alpine Silver Metallic 199,https://www.ebay.com/itm/152742761995?hash=item23902d960b:g:5DcAAOSw0xBf0ySU&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/5DcAAOSw0xBf0ySU/s-l225.jpg,$19.73,Feb-09 17:14,"Deerfield Beach, Florida, United States",Unknown,Unknown,Instant,0,7,
item46cc9240fa,UK Stock - Mini GT 200 1:64 Toyota TRD 3000GT Supra (JZA80) alpine silver,https://www.ebay.com/itm/304079847674?hash=item46cc9240fa:g:Oz8AAOSwTtZg~EYl,https://i.ebayimg.com/thumbs/images/g/Oz8AAOSwTtZg~EYl/s-l225.jpg,$19.46,Feb-08 03:01,"Bolton, United Kingdom",Unknown,Unknown,Instant,0,9,
item52651dfe50,Antique Vintage Mechanical Pocket Watch Alpine Silver,https://www.ebay.com/itm/353883782736?hash=item52651dfe50:g:k28AAOSwW1lh9u1i,https://i.ebayimg.com/thumbs/images/g/k28AAOSwW1lh9u1i/s-l225.jpg,$18.50,Feb-06 11:53,"Santa Ana, California, United States",ehuela,https://www.ebay.com/usr/ehuela?_trksid=p2047675.l2559,Auction,4,1,"Feb 06, 2022

11:53:13 PST"
item3b5c1d9521,1993 Toyota Supra Alpine Silver 1:64 Diecast Model Car - Autoworld - 64302A,https://www.ebay.com/itm/254948513057?epid=10044271514&hash=item3b5c1d9521:g:QX0AAOSwF05gfdaW,https://i.ebayimg.com/thumbs/images/g/QX0AAOSwF05gfdaW/s-l225.jpg,$13.75,Feb-04 18:25,"Adrian, Michigan, United States",Unknown,Unknown,Instant,0,4,
item262814dd20,Exterior Door Handle Front Left for 1998-2002 Toyota Corolla 199 Alpine Silver,https://www.ebay.com/itm/163881213216?epid=236469215&hash=item262814dd20:g:aRoAAOSwMxpdjZl1&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/aRoAAOSwMxpdjZl1/s-l225.jpg,$21.99,Jan-30 11:10,"Cerritos, California, United States",Unknown,Unknown,Instant,0,5,
item1f2c6c0f82,for Toyota Celica 1994-99 ALPINE SILVER METALLIC 199 Base Clear,https://www.ebay.com/itm/133889265538?hash=item1f2c6c0f82:g:k40AAOSwc4xgQFNR&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/k40AAOSwc4xgQFNR/s-l225.jpg,$42.88,Jan-26 21:06,"Belleville, Michigan, United States",Unknown,Unknown,Instant,0,1,
item2658ab22af,94-99 Toyota Celica Driver Left Front Door (Alpine Silver Metallic),https://www.ebay.com/itm/164696367791?hash=item2658ab22af:g:SLwAAOSwNxVgI~cX&vxp=mtr,https://i.ebayimg.com/thumbs/images/g/SLwAAOSwNxVgI~cX/s-l225.jpg,$239.99,Jan-24 14:17,"Marshallville, Ohio, United States",jandjautowrecking,https://www.ebay.com/usr/jandjautowrecking?_trksid=p2047675.l2559,Instant,0,1,
item4243f1dcd0,"Dalbello DS MX LTD W Ski Boots 2021 NIB Size 255,US 8 Alpine Silver Womens",https://www.ebay.com/itm/284607765712?var=586216666549&hash=item4243f1dcd0:g:VNAAAOSwtk9gppFl,https://i.ebayimg.com/thumbs/images/g/VNAAAOSwtk9gppFl/s-l225.jpg,$189.99,Jan-16 22:17,"West Springfield, Massachusetts, United States",Unknown,Unknown,Instant,0,1,
item3b715376f2,Wenger Swiss Military 79149 Alpine Silver Tone Date Men's Watch,https://www.ebay.com/itm/255304365810?hash=item3b715376f2:g:SlMAAOSwfnNhzQRs,https://i.ebayimg.com/thumbs/images/g/SlMAAOSwfnNhzQRs/s-l225.jpg,$21.50,Jan-08 19:22,"Clackamas, Oregon, United States",mcpier2009,https://www.ebay.com/usr/mcpier2009?_trksid=p2047675.l2559,Auction,2,1,"Jan 08, 2022

19:22:01 PST"
item5dcb0d9f24,AUTO WORLD 1:64 2021 PREMIUM #6 R1/A 1993 Toyota Supra (Alpine Silver),https://www.ebay.com/itm/402838626084?epid=10044271514&hash=item5dcb0d9f24:g:VMoAAOSwrDtgmind,https://i.ebayimg.com/thumbs/images/g/VMoAAOSwrDtgmind/s-l225.jpg,$7.95,Jan-08 13:37,Unknown,Unknown,Unknown,Instant,0,1,
item598e36fe87,TSM Mini GT Toyota TRD 3000GT Alpine Silver Metallic LHD USA SELLER,https://www.ebay.com/itm/384638058119?hash=item598e36fe87:g:L1EAAOSwPNdhth-R,https://i.ebayimg.com/thumbs/images/g/L1EAAOSwPNdhth-R/s-l225.jpg,$7.81,Jan-01 09:21,"Palm Harbor, Florida, United States",mike123z,https://www.ebay.com/usr/mike123z?_trksid=p2047675.l2559,Auction,3,1,"Jan 01, 2022

09:21:18 PST"
