id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2d5d589a02,Apatura iris - Purple Emperor - male revers,https://www.ebay.com/itm/194839616002?hash=item2d5d589a02:g:R2gAAOSw2qJiDOCv,https://i.ebayimg.com/thumbs/images/g/R2gAAOSw2qJiDOCv/s-l225.jpg,$16.79,Feb-27 09:50,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,6,1,"Feb 27, 2022

09:50:05 PST"
item2d5d5892f4,Apatura iris - Purple Emperor - male,https://www.ebay.com/itm/194839614196?hash=item2d5d5892f4:g:5HYAAOSw5iJiDOAN,https://i.ebayimg.com/thumbs/images/g/5HYAAOSw5iJiDOAN/s-l225.jpg,$21.47,Feb-27 09:49,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,7,1,"Feb 27, 2022

09:49:14 PST"
item267f00116b,Apatura Iris Butterflies Proof Silver Coin 20 rubles Belarus 2013,https://www.ebay.com/itm/165339468139?hash=item267f00116b:g:WkAAAOSw5DpgLmCX,https://i.ebayimg.com/thumbs/images/g/WkAAAOSw5DpgLmCX/s-l225.jpg,$33.23,Feb-26 18:34,"Rzeszów, Poland",topworldcoins,https://www.ebay.com/usr/topworldcoins?_trksid=p2047675.l2559,Auction,15,1,"Feb 26, 2022

18:34:54 PST"
item240bde8321,"Nymphalidae The purple emperor Apatura iris , mounted",https://www.ebay.com/itm/154817954593?hash=item240bde8321:g:MDMAAOSw4~hh9Zii,https://i.ebayimg.com/thumbs/images/g/MDMAAOSw4~hh9Zii/s-l225.jpg,$8.36,Feb-08 12:44,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,12,1,"Feb 08, 2022

12:44:09 PST"
item267cc52442,Apatura Iris Butterflies Proof Silver Coin 20 rubles Belarus 2013,https://www.ebay.com/itm/165302051906?hash=item267cc52442:g:WkAAAOSw5DpgLmCX,https://i.ebayimg.com/thumbs/images/g/WkAAAOSw5DpgLmCX/s-l225.jpg,$36.99,Feb-06 18:44,"Rzeszów, Poland",topworldcoins,https://www.ebay.com/usr/topworldcoins?_trksid=p2047675.l2559,Auction,10,1,"Feb 06, 2022

18:44:36 PST"
item267c33d4a4,Apatura Iris Butterflies Proof Silver Coin 20 rubles Belarus 2013,https://www.ebay.com/itm/165292528804?hash=item267c33d4a4:g:WkAAAOSw5DpgLmCX,https://i.ebayimg.com/thumbs/images/g/WkAAAOSw5DpgLmCX/s-l225.jpg,$29.00,Jan-29 19:12,"Rzeszów, Poland",topworldcoins,https://www.ebay.com/usr/topworldcoins?_trksid=p2047675.l2559,Auction,14,1,"Jan 29, 2022

19:12:20 PST"
item448d66391b,2013 Apatura Iris Butterflies Proof Silver Coin 20 rubles Belarus COA & box,https://www.ebay.com/itm/294430062875?hash=item448d66391b:g:zpsAAOSwwBRhEwBY,https://i.ebayimg.com/thumbs/images/g/zpsAAOSwwBRhEwBY/s-l225.jpg,$59.95,Jan-28 12:51,"Marietta, Georgia, United States",Unknown,Unknown,Instant,0,2,
item423ae8e93a,5 unmounted folded real butterfly Nymphalidae apatura iris xanthina CHINA A1 A1-,https://www.ebay.com/itm/284456184122?hash=item423ae8e93a:g:g7gAAOSwJJxdxA5g,https://i.ebayimg.com/thumbs/images/g/g7gAAOSwJJxdxA5g/s-l225.jpg,$9.90,Jan-23 10:42,"mainland, China",Unknown,Unknown,Instant,0,3,
item4912176149,unmounted folded real butterfly Nymphalidae apatura iris xanthina CHINA  A1,https://www.ebay.com/itm/313836134729?hash=item4912176149:g:g7gAAOSwJJxdxA5g,https://i.ebayimg.com/thumbs/images/g/g7gAAOSwJJxdxA5g/s-l225.jpg,$0.99,Jan-23 06:57,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,2,1,"Jan 23, 2022

06:57:59 PST"
item2d5624fd2b,Apatura iris  - Purple Emperor – male + revers,https://www.ebay.com/itm/194718793003?hash=item2d5624fd2b:g:DIEAAOSwR0dh2aT0,https://i.ebayimg.com/thumbs/images/g/DIEAAOSwR0dh2aT0/s-l225.jpg,$3.86,Jan-15 09:00,"Poland, Poland",colias44,https://www.ebay.com/usr/colias44?_trksid=p2047675.l2559,Auction,2,1,"Jan 15, 2022

09:00:03 PST"
