id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2d5d59d21b,Araschnia levana - European Map - pair - 3th generation,https://www.ebay.com/itm/194839695899?hash=item2d5d59d21b:g:YXwAAOSwHIFiDO6T,https://i.ebayimg.com/thumbs/images/g/YXwAAOSwHIFiDO6T/s-l225.jpg,$15.43,Feb-27 10:08,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,7,1,"Feb 27, 2022

10:08:12 PST"
item2d5d59ccd7,"Araschnia levana - European Map - pair , revers - 2th generation",https://www.ebay.com/itm/194839694551?hash=item2d5d59ccd7:g:8YQAAOSwaUhiDO4x,https://i.ebayimg.com/thumbs/images/g/8YQAAOSwaUhiDO4x/s-l225.jpg,$4.03,Feb-27 10:07,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

10:07:25 PST"
item2d5d59c256,"Araschnia levana - European Map - pair , revers - 1th generation",https://www.ebay.com/itm/194839691862?hash=item2d5d59c256:g:auUAAOSwc71iDO3F,https://i.ebayimg.com/thumbs/images/g/auUAAOSwc71iDO3F/s-l225.jpg,$4.03,Feb-27 10:06,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

10:06:30 PST"
item4bae66ed85,Araschnia levana pair spring form from Poland (mounted),https://www.ebay.com/itm/325048528261?hash=item4bae66ed85:g:kSwAAOSwFrViCV~9,https://i.ebayimg.com/thumbs/images/g/kSwAAOSwFrViCV~9/s-l225.jpg,$3.58,Feb-20 11:46,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Feb 20, 2022

11:46:34 PST"
item240bde6684,"Nymphalidae Araschnia levana pair & male , mounted",https://www.ebay.com/itm/154817947268?hash=item240bde6684:g:iocAAOSwW-Bh9Zc5,https://i.ebayimg.com/thumbs/images/g/iocAAOSwW-Bh9Zc5/s-l225.jpg,$4.66,Feb-08 12:40,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,2,1,"Feb 08, 2022

12:40:29 PST"
item2d593c2370,Araschnia levana -  European Map -  aberration 3,https://www.ebay.com/itm/194770641776?hash=item2d593c2370:g:lmEAAOSwsyph8Uwi,https://i.ebayimg.com/thumbs/images/g/lmEAAOSwsyph8Uwi/s-l225.jpg,$8.05,Feb-06 09:59,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:59:29 PST"
item2d593c1cfd,Araschnia levana -  European Map -  aberration 2,https://www.ebay.com/itm/194770640125?hash=item2d593c1cfd:g:SgoAAOSwhdJh8Uus,https://i.ebayimg.com/thumbs/images/g/SgoAAOSwhdJh8Uus/s-l225.jpg,$13.42,Feb-06 09:58,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,4,1,"Feb 06, 2022

09:58:32 PST"
item2d593c190c,Araschnia levana -  European Map -  aberration 1,https://www.ebay.com/itm/194770639116?hash=item2d593c190c:g:xzkAAOSwqFZh8Us8,https://i.ebayimg.com/thumbs/images/g/xzkAAOSwqFZh8Us8/s-l225.jpg,$8.05,Feb-06 09:57,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:57:28 PST"
item2d593c032c,Araschnia levana -  European Map -  aberration revers,https://www.ebay.com/itm/194770633516?hash=item2d593c032c:g:Z3MAAOSwLCJh8VHp,https://i.ebayimg.com/thumbs/images/g/Z3MAAOSwLCJh8VHp/s-l225.jpg,$8.05,Feb-06 09:56,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:56:32 PST"
item2d593b559e,Araschnia levana - European Map - pair - 3th generation,https://www.ebay.com/itm/194770589086?hash=item2d593b559e:g:~90AAOSwx9Fh8UMx,https://i.ebayimg.com/thumbs/images/g/~90AAOSwx9Fh8UMx/s-l225.jpg,$26.84,Feb-06 09:55,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,13,1,"Feb 06, 2022

09:55:23 PST"
