id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3458d7cfd2,"Butterfly. Byasa latreillei ssp. Yunnan, Dali area, C of Mt.Cangshan. 2M. 21441.",https://www.ebay.com/itm/224828837842?hash=item3458d7cfd2:g:hEsAAOSwNvViAqiq,https://i.ebayimg.com/thumbs/images/g/hEsAAOSwNvViAqiq/s-l225.jpg,$18.50,Feb-13 15:31,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"Feb 13, 2022

15:31:50 PST"
item345781657e,"Byasa latreillei ssp. Yunnan, Dali, Yangbi county, S Mt.Cangshan. 2M. 21403.",https://www.ebay.com/itm/224806397310?hash=item345781657e:g:0OoAAOSwexVh72QJ,https://i.ebayimg.com/thumbs/images/g/0OoAAOSwexVh72QJ/s-l225.jpg,$24.50,Jan-29 18:44,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,8,1,"Jan 29, 2022

18:44:44 PST"
item4bac611ed7,"Byasa latreillei ssp. Yunnan , Dali, Yangbi county, N Mt.Cangshan. 2M. 21137.",https://www.ebay.com/itm/325014593239?hash=item4bac611ed7:g:f14AAOSwylBh72IG,https://i.ebayimg.com/thumbs/images/g/f14AAOSwylBh72IG/s-l225.jpg,$21.50,Jan-29 18:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"Jan 29, 2022

18:36:05 PST"
item34576fb69e,"Butterfly. Byasa latreillei ssp. Yunnan, Dali, N Mt.Cangshan. 2M1F. 21954.",https://www.ebay.com/itm/224805238430?hash=item34576fb69e:g:CYgAAOSw9Klh7jJs,https://i.ebayimg.com/thumbs/images/g/CYgAAOSw9Klh7jJs/s-l225.jpg,$65.00,Jan-29 07:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,7,1,"Jan 29, 2022

07:36:06 PST"
item3dcf4b33ae,PAPILIONIDAE Byasa latreillei genestieri CHINA Yunnan Pap0138,https://www.ebay.com/itm/265470817198?hash=item3dcf4b33ae:g:0V8AAOSwnz9hyJ9d,https://i.ebayimg.com/thumbs/images/g/0V8AAOSwnz9hyJ9d/s-l225.jpg,$5.00,Jan-13 09:38,"Moscow, Russian Federation",dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Instant,0,1,
item345585ee43,"Butterfly. Byasa latreillei ssp. Yunnan, Dali, N of Mt.Cangshan. 2M1F. MC1382.",https://www.ebay.com/itm/224773140035?hash=item345585ee43:g:RvAAAOSwVCJh01Fr,https://i.ebayimg.com/thumbs/images/g/RvAAAOSwVCJh01Fr/s-l225.jpg,$55.00,Jan-08 12:33,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"Jan 08, 2022

12:33:33 PST"
item34557a211a,"Butterfly. Byasa latreillei ssp. W Yunnan, Dali area, C of Mt.Cangshan. 2M.21437",https://www.ebay.com/itm/224772366618?hash=item34557a211a:g:J-EAAOSwaZph0qwo,https://i.ebayimg.com/thumbs/images/g/J-EAAOSwaZph0qwo/s-l225.jpg,$28.00,Jan-08 01:28,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,9,1,"Jan 08, 2022

01:28:33 PST"
item4ba9f43e5e,"Byasa latreillei ssp. W Yunnan, Dali area, S of Mt.Cangshan. 1M. 21401.",https://www.ebay.com/itm/324973903454?hash=item4ba9f43e5e:g:GZIAAOSwaTRh0qu8,https://i.ebayimg.com/thumbs/images/g/GZIAAOSwaTRh0qu8/s-l225.jpg,$20.50,Jan-08 01:26,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,6,1,"Jan 08, 2022

01:26:07 PST"
item345579fd77,"Butterfly. Byasa latreillei ssp.Yunnan, Dali area, N of Mt.Cangshan. 2M. 21131.",https://www.ebay.com/itm/224772357495?hash=item345579fd77:g:Jm8AAOSwxZ1h0qmW,https://i.ebayimg.com/thumbs/images/g/Jm8AAOSwxZ1h0qmW/s-l225.jpg,$20.50,Jan-08 01:15,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,3,1,"Jan 08, 2022

01:15:02 PST"
item4ba9f41a69,"Butterfly. Byasa latreillei ssp. Yunnan, Nujiang, Fugong county. 1M. 21025.",https://www.ebay.com/itm/324973894249?hash=item4ba9f41a69:g:UagAAOSwYmth0qkx,https://i.ebayimg.com/thumbs/images/g/UagAAOSwYmth0qkx/s-l225.jpg,$27.60,Jan-08 01:13,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,4,1,"Jan 08, 2022

01:13:46 PST"
