id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f34f3070a,"Butterfly -  Charaxes candiope?  x2, Tanzania",https://www.ebay.com/itm/134032328458?hash=item1f34f3070a:g:yQUAAOSwL3xh-xYf,https://i.ebayimg.com/thumbs/images/g/yQUAAOSwL3xh-xYf/s-l225.jpg,$2.62,Feb-27 10:27,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

10:27:09 PST"
item3dc7ba7081,Green-veined Emperor Butterfly Charaxes candiope Male Folded FAST FROM USA,https://www.ebay.com/itm/265343889537?hash=item3dc7ba7081:g:nSwAAOSw9wpfPVTE,https://i.ebayimg.com/thumbs/images/g/nSwAAOSw9wpfPVTE/s-l225.jpg,$4.49,Feb-16 23:46,"Jupiter, Florida, United States",Unknown,Unknown,Instant,0,4,
item3dbb2ddb39,"Unmounted Butterfly/Nymphalidae - Charaxes candiope, male, CAR",https://www.ebay.com/itm/265133349689?hash=item3dbb2ddb39:g:JmAAAOSwkJRggV1-,https://i.ebayimg.com/thumbs/images/g/JmAAAOSwkJRggV1-/s-l225.jpg,$3.32,Feb-13 00:53,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,2,
item1f333b7309,"Butterfly -  Charaxes candiope?  Pair, Tanzania",https://www.ebay.com/itm/134003520265?hash=item1f333b7309:g:b9wAAOSwR7Bh5z24,https://i.ebayimg.com/thumbs/images/g/b9wAAOSwR7Bh5z24/s-l225.jpg,$3.02,Jan-30 13:59,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Jan 30, 2022

13:59:22 PST"
item3b63abf373,"Unmounted Butterfly / Nymphalidae - Charaxes candiope, male, CAR",https://www.ebay.com/itm/255075283827?hash=item3b63abf373:g:ceEAAOSw30phCBVS,https://i.ebayimg.com/thumbs/images/g/ceEAAOSw30phCBVS/s-l225.jpg,$3.42,Jan-29 07:58,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,1,
item1f3285ee5d,"Butterfly -  Charaxes candiope?  x?, Tanzania",https://www.ebay.com/itm/133991624285?hash=item1f3285ee5d:g:lKEAAOSwXdlh3ubQ,https://i.ebayimg.com/thumbs/images/g/lKEAAOSwXdlh3ubQ/s-l225.jpg,$3.02,Jan-16 15:11,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Jan 16, 2022

15:11:17 PST"
item3dcffefbfe,NYMPHALIDAE Charaxes candiope X2 NE Tanzania NYM0850,https://www.ebay.com/itm/265482599422?hash=item3dcffefbfe:g:IqgAAOSwGrhh0uBw,https://i.ebayimg.com/thumbs/images/g/IqgAAOSwGrhh0uBw/s-l225.jpg,$1.50,Jan-13 09:06,"Moscow, Russian Federation",dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Auction,1,1,"Jan 13, 2022

09:06:41 PST"
item3dbb2de17c,"Unmounted Butterfly/Nymphalidae - Charaxes candiope, male, A-",https://www.ebay.com/itm/265133351292?hash=item3dbb2de17c:g:JmAAAOSwkJRggV1-,https://i.ebayimg.com/thumbs/images/g/JmAAAOSwkJRggV1-/s-l225.jpg,$2.21,Jan-10 14:38,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,2,
item1f32152b18,"Butterfly -  Charaxes candiope?  x?, Tanzania",https://www.ebay.com/itm/133984234264?hash=item1f32152b18:g:uTgAAOSwt5Fh1ZT4,https://i.ebayimg.com/thumbs/images/g/uTgAAOSwt5Fh1ZT4/s-l225.jpg,$3.02,Jan-09 13:10,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Jan 09, 2022

13:10:04 PST"
item3dc22f5d33,"Unmounted Butterfly / Nymphalidae - Charaxes candiope, male, A-",https://www.ebay.com/itm/265250889011?hash=item3dc22f5d33:g:lf0AAOSwP0phCBVQ,https://i.ebayimg.com/thumbs/images/g/lf0AAOSwP0phCBVQ/s-l225.jpg,$2.28,Jan-06 15:32,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,1,
item1f3193c415,"Butterfly -  Charaxes candiope?  Pair?, Tanzania",https://www.ebay.com/itm/133975753749?hash=item1f3193c415:g:IDsAAOSw-YFhp~sB,https://i.ebayimg.com/thumbs/images/g/IDsAAOSw-YFhp~sB/s-l225.jpg,$3.02,Jan-02 13:42,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Jan 02, 2022

13:42:04 PST"
item42401b4cce,Lepidoptera - Nymphalidae - Charaxes candiope - West.Uganda     Female,https://www.ebay.com/itm/284543372494?hash=item42401b4cce:g:1asAAOSwbgdhn-2T,https://i.ebayimg.com/thumbs/images/g/1asAAOSwbgdhn-2T/s-l225.jpg,$5.64,Dec-04 12:13,"South Shields, United Kingdom",0191stanhope,https://www.ebay.com/usr/0191stanhope?_trksid=p2047675.l2559,Auction,4,1,"Dec 04, 2021

12:13:39 PST"
