id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3d0fcb0cb2,Lot of 2 Savannah Charaxes Butterfly Charaxes etesipe etesipe Male Folded USA,https://www.ebay.com/itm/262257970354?hash=item3d0fcb0cb2:g:sVYAAOSwCypWn6SO,https://i.ebayimg.com/thumbs/images/g/sVYAAOSwCypWn6SO/s-l225.jpg,$4.29,Feb-28 16:46,"Jupiter, Florida, United States",Unknown,Unknown,Instant,0,58,
item1f342430eb,"Butterfly - Charaxes etesipe tavetensis? Female, Tanzania",https://www.ebay.com/itm/134018773227?hash=item1f342430eb:g:IAsAAOSwtgFiAufZ,https://i.ebayimg.com/thumbs/images/g/IAsAAOSwtgFiAufZ/s-l225.jpg,$6.64,Feb-13 13:58,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Feb 13, 2022

13:58:40 PST"
item3d3047e5aa,"Unmounted Butterfly/Nymphalidae - Charaxes etesipe etesipe, male, CAR, A-",https://www.ebay.com/itm/262803023274?hash=item3d3047e5aa:g:Od8AAOSwlThdqapX,https://i.ebayimg.com/thumbs/images/g/Od8AAOSwlThdqapX/s-l225.jpg,$1.94,Feb-07 00:49,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,18,
item1f33bf068b,"Butterfly - Charaxes etesipe tavetensis? Female, Tanzania",https://www.ebay.com/itm/134012143243?hash=item1f33bf068b:g:UcsAAOSwOpFh-wUV,https://i.ebayimg.com/thumbs/images/g/UcsAAOSwOpFh-wUV/s-l225.jpg,$14.07,Feb-06 14:56,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,3,1,"Feb 06, 2022

14:56:34 PST"
item1f33bf0251,"Butterfly -  Charaxes etesipe tavetensis? Male, Tanzania",https://www.ebay.com/itm/134012142161?hash=item1f33bf0251:g:y3MAAOSwPdhh-wOz,https://i.ebayimg.com/thumbs/images/g/y3MAAOSwPdhh-wOz/s-l225.jpg,$2.95,Feb-06 14:53,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Feb 06, 2022

14:53:48 PST"
item3b63b25cd2,"Unmounted Butterfly / Nymphalidae - Charaxes etesipe etesipe, male,...",https://www.ebay.com/itm/255075704018?hash=item3b63b25cd2:g:cIgAAOSw6vJhCHvq,https://i.ebayimg.com/thumbs/images/g/cIgAAOSw6vJhCHvq/s-l225.jpg,$3.57,Jan-31 23:39,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1,
item1f33561ce0,"Butterfly - Charaxes etesipe tavetensis? Female, Tanzania",https://www.ebay.com/itm/134005267680?hash=item1f33561ce0:g:TSUAAOSwbNFh8t7X,https://i.ebayimg.com/thumbs/images/g/TSUAAOSwbNFh8t7X/s-l225.jpg,$18.11,Jan-30 13:08,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,5,1,"Jan 30, 2022

13:08:22 PST"
item1f33561739,"Butterfly -  Charaxes etesipe tavetensis? Male, Tanzania",https://www.ebay.com/itm/134005266233?hash=item1f33561739:g:o6QAAOSwlNRh8pmV,https://i.ebayimg.com/thumbs/images/g/o6QAAOSwlNRh8pmV/s-l225.jpg,$2.95,Jan-30 13:04,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,3,1,"Jan 30, 2022

13:04:31 PST"
item4494aa0a84,Real Dried Insect/Butterfly/Moth Non set B7630 Charaxes etesipe Africa,https://www.ebay.com/itm/294551947908?hash=item4494aa0a84:g:U4oAAOSwzsJhHzCP,https://i.ebayimg.com/thumbs/images/g/U4oAAOSwzsJhHzCP/s-l225.jpg,$3.95,Jan-28 18:21,"Goolwa, South Australia, Australia",Unknown,Unknown,Instant,0,4,
item343ac4cdca,Charaxes etesipe blue black butterfly Africa unmounted wings closed,https://www.ebay.com/itm/224324275658?hash=item343ac4cdca:g:YsgAAOSwCa1gCis7,https://i.ebayimg.com/thumbs/images/g/YsgAAOSwCa1gCis7/s-l225.jpg,$6.00,Jan-03 15:29,"Sahuarita, Arizona, United States",Unknown,Unknown,Instant,0,1,
