id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item345764a254,Rca entomology nymphalidae commun smaragdalis male 3 parts parts,https://www.ebay.com/itm/224804512340?hash=item345764a254:g:gu0AAOSw0PRh7Yky,https://i.ebayimg.com/thumbs/images/g/gu0AAOSw0PRh7Yky/s-l225.jpg,$3.37,Feb-27 03:40,"Trosly-Breuil, France",hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,3,
item44a49b5ee7,Real Dried Insect/Butterfly/Moth Non set B7612 Blue Charaxes smaragdalis Africa,https://www.ebay.com/itm/294819421927?hash=item44a49b5ee7:g:TKgAAOSw-1VhJZKq,https://i.ebayimg.com/thumbs/images/g/TKgAAOSw-1VhJZKq/s-l225.jpg,$3.95,Feb-17 19:35,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,8,
item5266a4322b,Rca entomology nymphalidae commun smaragdalis couple 1 pair,https://www.ebay.com/itm/353909355051?hash=item5266a4322b:g:ckwAAOSwiYBiCMsz,https://i.ebayimg.com/thumbs/images/g/ckwAAOSwiYBiCMsz/s-l225.jpg,$13.48,Feb-14 23:35,"Trosly-Breuil, France",Unknown,Unknown,Instant,0,1,
item3b63b2c6fa,"Unmounted Butterfly / Nymphalidae - Charaxes smaragdalis smaragdalis, male, CAR",https://www.ebay.com/itm/255075731194?hash=item3b63b2c6fa:g:tYEAAOSwrKFhCIW9,https://i.ebayimg.com/thumbs/images/g/tYEAAOSwrKFhCIW9/s-l225.jpg,$5.81,Feb-14 09:03,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,2,
item2b23431582,Butterfly  x1 male Charaxes smaragdalis homonymus (Kenya),https://www.ebay.com/itm/185275192706?hash=item2b23431582:g:WXMAAOSw96Bh9mKG,https://i.ebayimg.com/thumbs/images/g/WXMAAOSw96Bh9mKG/s-l225.jpg,$4.29,Feb-06 12:37,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"Feb 06, 2022

12:37:48 PST"
item2f4e0a0510,Western blue charaxe (Charaxes smaragdalis) MALE REAL Unmounted butterfly,https://www.ebay.com/itm/203172742416?hash=item2f4e0a0510:g:VWIAAOSwN4ZfqCnL,https://i.ebayimg.com/thumbs/images/g/VWIAAOSwN4ZfqCnL/s-l225.jpg,$5.25,Feb-05 15:19,"Sainte-Brigitte-de-Laval, Quebec, Canada",Unknown,Unknown,Instant,0,24,
item592cca9190,Charaxes smaragdalis ONE REAL BUTTERFLY BLUE RCA AFRICA,https://www.ebay.com/itm/383003562384?hash=item592cca9190:g:e6MAAOSwPqRdAZcL,https://i.ebayimg.com/thumbs/images/g/e6MAAOSwPqRdAZcL/s-l225.jpg,$6.00,Feb-01 13:18,"Sahuarita, Arizona, United States",Unknown,Unknown,Instant,0,24,
item3b4a798aba,Western Blue Charaxes Butterfly Charaxes smaragdalis Male Folded FAST FROM USA,https://www.ebay.com/itm/254652549818?hash=item3b4a798aba:g:69YAAOSw0LldzsVy,https://i.ebayimg.com/thumbs/images/g/69YAAOSw0LldzsVy/s-l225.jpg,$6.29,Jan-30 21:29,"Jupiter, Florida, United States",Unknown,Unknown,Instant,0,80,
item4dd4dbfeaa,Butterfly - 1 x mounted male Charaxes smaragdalis (A1-),https://www.ebay.com/itm/334283669162?hash=item4dd4dbfeaa:g:zE0AAOSwPc9h2aJo,https://i.ebayimg.com/thumbs/images/g/zE0AAOSwPc9h2aJo/s-l225.jpg,$11.40,Jan-16 12:55,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,6,1,"Jan 16, 2022

12:55:26 PST"
item3b5a49628a,"Unmounted Butterfly/Nymphalidae - Charaxes smaragdalis smaragdalis, male, A-",https://www.ebay.com/itm/254917829258?hash=item3b5a49628a:g:wX8AAOSw4tRgXlj~,https://i.ebayimg.com/thumbs/images/g/wX8AAOSw4tRgXlj~/s-l225.jpg,$3.69,Jan-13 06:46,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,7,
