id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item5bb9ea9ef1,"Ficus microcarpa, Live Green Island Fig, w/ Rock arial root, Shohin Bonsai tree.",https://www.ebay.com/itm/393961185009?hash=item5bb9ea9ef1:g:7mIAAOSwO9xiGjAx,https://i.ebayimg.com/thumbs/images/g/7mIAAOSwO9xiGjAx/s-l225.jpg,$90.00,Feb-28 14:49,"Miami, Florida, United States",ydwa421,https://www.ebay.com/usr/ydwa421?_trksid=p2047675.l2559,Instant,0,1,
item3dc3e5c9e7,Ficus Microcarpa (Green Island) Mame Bonsai,https://www.ebay.com/itm/265279621607?hash=item3dc3e5c9e7:g:HEwAAOSww9JhIj0D,https://i.ebayimg.com/thumbs/images/g/HEwAAOSww9JhIj0D/s-l225.jpg,$65.00,Feb-28 12:34,"Miami, Florida, United States",debbiel305,https://www.ebay.com/usr/debbiel305?_trksid=p2047675.l2559,Instant,0,1,
item3dc3e59720,Ficus Microcarpa (Green Island) Shohin Forest Bonsai,https://www.ebay.com/itm/265279608608?hash=item3dc3e59720:g:pt8AAOSwbv9hIjnZ,https://i.ebayimg.com/thumbs/images/g/pt8AAOSwbv9hIjnZ/s-l225.jpg,$125.00,Feb-28 12:34,"Miami, Florida, United States",debbiel305,https://www.ebay.com/usr/debbiel305?_trksid=p2047675.l2559,Instant,0,1,
item5bb9e94fdd,"Ficus microcarpa, Live Green Island Fig, on Rock arial root, Shohin Bonsai tree.",https://www.ebay.com/itm/393961099229?hash=item5bb9e94fdd:g:LRkAAOSwf5JiGi0F,https://i.ebayimg.com/thumbs/images/g/LRkAAOSwf5JiGi0F/s-l225.jpg,$85.00,Feb-27 14:06,"Miami, Florida, United States",ydwa421,https://www.ebay.com/usr/ydwa421?_trksid=p2047675.l2559,Instant,0,1,
item2406c02ed7,Ginseng Ficus Ficus Microcarpa Bonsai Dwarf Shohin Mame Big Fat Trunk Neagari,https://www.ebay.com/itm/154732080855?hash=item2406c02ed7:g:x1UAAOSwBRBhqoMm,https://i.ebayimg.com/thumbs/images/g/x1UAAOSwBRBhqoMm/s-l225.jpg,$39.99,Feb-24 22:46,"Rosemead, California, United States",fulleffex,https://www.ebay.com/usr/fulleffex?_trksid=p2047675.l2559,Instant,0,1,
item2b02f089c0,"Ficus Microcarpa Ginseng - 4""",https://www.ebay.com/itm/184732912064?hash=item2b02f089c0:g:x4UAAOSwOCVgYce0,https://i.ebayimg.com/thumbs/images/g/x4UAAOSwOCVgYce0/s-l225.jpg,$19.99,Feb-24 10:22,"CA, United States",Unknown,Unknown,Instant,0,5,
item46bd084340,Bonsai Tree - Golden Gate Ficus - Ficus microcarpa 'Golden Gate'  -  2  Feet Tal,https://www.ebay.com/itm/303819146048?hash=item46bd084340:g:4ugAAOSwgtBf4A8j,https://i.ebayimg.com/thumbs/images/g/4ugAAOSwgtBf4A8j/s-l225.jpg,$118.00,Feb-20 11:22,"Rosemead, California, United States",888forsale888,https://www.ebay.com/usr/888forsale888?_trksid=p2047675.l2559,Instant,0,5,
item3455edb00a,"Ficus, Ficus Microcarpa, Ginger Ficus | Live Plant",https://www.ebay.com/itm/224779939850?hash=item3455edb00a:g:V2YAAOSwtj1hAd8V,https://i.ebayimg.com/thumbs/images/g/V2YAAOSwtj1hAd8V/s-l225.jpg,$14.95,Feb-19 08:47,"Saint Petersburg, Florida, United States",nickysandy2475,https://www.ebay.com/usr/nickysandy2475?_trksid=p2047675.l2559,Instant,0,23,
item369393da89,Ficus Microcarpa (Green Island) 1 inch trunks Oval Shape Leaf - Pre-Bonsai,https://www.ebay.com/itm/234404174473?hash=item369393da89:g:l4oAAOSw2eFh-v84,https://i.ebayimg.com/thumbs/images/g/l4oAAOSw2eFh-v84/s-l225.jpg,$35.00,Feb-18 06:45,"Caguas, Puerto Rico, United States",Unknown,Unknown,Instant,0,3,
item44a440acd6,"Cascade Tree GREEN ISLAND FICUS MICROCARPA twisted Pre-Bonsai live  7""",https://www.ebay.com/itm/294813478102?hash=item44a440acd6:g:yl8AAOSwgOZiCoDO,https://i.ebayimg.com/thumbs/images/g/yl8AAOSwgOZiCoDO/s-l225.jpg,$13.99,Feb-17 20:42,"Miami, Florida, United States",lisot_22,https://www.ebay.com/usr/lisot_22?_trksid=p2047675.l2559,Instant,0,1,
