id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3457c83ecb,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224811040459?hash=item3457c83ecb:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.91,Feb-22 11:06,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item267d14dfca,"Papilionidae Graphium milon, mounted",https://www.ebay.com/itm/165307277258?hash=item267d14dfca:g:t-MAAOSwKgNh9Ux~,https://i.ebayimg.com/thumbs/images/g/t-MAAOSwKgNh9Ux~/s-l225.jpg,$7.38,Feb-08 11:20,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,3,1,"Feb 08, 2022

11:20:01 PST"
item54ae352897,GRAPHIUM MILON MILON FEMALE FROM SULAWESI,https://www.ebay.com/itm/363699972247?hash=item54ae352897:g:cZIAAOSwwvFh7AKD,https://i.ebayimg.com/thumbs/images/g/cZIAAOSwwvFh7AKD/s-l225.jpg,$3.25,Jan-29 08:49,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jan 29, 2022

08:49:49 PST"
item54ae3529e0,GRAPHIUM MILON MILON MALE FROM SULAWESI,https://www.ebay.com/itm/363699972576?hash=item54ae3529e0:g:f~kAAOSwuB9h7AKa,https://i.ebayimg.com/thumbs/images/g/f~kAAOSwuB9h7AKa/s-l225.jpg,$1.75,Jan-29 08:48,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Jan 29, 2022

08:48:18 PST"
item570dec14dd,GRAPHIUM MILON SULAENSIS MALE FROM TALIABU ISL.,https://www.ebay.com/itm/373895730397?hash=item570dec14dd:g:zN4AAOSwCRth7AK0,https://i.ebayimg.com/thumbs/images/g/zN4AAOSwCRth7AK0/s-l225.jpg,$6.50,Jan-29 08:47,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jan 29, 2022

08:47:31 PST"
item34571ba0c3,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224799727811?hash=item34571ba0c3:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.91,Jan-25 03:38,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item490bae5aea,Papilionidae. 12 x Graphium milon. Central Sulawesi. Luwuk,https://www.ebay.com/itm/313728588522?hash=item490bae5aea:g:GHgAAOSwLP1hDkER,https://i.ebayimg.com/thumbs/images/g/GHgAAOSwLP1hDkER/s-l225.jpg,$10.00,Jan-13 15:28,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,2,
item54ac422887,GRAPHIUM MILON SSP. MALE FROM MUNA ISL.,https://www.ebay.com/itm/363667269767?hash=item54ac422887:g:TZQAAOSwwIxhxfnV,https://i.ebayimg.com/thumbs/images/g/TZQAAOSwwIxhxfnV/s-l225.jpg,$2.25,Jan-01 09:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Jan 01, 2022

09:34:03 PST"
item570a833dfe,GRAPHIUM MILON SULAENSIS MALE FROM TALIABU ISL.,https://www.ebay.com/itm/373838527998?hash=item570a833dfe:g:6EAAAOSwugVhxfm3,https://i.ebayimg.com/thumbs/images/g/6EAAAOSwugVhxfm3/s-l225.jpg,$2.25,Jan-01 09:33,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Jan 01, 2022

09:33:19 PST"
item34524a5fd3,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224718905299?hash=item34524a5fd3:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.91,Dec-19 02:29,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
