id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f34d43be7,"ENTOMOLOGY, BUTTERFLY: HELICONIUS ERATO CYRBIA MALE ECUADOR",https://www.ebay.com/itm/134030310375?hash=item1f34d43be7:g:BXYAAOSwy9JiEolv,https://i.ebayimg.com/thumbs/images/g/BXYAAOSwy9JiEolv/s-l225.jpg,$4.99,Feb-27 10:33,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

10:33:29 PST"
item1f346f6134,"+ ENTOMOLOGY, BUTTERFLY: HELICONIUS ERATO SSP ? MALE CURUNA UNA BRASIL +++ RARE",https://www.ebay.com/itm/134023700788?hash=item1f346f6134:g:prIAAOSw-VliCU9f,https://i.ebayimg.com/thumbs/images/g/prIAAOSw-VliCU9f/s-l225.jpg,$6.00,Feb-20 10:35,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"Feb 20, 2022

10:35:19 PST"
item570fdcb571,"HELICONIUS ERATO PHYLLIS FROM SANTA CATATARINA, BRAZIL",https://www.ebay.com/itm/373928277361?hash=item570fdcb571:g:ow0AAOSwAcNiB42J,https://i.ebayimg.com/thumbs/images/g/ow0AAOSwAcNiB42J/s-l225.jpg,$4.25,Feb-19 10:46,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 19, 2022

10:46:48 PST"
item2b23371eeb,Butterfly  x1 female Heliconius erato adana (Trinidad)   endemic,https://www.ebay.com/itm/185274408683?hash=item2b23371eeb:g:RQUAAOSwrVxh9Umb,https://i.ebayimg.com/thumbs/images/g/RQUAAOSwrVxh9Umb/s-l225.jpg,$3.96,Feb-06 09:14,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:14:58 PST"
item28c6cb3441,Butterfly  x1 male Heliconius erato adana (Trinidad)   endemic,https://www.ebay.com/itm/175133897793?hash=item28c6cb3441:g:XasAAOSw07hh9Ul2,https://i.ebayimg.com/thumbs/images/g/XasAAOSw07hh9Ul2/s-l225.jpg,$3.96,Feb-06 09:13,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:13:54 PST"
item28c6cae769,Butterfly  x1 female Heliconius erato tobagoensis (Tobago)   endemic,https://www.ebay.com/itm/175133878121?hash=item28c6cae769:g:6jQAAOSw6cth9Uh3,https://i.ebayimg.com/thumbs/images/g/6jQAAOSw6cth9Uh3/s-l225.jpg,$4.70,Feb-06 09:07,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:07:39 PST"
item28c6cad393,Butterfly  x1 male Heliconius erato tobagoensis (Tobago)   endemic,https://www.ebay.com/itm/175133873043?hash=item28c6cad393:g:fUgAAOSw~Jlh9UhC,https://i.ebayimg.com/thumbs/images/g/fUgAAOSw~Jlh9UhC/s-l225.jpg,$4.70,Feb-06 09:05,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

09:05:30 PST"
item54aeaf7f07,"HELICONIUS ERATO PHYLLIS FROM  SANTA CATARINA, BRAZIL",https://www.ebay.com/itm/363707989767?hash=item54aeaf7f07:g:v3UAAOSwBuhh9Uzy,https://i.ebayimg.com/thumbs/images/g/v3UAAOSwBuhh9Uzy/s-l225.jpg,$5.00,Feb-05 10:54,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Feb 05, 2022

10:54:47 PST"
item1ad3b2e893,"HELICONIDAE Heliconius erato himera,  N°72  FROM Amazonas Region PERU",https://www.ebay.com/itm/115220867219?hash=item1ad3b2e893:g:bKUAAOSwkDZh7zEj,https://i.ebayimg.com/thumbs/images/g/bKUAAOSwkDZh7zEj/s-l225.jpg,$5.50,Jan-29 15:08,"iquitos, Peru",yacareinsects,https://www.ebay.com/usr/yacareinsects?_trksid=p2047675.l2559,Auction,3,1,"Jan 29, 2022

15:08:28 PST"
item1ad3b2e3ce,"HELICONIDAE Heliconius erato himera,  N°71  FROM Amazonas Region PERU",https://www.ebay.com/itm/115220865998?hash=item1ad3b2e3ce:g:GSIAAOSwNwxh7zDR,https://i.ebayimg.com/thumbs/images/g/GSIAAOSwNwxh7zDR/s-l225.jpg,$5.00,Jan-29 15:06,"iquitos, Peru",yacareinsects,https://www.ebay.com/usr/yacareinsects?_trksid=p2047675.l2559,Auction,3,1,"Jan 29, 2022

15:06:20 PST"
