id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item343886a1be,Brown Flaxseeds Linseeds  Premium Quality 25g-200g - Linum Usitatissimum,https://www.ebay.com/itm/224286646718?hash=item343886a1be:g:L3cAAOSwj9JcUFJa,https://i.ebayimg.com/thumbs/images/g/L3cAAOSwj9JcUFJa/s-l225.jpg,$7.18 to $13.95,Feb-24 07:14,"Internet only, Greece",Unknown,Unknown,Instant,0,1,
item21217f588f,"FLAX BLUE ANNUAL ORGANIC Linum Usitatissimum - 1,000 Seeds",https://www.ebay.com/itm/142295914639?hash=item21217f588f:g:7o8AAOSwax5YtRL-,https://i.ebayimg.com/thumbs/images/g/7o8AAOSwax5YtRL-/s-l225.jpg,$4.31,Feb-23 10:51,"Bellevue, Washington, United States",Unknown,Unknown,Instant,0,52,
item266525f530,"Rani Flax Seeds Whole Raw (Alsi, Linum usitatissimum) 20oz (567g) PET Jar",https://www.ebay.com/itm/164905743664?hash=item266525f530:g:vCsAAOSwrpVgwT-T,https://i.ebayimg.com/thumbs/images/g/vCsAAOSwrpVgwT-T/s-l225.jpg,$14.99,Feb-21 07:04,"Houston, Texas, United States",Unknown,Unknown,Instant,0,3,
item46b726e69f,Linseeds Flaxseeds 400g Siemię lniane Linum usitatissimum Seeds,https://www.ebay.com/itm/303720490655?hash=item46b726e69f:g:OogAAOSwvntfgNWo,https://i.ebayimg.com/thumbs/images/g/OogAAOSwvntfgNWo/s-l225.jpg,$6.70,Feb-16 14:23,"Sheffield, United Kingdom",Unknown,Unknown,Instant,0,2,
item442f0cb970,Flax (Linum usitatissimum)  - Liquid Herbal Extract Premium Quality Tincture,https://www.ebay.com/itm/292847139184?hash=item442f0cb970:g:ZwMAAOSwLgpcBYgA,https://i.ebayimg.com/thumbs/images/g/ZwMAAOSwLgpcBYgA/s-l225.jpg,$9.99 to $109.99,Feb-15 07:10,"South Lake Tahoe, California, United States",Unknown,Unknown,Instant,0,7,
item4234897110,"Organic Flax Seed, Powder (Linum usitatissimum)",https://www.ebay.com/itm/284349264144?hash=item4234897110:g:NbcAAOSwzt5g2Hwr,https://i.ebayimg.com/thumbs/images/g/NbcAAOSwzt5g2Hwr/s-l225.jpg,$7.95,Feb-09 07:34,"Land O' Lakes, Florida, United States",Unknown,Unknown,Instant,0,4,
item2b150d323b,Pure Linseed Oil Linum Usitatissimum Cold Pressed Uncut Natural For Skin Hair,https://www.ebay.com/itm/185036780091?hash=item2b150d323b:g:2i8AAOSw1fBhC9cp,https://i.ebayimg.com/thumbs/images/g/2i8AAOSw1fBhC9cp/s-l225.jpg,$5.27 to $51.99,Feb-07 12:43,"DELHI, DELHI, India",Unknown,Unknown,Instant,0,2,
item5990f53c0d,Pure Herbs Flax Linseed seed 100% Pure & Natural Linum usitatissimum Carrier Oil,https://www.ebay.com/itm/384684080141?hash=item5990f53c0d:g:BnQAAOSwI8th5Xr8,https://i.ebayimg.com/thumbs/images/g/BnQAAOSwI8th5Xr8/s-l225.jpg,$4.74 to $47.49,Feb-07 08:08,"DELHI, DELHI, India",Unknown,Unknown,Instant,0,1,
item2d0ab8cb5d,Whole FLAX SEEDS LINSEED LINUM USITATISSIMUM ALSI ALASI Siemie Lniane Omega 3,https://www.ebay.com/itm/193453411165?hash=item2d0ab8cb5d:g:EbsAAOSwwEpesr5n,https://i.ebayimg.com/thumbs/images/g/EbsAAOSwwEpesr5n/s-l225.jpg,$4.49 to $27.99,Feb-04 22:20,"Ambala, HARYANA, India",Unknown,Unknown,Instant,0,2,
item46b726e2a8,Linseeds Flaxseeds 250g Siemię lniane Linum usitatissimum Seeds,https://www.ebay.com/itm/303720489640?hash=item46b726e2a8:g:OogAAOSwvntfgNWo,https://i.ebayimg.com/thumbs/images/g/OogAAOSwvntfgNWo/s-l225.jpg,$4.68,Feb-04 13:00,"Sheffield, United Kingdom",Unknown,Unknown,Instant,0,2,
item4d9973d9d0,2 x 250 ML Linseed Oil Cold Pressed Linum usitatissimum Seed Oil масло льняное,https://www.ebay.com/itm/333286988240?hash=item4d9973d9d0:g:yMQAAOSw4YdgcCXh,https://i.ebayimg.com/thumbs/images/g/yMQAAOSw4YdgcCXh/s-l225.jpg,$16.84,Jan-26 05:57,"Taunusstein, Germany",Unknown,Unknown,Instant,0,4,
