id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4246412f1a,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284646518554?hash=item4246412f1a:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$19.50,Feb-14 14:00,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"Feb 14, 2022

14:00:50 PST"
item4245aa3790,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284636624784?hash=item4245aa3790:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$19.00,Feb-07 15:10,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Feb 07, 2022

15:10:48 PST"
item4244703b80,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284616047488?hash=item4244703b80:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$20.00,Jan-24 13:11,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"Jan 24, 2022

13:11:51 PST"
item3456af8d09,MEMPHIS FORRERI MALE | VERACRUZ MEXICO | AS PICTURED | UK21-318,https://www.ebay.com/itm/224792644873?hash=item3456af8d09:g:MG8AAOSwoHxha8WJ,https://i.ebayimg.com/thumbs/images/g/MG8AAOSwoHxha8WJ/s-l225.jpg,$5.64,Jan-23 11:23,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,5,1,"Jan 23, 2022

11:23:13 PST"
item4243f0517b,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284607664507?hash=item4243f0517b:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$21.50,Jan-18 13:21,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"Jan 18, 2022

13:21:06 PST"
item42436c74f5,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284599022837?hash=item42436c74f5:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$19.00,Jan-12 13:04,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"Jan 12, 2022

13:04:47 PST"
item345556e0d2,MEMPHIS FORRERI MALE | VERACRUZ MEXICO | AS PICTURED | UK21-318,https://www.ebay.com/itm/224770056402?hash=item345556e0d2:g:MG8AAOSwoHxha8WJ,https://i.ebayimg.com/thumbs/images/g/MG8AAOSwoHxha8WJ/s-l225.jpg,$4.96,Jan-09 11:50,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,3,1,"Jan 09, 2022

11:50:19 PST"
item4242ee98e7,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284590774503?hash=item4242ee98e7:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$23.00,Jan-06 15:03,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,6,1,"Jan 06, 2022

15:03:16 PST"
item424238c6c4,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284578858692?hash=item424238c6c4:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$19.00,Dec-27 13:51,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Dec 27, 2021

13:51:56 PST"
item4241b346a0,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284570109600?hash=item4241b346a0:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$26.00,Dec-20 12:53,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,6,1,"Dec 20, 2021

12:53:15 PST"
item4241266602,"memphis forreri PAIR , rare, seldom offered in A1-",https://www.ebay.com/itm/284560877058?hash=item4241266602:g:lMIAAOSweKRhsQvY,https://i.ebayimg.com/thumbs/images/g/lMIAAOSweKRhsQvY/s-l225.jpg,$22.49,Dec-13 12:56,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,3,1,"Dec 13, 2021

12:56:17 PST"
