id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f34d4b4b4,"ENTOMOLOGY, BUTTERFLY: PAPILIO DARDANUS CENAEA FEMALE KABARU KENYA",https://www.ebay.com/itm/134030341300?hash=item1f34d4b4b4:g:uWgAAOSwK15iEpJS,https://i.ebayimg.com/thumbs/images/g/uWgAAOSwK15iEpJS/s-l225.jpg,$13.02,Feb-27 11:11,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Feb 27, 2022

11:11:28 PST"
item490831091f,"REAL Papilio dardanus FLYING HANDKERCHIEF BUTTERFLY, hankerchief Swallowtail",https://www.ebay.com/itm/313670043935?hash=item490831091f:g:0TUAAOSwykde3ZUY,https://i.ebayimg.com/thumbs/images/g/0TUAAOSwykde3ZUY/s-l225.jpg,$6.99,Feb-21 15:27,"Estes Park, Colorado, United States",Unknown,Unknown,Instant,0,1,
item1f33da7e33,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO DARDANUS MESERES ? F: ? FEMALE RUANDA +++ RARE",https://www.ebay.com/itm/134013943347?hash=item1f33da7e33:g:NOkAAOSwDsth~Cfe,https://i.ebayimg.com/thumbs/images/g/NOkAAOSwDsth~Cfe/s-l225.jpg,$11.74,Feb-13 11:07,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,9,1,"Feb 13, 2022

11:07:23 PST"
item1f33da7c91,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO DARDANUS MESERES ? FEMALE RUANDA +++ RARE",https://www.ebay.com/itm/134013942929?hash=item1f33da7c91:g:BYcAAOSwvb5h~Cez,https://i.ebayimg.com/thumbs/images/g/BYcAAOSwvb5h~Cez/s-l225.jpg,$15.00,Feb-13 11:06,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,5,1,"Feb 13, 2022

11:06:40 PST"
item219eb3760b,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO DARDANUS ANTINORII MALE ETHIOPIA +++ RARE",https://www.ebay.com/itm/144396482059?hash=item219eb3760b:g:gGsAAOSwmkNh~Cd0,https://i.ebayimg.com/thumbs/images/g/gGsAAOSwmkNh~Cd0/s-l225.jpg,$21.00,Feb-13 11:05,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,8,1,"Feb 13, 2022

11:05:41 PST"
item5deec21ab2,"Butterflie Papilio dardanus tibullus  Female  from Tanga, Tanzania",https://www.ebay.com/itm/403437656754?hash=item5deec21ab2:g:4U4AAOSwWr5h9BSu,https://i.ebayimg.com/thumbs/images/g/4U4AAOSwWr5h9BSu/s-l225.jpg,$4.25,Feb-06 14:38,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,2,1,"Feb 06, 2022

14:38:12 PST"
item5deec18eb6,"Butterflie Papilio dardanus tibullus  female ORANGE from Usambara Mts, Tanzania",https://www.ebay.com/itm/403437620918?hash=item5deec18eb6:g:OqoAAOSwMuVh9BC~,https://i.ebayimg.com/thumbs/images/g/OqoAAOSwMuVh9BC~/s-l225.jpg,$15.50,Feb-06 14:29,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,6,1,"Feb 06, 2022

14:29:08 PST"
item5deec421e7,Butterflie Papilio dardanus Female from Uganda,https://www.ebay.com/itm/403437789671?hash=item5deec421e7:g:8j0AAOSw6M9h9CQ4,https://i.ebayimg.com/thumbs/images/g/8j0AAOSw6M9h9CQ4/s-l225.jpg,$4.25,Feb-06 14:24,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,2,1,"Feb 06, 2022

14:24:42 PST"
item5deeb80441,Butterflie Papilio dardanus dardanus male from South Cameroon,https://www.ebay.com/itm/403436995649?hash=item5deeb80441:g:OQwAAOSwwuFh89NF,https://i.ebayimg.com/thumbs/images/g/OQwAAOSwwuFh89NF/s-l225.jpg,$4.25,Feb-06 14:22,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,4,1,"Feb 06, 2022

14:22:05 PST"
item5deec1aae2,"Butterflie Papilio dardanus tibullus  female  from Usambara Mts, Tanzania",https://www.ebay.com/itm/403437628130?hash=item5deec1aae2:g:PsoAAOSwkDZh9BEi,https://i.ebayimg.com/thumbs/images/g/PsoAAOSwkDZh9BEi/s-l225.jpg,$6.50,Feb-06 14:19,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,5,1,"Feb 06, 2022

14:19:54 PST"
