id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item52668e218a,Entomology rca machine pneumatique papilio lormieri 5 parts parts,https://www.ebay.com/itm/353907909002?hash=item52668e218a:g:zLAAAOSwzjxiB7rO,https://i.ebayimg.com/thumbs/images/g/zLAAAOSwzjxiB7rO/s-l225.jpg,$3.37,Feb-14 06:04,"Trosly-Breuil, France",hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,3,
item36939edfeb,Entomology Butterfly: Papilio lormieri ♂ Camerun #22,https://www.ebay.com/itm/234404896747?hash=item36939edfeb:g:xWUAAOSwOUhh-8oP,https://i.ebayimg.com/thumbs/images/g/xWUAAOSwOUhh-8oP/s-l225.jpg,$6.17,Feb-13 09:53,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,5,1,"Feb 13, 2022

09:53:51 PST"
item46d900546a,Insect/Butterfly/Moth Set Spread B8015 Papilio lormieri Colourful Swallowtail:,https://www.ebay.com/itm/304288388202?hash=item46d900546a:g:ACwAAOSwm6Jh1NiX,https://i.ebayimg.com/thumbs/images/g/ACwAAOSwm6Jh1NiX/s-l225.jpg,$10.49,Feb-11 20:54,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item3b37477f1c,"Unmounted Butterfly/Papilionidae - Papilio lormieri lormieri, male, CAR, A-",https://www.ebay.com/itm/254330502940?hash=item3b37477f1c:g:NzkAAOSwr~lYsBZD,https://i.ebayimg.com/thumbs/images/g/NzkAAOSwr~lYsBZD/s-l225.jpg,$1.94,Feb-07 00:49,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,16,
item5deec3c08e,Butterflie Papilio lormieri similikana from Uganda,https://www.ebay.com/itm/403437764750?hash=item5deec3c08e:g:BScAAOSwVWth9CDm,https://i.ebayimg.com/thumbs/images/g/BScAAOSwVWth9CDm/s-l225.jpg,$16.50,Feb-06 14:32,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,9,1,"Feb 06, 2022

14:32:42 PST"
item5deeb7b766,"Butterflie Papilio lormieri from Mt.Kala, Cameroon",https://www.ebay.com/itm/403436975974?hash=item5deeb7b766:g:Ny0AAOSwJSFh89CR,https://i.ebayimg.com/thumbs/images/g/Ny0AAOSwJSFh89CR/s-l225.jpg,$5.50,Feb-06 14:14,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,4,1,"Feb 06, 2022

14:14:23 PST"
item5912d65e37,Papilio lormieri ONE REAL BUTTERFLY VERSO AFRICA UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/382568128055?hash=item5912d65e37:g:SWIAAOSwKptchw4t,https://i.ebayimg.com/thumbs/images/g/SWIAAOSwKptchw4t/s-l225.jpg,$8.00,Feb-03 10:13,"Sahuarita, Arizona, United States",Unknown,Unknown,Instant,0,67,
item3b31042834,"Unmounted Butterfly/Papilionidae - Papilio lormieri lormieri, male, Cameroon, A-",https://www.ebay.com/itm/254225426484?hash=item3b31042834:g:cOQAAOSwbjNc1AQg,https://i.ebayimg.com/thumbs/images/g/cOQAAOSwbjNc1AQg/s-l225.jpg,$2.77,Feb-02 14:40,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,4,
item1f33395548,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO LORMIERI FEMALE DRC +++",https://www.ebay.com/itm/134003381576?hash=item1f33395548:g:R0EAAOSwf7Fh7aTG,https://i.ebayimg.com/thumbs/images/g/R0EAAOSwf7Fh7aTG/s-l225.jpg,$7.50,Jan-30 10:56,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"Jan 30, 2022

10:56:17 PST"
item1f32f0bb6c,Butterfly -  Papilio lormieri semlikana? - Uganda,https://www.ebay.com/itm/133998623596?hash=item1f32f0bb6c:g:gkcAAOSwreVh3t~J,https://i.ebayimg.com/thumbs/images/g/gkcAAOSwreVh3t~J/s-l225.jpg,$2.08,Jan-23 13:09,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Jan 23, 2022

13:09:42 PST"
item1f32f0aa8b,Butterfly -  Papilio lormieri semlikana No. 2 - Uganda,https://www.ebay.com/itm/133998619275?hash=item1f32f0aa8b:g:SOkAAOSwLp1h6F-k,https://i.ebayimg.com/thumbs/images/g/SOkAAOSwLp1h6F-k/s-l225.jpg,$2.08,Jan-23 13:07,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Jan 23, 2022

13:07:00 PST"
