id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f34f50ae9,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/134032460521?hash=item1f34f50ae9:g:QukAAOSwhhpiFsLF,https://i.ebayimg.com/thumbs/images/g/QukAAOSwhhpiFsLF/s-l225.jpg,$4.90,Feb-27 13:01,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

13:01:13 PST"
item1f348d98d5,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/134025681109?hash=item1f348d98d5:g:zeAAAOSw-2BiDmZV,https://i.ebayimg.com/thumbs/images/g/zeAAAOSw-2BiDmZV/s-l225.jpg,$4.90,Feb-20 13:29,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Feb 20, 2022

13:29:52 PST"
item1f34234b6d,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/134018714477?hash=item1f34234b6d:g:e6YAAOSwruZiBQlC,https://i.ebayimg.com/thumbs/images/g/e6YAAOSwruZiBQlC/s-l225.jpg,$7.38,Feb-13 12:21,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Feb 13, 2022

12:21:40 PST"
item1f33da83f3,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO NOBILIS SSP ? FEMALE KENYA +++",https://www.ebay.com/itm/134013944819?hash=item1f33da83f3:g:glEAAOSwd2Fh~CiB,https://i.ebayimg.com/thumbs/images/g/glEAAOSwd2Fh~CiB/s-l225.jpg,$4.99,Feb-13 11:10,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Feb 13, 2022

11:10:03 PST"
item1f33bed1e1,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/134012129761?hash=item1f33bed1e1:g:2ysAAOSweElh-vh6,https://i.ebayimg.com/thumbs/images/g/2ysAAOSweElh-vh6/s-l225.jpg,$4.90,Feb-06 14:30,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,3,1,"Feb 06, 2022

14:30:23 PST"
item5deec3c54c,Butterflie Papilio nobilis chrippsianus from Uganda,https://www.ebay.com/itm/403437765964?hash=item5deec3c54c:g:ZLoAAOSwOyZh9CFT,https://i.ebayimg.com/thumbs/images/g/ZLoAAOSwOyZh9CFT/s-l225.jpg,$4.25,Feb-06 14:17,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,3,1,"Feb 06, 2022

14:17:28 PST"
item1f3355f99d,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/134005258653?hash=item1f3355f99d:g:M3QAAOSwNwxh8U5Q,https://i.ebayimg.com/thumbs/images/g/M3QAAOSwNwxh8U5Q/s-l225.jpg,$4.90,Jan-30 12:57,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Jan 30, 2022

12:57:19 PST"
item1f32f090d9,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133998612697?hash=item1f32f090d9:g:8AAAAOSwvGZh6F0M,https://i.ebayimg.com/thumbs/images/g/8AAAAOSwvGZh6F0M/s-l225.jpg,$11.40,Jan-23 12:57,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,3,1,"Jan 23, 2022

12:57:58 PST"
item1f32d2372b,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO NOBILIS NOBILIS MALE DRC +++",https://www.ebay.com/itm/133996623659?hash=item1f32d2372b:g:YTYAAOSwLjdh5G1Z,https://i.ebayimg.com/thumbs/images/g/YTYAAOSwLjdh5G1Z/s-l225.jpg,$5.50,Jan-23 11:09,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,1,"Jan 23, 2022

11:09:32 PST"
item1f3285e72d,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133991622445?hash=item1f3285e72d:g:gEQAAOSw~w9h3u1-,https://i.ebayimg.com/thumbs/images/g/gEQAAOSw~w9h3u1-/s-l225.jpg,$12.73,Jan-16 15:07,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,4,1,"Jan 16, 2022

15:07:48 PST"
item1f32135828,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133984114728?hash=item1f32135828:g:H3YAAOSwLiFh1YbJ,https://i.ebayimg.com/thumbs/images/g/H3YAAOSwLiFh1YbJ/s-l225.jpg,$5.64,Jan-09 11:03,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,5,1,"Jan 09, 2022

11:03:02 PST"
item1cff2d24cc,"Papilio Nobilis ssp. crippsianus Male EX Rwenzori, Uganda n38",https://www.ebay.com/itm/124540232908?hash=item1cff2d24cc:g:Up0AAOSwVopgCvnu,https://i.ebayimg.com/thumbs/images/g/Up0AAOSwVopgCvnu/s-l225.jpg,$84.24,Jan-03 00:38,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1,
item1f31af3baa,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133977553834?hash=item1f31af3baa:g:kaMAAOSwPA5hzGGx,https://i.ebayimg.com/thumbs/images/g/kaMAAOSwPA5hzGGx/s-l225.jpg,$4.90,Jan-02 13:35,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Jan 02, 2022

13:35:49 PST"
item5deb0e8a9d,"Butterflie Papilio nobilis crippsianus from  Kibale forest, Uganda",https://www.ebay.com/itm/403375557277?hash=item5deb0e8a9d:g:KFYAAOSwkNRhx0yL,https://i.ebayimg.com/thumbs/images/g/KFYAAOSwkNRhx0yL/s-l225.jpg,$6.50,Jan-02 13:16,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,7,1,"Jan 02, 2022

13:16:01 PST"
item1f314d8999,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133971151257?hash=item1f314d8999:g:WakAAOSwLCFhwv3A,https://i.ebayimg.com/thumbs/images/g/WakAAOSwLCFhwv3A/s-l225.jpg,$4.90,Dec-26 14:36,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Dec 26, 2021

14:36:05 PST"
item1f30c94c25,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133962484773?hash=item1f30c94c25:g:8gEAAOSwxE9hsLN3,https://i.ebayimg.com/thumbs/images/g/8gEAAOSwxE9hsLN3/s-l225.jpg,$5.64,Dec-19 13:43,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Dec 19, 2021

13:43:22 PST"
item4b8b23ab44,UAP 26 A+/A  Papilio Nobilis  nobilis Female,https://www.ebay.com/itm/324456917828?hash=item4b8b23ab44:g:2pkAAOSwJxBgBhI0,https://i.ebayimg.com/thumbs/images/g/2pkAAOSwJxBgBhI0/s-l225.jpg,$25.50,Dec-13 17:57,"Southport, North Carolina, United States",Unknown,Unknown,Instant,0,1,
item23f6e559b8,Insect Butterfly Papilionidae Papilio nobilis-Rare African Swallowtail (A1)!,https://www.ebay.com/itm/154466081208?hash=item23f6e559b8:g:vLkAAOSwzIxgmEug,https://i.ebayimg.com/thumbs/images/g/vLkAAOSwzIxgmEug/s-l225.jpg,$16.00,Dec-12 12:14,"Irvine, Alberta, Canada",Unknown,Unknown,Instant,0,4,
item1f300790d0,Butterfly -  Papilio nobilis crippsianus Male x 5. From Uganda,https://www.ebay.com/itm/133949788368?hash=item1f300790d0:g:WLQAAOSwEoVhp~hT,https://i.ebayimg.com/thumbs/images/g/WLQAAOSwEoVhp~hT/s-l225.jpg,$6.64,Dec-05 10:15,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,2,1,"Dec 05, 2021

10:15:08 PST"
