id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1cb5622f7e,PAPILIO PERANTHUS INSULICOLA - unmounted butterfly,https://www.ebay.com/itm/123302195070?hash=item1cb5622f7e:g:o9YAAOSwYIhWj9vf,https://i.ebayimg.com/thumbs/images/g/o9YAAOSwYIhWj9vf/s-l225.jpg,$6.99,Feb-19 06:58,"Salzburg, Austria",Unknown,Unknown,Instant,0,6,
item3b63b0f766,"Unmounted Butterfly / Papilionidae - Papilio peranthus kransi, male, A1 / A-",https://www.ebay.com/itm/255075612518?hash=item3b63b0f766:g:mhEAAOSwweZhCF~~,https://i.ebayimg.com/thumbs/images/g/mhEAAOSwweZhCF~~/s-l225.jpg,$10.17,Feb-18 05:13,"Sieraków Wielkopolski, Poland",Unknown,Unknown,Instant,0,1,
item570f4d7ea5,PAPILIO PERANTHUS KINESIAS FEMALE FROM PURA ISL,https://www.ebay.com/itm/373918891685?hash=item570f4d7ea5:g:-3kAAOSwnfRiAAYQ,https://i.ebayimg.com/thumbs/images/g/-3kAAOSwnfRiAAYQ/s-l225.jpg,$56.00,Feb-13 11:50,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"Feb 13, 2022

11:50:17 PST"
item570ead77d9,PAPILIO PERANTHUS FULGENS MALE FROM FLORES ISL.,https://www.ebay.com/itm/373908404185?hash=item570ead77d9:g:ALYAAOSwQNdh9UdE,https://i.ebayimg.com/thumbs/images/g/ALYAAOSwQNdh9UdE/s-l225.jpg,$5.61,Feb-05 10:16,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 05, 2022

10:16:35 PST"
item54aeaf5034,PAPILIO PERANTHUS TRANSIENS FEMALE FROM BALI ISL.,https://www.ebay.com/itm/363707977780?hash=item54aeaf5034:g:6MwAAOSwCJVh9Ucj,https://i.ebayimg.com/thumbs/images/g/6MwAAOSwCJVh9Ucj/s-l225.jpg,$1.50,Feb-05 10:15,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Feb 05, 2022

10:15:20 PST"
item54aeaf4f6b,PAPILIO PERANTHUS TRANSIENS MALE FROM BALI ISL.,https://www.ebay.com/itm/363707977579?hash=item54aeaf4f6b:g:cioAAOSwvzZh9UcJ,https://i.ebayimg.com/thumbs/images/g/cioAAOSwvzZh9UcJ/s-l225.jpg,$2.25,Feb-05 10:14,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 05, 2022

10:14:13 PST"
item54aeaf4e96,PAPILIO PERANTHUS WANGIWANGIENSIS MALE FROM WANGI-WANGI ISL.,https://www.ebay.com/itm/363707977366?hash=item54aeaf4e96:g:3S4AAOSwxY1h9Ubw,https://i.ebayimg.com/thumbs/images/g/3S4AAOSwxY1h9Ubw/s-l225.jpg,$16.50,Feb-05 10:13,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Feb 05, 2022

10:13:47 PST"
item4dd66eedcd,Papilio peranthus wangiwangiensis - Unmounted Butterfly,https://www.ebay.com/itm/334310075853?hash=item4dd66eedcd:g:RDMAAOSw7DNh9eRl,https://i.ebayimg.com/thumbs/images/g/RDMAAOSw7DNh9eRl/s-l225.jpg,$15.00,Jan-30 12:11,"Port Douglas, QLD, Australia",indowings,https://www.ebay.com/usr/indowings?_trksid=p2047675.l2559,Instant,0,1,
item54ad377802,PAPILIO PERANTHUS SSP. MALE FROM ADONARA ISL.,https://www.ebay.com/itm/363683346434?hash=item54ad377802:g:LkMAAOSwClJh2bMO,https://i.ebayimg.com/thumbs/images/g/LkMAAOSwClJh2bMO/s-l225.jpg,$20.50,Jan-15 09:41,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Jan 15, 2022

09:41:47 PST"
item54acd203fa,PAPILIO PERANTHUS WANGIWANGIENSIS MALE FROM WANGI-WANGI ISL (glued),https://www.ebay.com/itm/363676697594?hash=item54acd203fa:g:NsUAAOSw~z5h0dNo,https://i.ebayimg.com/thumbs/images/g/NsUAAOSw~z5h0dNo/s-l225.jpg,$10.49,Jan-09 11:23,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jan 09, 2022

11:23:31 PST"
item570a6f843c,PAPILIO PERANTHUS KINESIAS MALE FROM ALOR ISL,https://www.ebay.com/itm/373837235260?hash=item570a6f843c:g:FAEAAOSwehBhxLfv,https://i.ebayimg.com/thumbs/images/g/FAEAAOSwehBhxLfv/s-l225.jpg,$37.56,Jan-02 11:50,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Jan 02, 2022

11:50:18 PST"
item54ac5c78a3,PAPILIO PERANTHUS KINESIAS FEMALE FROM ALOR ISL ++RARE++,https://www.ebay.com/itm/363668994211?hash=item54ac5c78a3:g:NRMAAOSwwCRhyIMk,https://i.ebayimg.com/thumbs/images/g/NRMAAOSwwCRhyIMk/s-l225.jpg,$37.56,Jan-02 11:49,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Jan 02, 2022

11:49:33 PST"
item570aa12023,PAPILIO PERANTHUS BAWEANUS (COLOR FORM) MALE FROM BAWEAN ISL,https://www.ebay.com/itm/373840486435?hash=item570aa12023:g:WqoAAOSwVNRhyINH,https://i.ebayimg.com/thumbs/images/g/WqoAAOSwVNRhyINH/s-l225.jpg,$10.50,Jan-02 11:48,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Jan 02, 2022

11:48:36 PST"
item23ea8d0888,Papilio peranthus - Indonesia - Unmounted - Ships from USA,https://www.ebay.com/itm/154258966664?hash=item23ea8d0888:g:-yIAAOSwH-Bf45lk,https://i.ebayimg.com/thumbs/images/g/-yIAAOSwH-Bf45lk/s-l225.jpg,$7.00,Dec-26 19:37,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,3,
item54abb0f34d,PAPILIO PERANTHUS WANGIWANGIENSIS MALE FROM WANGI WANGI ISL.,https://www.ebay.com/itm/363657753421?hash=item54abb0f34d:g:KCYAAOSwM2phuh~k,https://i.ebayimg.com/thumbs/images/g/KCYAAOSwM2phuh~k/s-l225.jpg,$16.35,Dec-25 10:08,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Dec 25, 2021

10:08:53 PST"
item5709e70ef5,PAPILIO PERANTHUS SSP. MALE FROM PANTAR ISL.,https://www.ebay.com/itm/373828292341?hash=item5709e70ef5:g:VjIAAOSwVkBhuh~J,https://i.ebayimg.com/thumbs/images/g/VjIAAOSwVkBhuh~J/s-l225.jpg,$9.00,Dec-25 10:07,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Dec 25, 2021

10:07:27 PST"
item54abb0f0ec,PAPILIO PERANTHUS TRANSIENS FEMALE FROM BALI ISL.,https://www.ebay.com/itm/363657752812?hash=item54abb0f0ec:g:cv0AAOSw9vNhuh-l,https://i.ebayimg.com/thumbs/images/g/cv0AAOSw9vNhuh-l/s-l225.jpg,$14.75,Dec-25 10:06,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Dec 25, 2021

10:06:16 PST"
