id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2d348fc322,Parides sesostris Butterfly FOLDED REAL Insect Unmounted,https://www.ebay.com/itm/194155365154?hash=item2d348fc322:g:bJAAAOSwEnNgrFMm,https://i.ebayimg.com/thumbs/images/g/bJAAAOSwEnNgrFMm/s-l225.jpg,$4.00,Mar-01 04:48,"Sainte-Brigitte-de-Laval, Quebec, Canada",Unknown,Unknown,Instant,0,13,
item54afb4de64,"PARIDES SESOSTRIS SSP. MALE FROM RIO MARANON, PERU",https://www.ebay.com/itm/363725119076?hash=item54afb4de64:g:ye4AAOSwDDtiB3rX,https://i.ebayimg.com/thumbs/images/g/ye4AAOSwDDtiB3rX/s-l225.jpg,$2.00,Feb-19 10:20,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 19, 2022

10:20:22 PST"
item54aeaf96a0,"PARIDES SESOSTRIS SESOSTRIS FROM RIO MARANON, PERU",https://www.ebay.com/itm/363707995808?hash=item54aeaf96a0:g:-RYAAOSwlBFh9U5-,https://i.ebayimg.com/thumbs/images/g/-RYAAOSwlBFh9U5-/s-l225.jpg,$5.50,Feb-05 11:05,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 05, 2022

11:05:13 PST"
item54aeaf95fd,"PARIDES SESOSTRIS SSP. FROM IQUITOS, LORETO, PERU",https://www.ebay.com/itm/363707995645?hash=item54aeaf95fd:g:334AAOSwQ8ph9U5j,https://i.ebayimg.com/thumbs/images/g/334AAOSwQ8ph9U5j/s-l225.jpg,$5.50,Feb-05 11:04,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Feb 05, 2022

11:04:44 PST"
item570b582093,"PARIDES SESOSTRIS SESOSTRIS MALE FROM RIO MARANON, PERU",https://www.ebay.com/itm/373852479635?hash=item570b582093:g:1TcAAOSw5oFh1dX7,https://i.ebayimg.com/thumbs/images/g/1TcAAOSw5oFh1dX7/s-l225.jpg,$3.25,Jan-15 11:44,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jan 15, 2022

11:44:15 PST"
item54ac8cedff,"PARIDES SESOSTRIS MALE FROM RIO MARANON, PERU",https://www.ebay.com/itm/363672169983?hash=item54ac8cedff:g:A8MAAOSwxZ1hzG0j,https://i.ebayimg.com/thumbs/images/g/A8MAAOSwxZ1hzG0j/s-l225.jpg,$1.50,Jan-08 09:01,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Jan 08, 2022

09:01:12 PST"
item54ac4bbcff,"PARIDES SESOSTRIS SSP. MALE FROM RIO MARANON, PERU",https://www.ebay.com/itm/363667897599?hash=item54ac4bbcff:g:VJwAAOSwcCthxvsl,https://i.ebayimg.com/thumbs/images/g/VJwAAOSwcCthxvsl/s-l225.jpg,$9.50,Jan-01 11:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Jan 01, 2022

11:34:11 PST"
item449a827754,Papilionidae Parides sesostris male a1 perou,https://www.ebay.com/itm/294650017620?hash=item449a827754:g:rWUAAOSwJ41hViC9,https://i.ebayimg.com/thumbs/images/g/rWUAAOSwJ41hViC9/s-l225.jpg,$5.62,Dec-26 13:42,"Trooz, Belgium",karshican,https://www.ebay.com/usr/karshican?_trksid=p2047675.l2559,Auction,1,1,"Dec 26, 2021

13:42:15 PST"
item54aab68131,"PARIDES SESOSTRIS SSP. MALE FROM RIO MARANON, LORETO, PERU",https://www.ebay.com/itm/363641340209?hash=item54aab68131:g:DScAAOSw4kphp8CM,https://i.ebayimg.com/thumbs/images/g/DScAAOSw4kphp8CM/s-l225.jpg,$8.50,Dec-11 11:33,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Dec 11, 2021

11:33:13 PST"
item5989230832,Parides sesostris (male/female) satipo-peru (mounted),https://www.ebay.com/itm/384552863794?hash=item5989230832:g:tXYAAOSw~lBhp0Me,https://i.ebayimg.com/thumbs/images/g/tXYAAOSw~lBhp0Me/s-l225.jpg,$26.96,Dec-08 10:44,"Sant Feliu de Llobregat, Spain",fernle_7753,https://www.ebay.com/usr/fernle_7753?_trksid=p2047675.l2559,Instant,0,1,
