id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item219e61e5bd,Apollo Apollo falter Parnassius apollo Butterfly Colour Print 1956 KNIGHT MOTH,https://www.ebay.com/itm/144391136701?hash=item219e61e5bd:g:Q3kAAOSwhL1f8ewd,https://i.ebayimg.com/thumbs/images/g/Q3kAAOSwhL1f8ewd/s-l225.jpg,$10.95,Feb-01 13:21,"Buchhorst, Germany",ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,1,
item2182123e36,Apollo Apollo falter Parnassius apollo Butterfly Colour Print 1956 KNIGHT MOTH,https://www.ebay.com/itm/143916154422?hash=item2182123e36:g:Q3kAAOSwhL1f8ewd,https://i.ebayimg.com/thumbs/images/g/Q3kAAOSwhL1f8ewd/s-l225.jpg,$10.95,Jan-23 09:18,"Buchhorst, Germany",ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,1,
item570c304f2e,"BUTTERFLIES OF THE WORLD PART 23 (Parnassius apollo III, TEXT) German Edition",https://www.ebay.com/itm/373866647342?hash=item570c304f2e:g:MIYAAOSw0Nhh3YNG,https://i.ebayimg.com/thumbs/images/g/MIYAAOSw0Nhh3YNG/s-l225.jpg,$15.49,Jan-16 09:05,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Jan 16, 2022

09:05:49 PST"
item54ad693072,BUTTERFLIES OF THE WORLD PART 13 (Parnassius apollo I plates) German Edition,https://www.ebay.com/itm/363686604914?hash=item54ad693072:g:jvEAAOSwd05hv1fD,https://i.ebayimg.com/thumbs/images/g/jvEAAOSwd05hv1fD/s-l225.jpg,$51.00,Jan-16 09:04,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,15,1,"Jan 16, 2022

09:04:38 PST"
item2556f79d1c,Butterflies Nymphalis Parnassius Apollo Red Cross Finland Mint MNH Stamps 1986,https://www.ebay.com/itm/160372858140?hash=item2556f79d1c:g:M9gAAOSwA3xcJcxC,https://i.ebayimg.com/thumbs/images/g/M9gAAOSwA3xcJcxC/s-l225.jpg,$3.00,Jan-14 23:54,"EU, Finland",nordicitems,https://www.ebay.com/usr/nordicitems?_trksid=p2047675.l2559,Instant,0,6,
item570b43070d,BUTTERFLIES OF THE WORLD PART 13 (Parnassius apollo I plates) German Edition,https://www.ebay.com/itm/373851096845?hash=item570b43070d:g:jvEAAOSwd05hv1fD,https://i.ebayimg.com/thumbs/images/g/jvEAAOSwd05hv1fD/s-l225.jpg,$52.00,Jan-09 08:34,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,18,1,"Jan 09, 2022

08:34:26 PST"
item570a284410,BUTTERFLIES OF THE WORLD PART 13 (Parnassius apollo I plates) German Edition,https://www.ebay.com/itm/373832565776?hash=item570a284410:g:jvEAAOSwd05hv1fD,https://i.ebayimg.com/thumbs/images/g/jvEAAOSwd05hv1fD/s-l225.jpg,$50.00,Dec-26 10:15,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"Dec 26, 2021

10:15:45 PST"
item28be82da2b,"SUTHERLAND COLLECTABLE THIMBLE 'APOLLO, PARNASSIUS APOLLO' BUTTERFLY",https://www.ebay.com/itm/174994938411?hash=item28be82da2b:g:yqEAAOSw9plhd~J8,https://i.ebayimg.com/thumbs/images/g/yqEAAOSw9plhd~J8/s-l225.jpg,$12.32,Dec-25 12:57,"TEWKESBURY, Gloucestershire, United Kingdom",jo-jo0508,https://www.ebay.com/usr/jo-jo0508?_trksid=p2047675.l2559,Instant,0,1,
item3b55a3ce16,PARNASSIUS Apollo Helmut glaßl [3. Edition],https://www.ebay.com/itm/254839868950?hash=item3b55a3ce16:g:60oAAOSwH0Vb2CIZ,https://i.ebayimg.com/thumbs/images/g/60oAAOSwH0Vb2CIZ/s-l225.jpg,$95.47,Dec-24 08:30,"Heroldsbach, Germany",cerisyi,https://www.ebay.com/usr/cerisyi?_trksid=p2047675.l2559,Instant,0,9,
item54aa730369,BUTTERFLIES OF THE WORLD PART 13 (Parnassius apollo I plates),https://www.ebay.com/itm/363636917097?hash=item54aa730369:g:seYAAOSwM8phoiC6,https://i.ebayimg.com/thumbs/images/g/seYAAOSwM8phoiC6/s-l225.jpg,$84.00,Dec-05 10:13,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Dec 05, 2021

10:13:03 PST"
