id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2d5d62d7a4,Polyommatus amandus - Amanda's Blue - pair,https://www.ebay.com/itm/194840287140?hash=item2d5d62d7a4:g:yc0AAOSwNPliDRgi,https://i.ebayimg.com/thumbs/images/g/yc0AAOSwNPliDRgi/s-l225.jpg,$28.16,Feb-27 10:41,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,7,1,"Feb 27, 2022

10:41:31 PST"
item267d1df4ba,"Lycaenidae Polyommatus amandus , mounted",https://www.ebay.com/itm/165307872442?hash=item267d1df4ba:g:rroAAOSwQ8ph9dli,https://i.ebayimg.com/thumbs/images/g/rroAAOSwQ8ph9dli/s-l225.jpg,$4.54,Feb-09 11:22,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,1,1,"Feb 09, 2022

11:22:24 PST"
item490c47cc58,"Polyommatus amandus amandus A1 Pair Russia, South Ural",https://www.ebay.com/itm/313738644568?hash=item490c47cc58:g:yNcAAOSwZpNhaXLs,https://i.ebayimg.com/thumbs/images/g/yNcAAOSwZpNhaXLs/s-l225.jpg,$9.00,Jan-16 16:19,"Chelyabinsk, Russian Federation",boris_3292,https://www.ebay.com/usr/boris_3292?_trksid=p2047675.l2559,Instant,0,1,
item2d552a8694,Polyommatus amandus - Amanda's Blue - male x2,https://www.ebay.com/itm/194702378644?hash=item2d552a8694:g:E9gAAOSwW0lh1IMN,https://i.ebayimg.com/thumbs/images/g/E9gAAOSwW0lh1IMN/s-l225.jpg,$7.38,Jan-16 09:59,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,4,1,"Jan 16, 2022

09:59:24 PST"
item4241751223,3 x Polyommatus amandus from Austria/Czech Republic,https://www.ebay.com/itm/284566032931?hash=item4241751223:g:TDoAAOSwZcZhtjKM,https://i.ebayimg.com/thumbs/images/g/TDoAAOSwZcZhtjKM/s-l225.jpg,$13.48,Jan-11 22:37,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1,
item449b8cb4fa,"Lycaenidae, Polyommatus amandus ABERRATION from Spain, mounted",https://www.ebay.com/itm/294667465978?hash=item449b8cb4fa:g:6LUAAOSwKGRhydFL,https://i.ebayimg.com/thumbs/images/g/6LUAAOSwKGRhydFL/s-l225.jpg,$1.33,Jan-03 06:44,"Wroclaw, Poland",wkukub9,https://www.ebay.com/usr/wkukub9?_trksid=p2047675.l2559,Auction,3,1,"Jan 03, 2022

06:44:55 PST"
item2d4b423713,Polyommatus amandus - Amanda's Blue - male x2,https://www.ebay.com/itm/194536158995?hash=item2d4b423713:g:P2EAAOSwPuBhn1km,https://i.ebayimg.com/thumbs/images/g/P2EAAOSwPuBhn1km/s-l225.jpg,$15.70,Dec-26 10:19,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,7,1,"Dec 26, 2021

10:19:39 PST"
item34538d7aff,LY0295 Polyommatus amandus amandus 1f Lycaenidae Belarus,https://www.ebay.com/itm/224740080383?hash=item34538d7aff:g:WbwAAOSwHQphoxRw,https://i.ebayimg.com/thumbs/images/g/WbwAAOSwHQphoxRw/s-l225.jpg,$3.00,Dec-19 10:46,"Ulan-Ude, default, Russian Federation",karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Auction,1,1,"Dec 19, 2021

10:46:09 PST"
item4ba62270ad,"LY0296 Polyommatus amandus turensis 1m Lycaenidae S Kazakhstan, Syr-Dariya",https://www.ebay.com/itm/324909822125?hash=item4ba62270ad:g:pxUAAOSwEQthpz67,https://i.ebayimg.com/thumbs/images/g/pxUAAOSwEQthpz67/s-l225.jpg,$4.00,Dec-05 09:43,"Ulan-Ude, default, Russian Federation",karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Auction,1,1,"Dec 05, 2021

09:43:48 PST"
item4ba622713e,"LY0297 Polyommatus amandus turensis 1f Lycaenidae SE Kazakhstan, Ketmen Mt. R.",https://www.ebay.com/itm/324909822270?hash=item4ba622713e:g:95cAAOSweY5hoxS0,https://i.ebayimg.com/thumbs/images/g/95cAAOSweY5hoxS0/s-l225.jpg,$4.00,Dec-05 09:43,"Ulan-Ude, default, Russian Federation",karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Auction,1,1,"Dec 05, 2021

09:43:24 PST"
