id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3dd3cf039c,Common Blue butterfly Polyommatus icarus SET x1 Male A1- British Butterfly .,https://www.ebay.com/itm/265546564508?hash=item3dd3cf039c:g:znYAAOSwn7piB-Gs,https://i.ebayimg.com/thumbs/images/g/znYAAOSwn7piB-Gs/s-l225.jpg,$16.03,Feb-25 09:19,"Sleaford, United Kingdom",Unknown,Unknown,Instant,0,1,
item28c18d1185,"POLYOMMATUS Icarus M 1, Greece, Rodopi",https://www.ebay.com/itm/175045939589?hash=item28c18d1185:g:V1QAAOSwuSlhn4V5,https://i.ebayimg.com/thumbs/images/g/V1QAAOSwuSlhn4V5/s-l225.jpg,$5.05,Feb-15 01:59,"Bad Nauheim, Germany",hxxxxx1,https://www.ebay.com/usr/hxxxxx1?_trksid=p2047675.l2559,Instant,0,1,
item490d20bdcd,Polyommatus icarus icarus A1 Males Armenia,https://www.ebay.com/itm/313752862157?hash=item490d20bdcd:g:sCoAAOSwAaNhkSsL,https://i.ebayimg.com/thumbs/images/g/sCoAAOSwAaNhkSsL/s-l225.jpg,$3.00,Feb-13 10:04,"Chelyabinsk, Russian Federation",Unknown,Unknown,Instant,0,2,
item40063beedc,Common Blue butterfly Polyommatus icarus SET x1 Male A1 British Butterfly #j01,https://www.ebay.com/itm/274982498012?hash=item40063beedc:g:AEQAAOSwJJBhZHVy,https://i.ebayimg.com/thumbs/images/g/AEQAAOSwJJBhZHVy/s-l225.jpg,$16.03,Feb-12 08:35,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,6,
item2d593fc2c2,"Polyommatus icarus - Common Blue - pair , revers",https://www.ebay.com/itm/194770879170?hash=item2d593fc2c2:g:j0oAAOSwy1th8V9b,https://i.ebayimg.com/thumbs/images/g/j0oAAOSwy1th8V9b/s-l225.jpg,$4.03,Feb-06 10:17,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Feb 06, 2022

10:17:09 PST"
item491233083d,"Polyommatus icarus icarus A1 Pair (Female Aberration) Russia, Dagestan",https://www.ebay.com/itm/313837946941?hash=item491233083d:g:MUAAAOSwuZxh5d1s,https://i.ebayimg.com/thumbs/images/g/MUAAAOSwuZxh5d1s/s-l225.jpg,$18.00,Jan-31 05:03,"Chelyabinsk, Russian Federation",boris_3292,https://www.ebay.com/usr/boris_3292?_trksid=p2047675.l2559,Instant,0,1,
item4912330bcb,"Polyommatus icarus icarus A1 Male Aberration Russia, Dagestan",https://www.ebay.com/itm/313837947851?hash=item4912330bcb:g:A5UAAOSwDtRh5d3p,https://i.ebayimg.com/thumbs/images/g/A5UAAOSwDtRh5d3p/s-l225.jpg,$8.00,Jan-18 05:16,"Chelyabinsk, Russian Federation",boris_3292,https://www.ebay.com/usr/boris_3292?_trksid=p2047675.l2559,Instant,0,1,
item490c47cc59,"Polyommatus icarus icarus A1 Pair, Russia, South Ural",https://www.ebay.com/itm/313738644569?hash=item490c47cc59:g:yBkAAOSwOuJgcN4D,https://i.ebayimg.com/thumbs/images/g/yBkAAOSwOuJgcN4D/s-l225.jpg,$6.00,Jan-16 16:19,"Chelyabinsk, Russian Federation",boris_3292,https://www.ebay.com/usr/boris_3292?_trksid=p2047675.l2559,Instant,0,1,
item2d5529f3d2,Polyommatus icarus - Common Blue - pair x2,https://www.ebay.com/itm/194702341074?hash=item2d5529f3d2:g:~5EAAOSwuZxh1fu8,https://i.ebayimg.com/thumbs/images/g/~5EAAOSwuZxh1fu8/s-l225.jpg,$4.29,Jan-16 09:58,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,2,1,"Jan 16, 2022

09:58:31 PST"
item2d4b41d33b,"Polyommatus icarus - Common Blue - pair , revers male",https://www.ebay.com/itm/194536133435?hash=item2d4b41d33b:g:0qUAAOSwHgJhn1XR,https://i.ebayimg.com/thumbs/images/g/0qUAAOSwHgJhn1XR/s-l225.jpg,$8.05,Dec-26 10:13,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,3,1,"Dec 26, 2021

10:13:36 PST"
item400aff67e0,Lycaenidae - Polyommatus icarus - Common Blue - pair & female reverse,https://www.ebay.com/itm/275062417376?hash=item400aff67e0:g:-ccAAOSwAm1hkTzb,https://i.ebayimg.com/thumbs/images/g/-ccAAOSwAm1hkTzb/s-l225.jpg,$4.49,Dec-19 11:18,"Jarosław, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1,"Dec 19, 2021

11:18:40 PST"
item4ba6228255,"LY0310 Polyommatus icarus persica 1m Iran, Mazandaran, Alborz Mt. R.",https://www.ebay.com/itm/324909826645?hash=item4ba6228255:g:Rc8AAOSwN19hoxcd,https://i.ebayimg.com/thumbs/images/g/Rc8AAOSwN19hoxcd/s-l225.jpg,$2.50,Dec-05 09:47,"Ulan-Ude, default, Russian Federation",karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Auction,1,1,"Dec 05, 2021

09:47:39 PST"
