id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item345a6ae91b,UNMOUNTED BUTTERFLIES/ORNITHOPTERA TROIDES HYPOLITUS HYPOLITUS PAIR.,https://www.ebay.com/itm/224855255323?hash=item345a6ae91b:g:GZ8AAOSwMNliEGmZ,https://i.ebayimg.com/thumbs/images/g/GZ8AAOSwMNliEGmZ/s-l225.jpg,$41.99,Mar-01 19:51,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,4,1,"Mar 01, 2022

19:51:41 PST"
item21a05a701e,+ Entomology Butterfly: TROIDES HYPOLITUS HYPOLITUS ♂ Ceram ISL +++,https://www.ebay.com/itm/144424202270?hash=item21a05a701e:g:QrUAAOSwp3BiEoJR,https://i.ebayimg.com/thumbs/images/g/QrUAAOSwp3BiEoJR/s-l225.jpg,$28.01,Feb-27 10:03,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,9,1,"Feb 27, 2022

10:03:08 PST"
item3458a3d879,"TROIDES HYPOLITUS CELLULARIS FEMALE | SULAWESI, INDONESIA | AS PICTURED",https://www.ebay.com/itm/224825432185?hash=item3458a3d879:g:3N4AAOSwoFBh477w,https://i.ebayimg.com/thumbs/images/g/3N4AAOSwoFBh477w/s-l225.jpg,$16.77,Feb-13 13:05,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,7,1,"Feb 13, 2022

13:05:45 PST"
item3458a3dbf6,"TROIDES HYPOLITUS CELLULARIS MALE | SULAWESI, INDONESIA | AS PICTURED",https://www.ebay.com/itm/224825433078?hash=item3458a3dbf6:g:AS4AAOSw5F1h477H,https://i.ebayimg.com/thumbs/images/g/AS4AAOSw5F1h477H/s-l225.jpg,$17.44,Feb-13 13:03,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,8,1,"Feb 13, 2022

13:03:51 PST"
item1f33d9d946,+ Entomology Butterfly: TROIDES HYPOLITUS ♀ Ceram ISL +++,https://www.ebay.com/itm/134013901126?hash=item1f33d9d946:g:vUMAAOSw1IFh~Bs5,https://i.ebayimg.com/thumbs/images/g/vUMAAOSw1IFh~Bs5/s-l225.jpg,$29.52,Feb-13 10:13,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,22,1,"Feb 13, 2022

10:13:23 PST"
item345831c6e6,UNMOUNTED BUTTERFLIES/ORNITHOPTERA TROIDES HYPOLITUS HYPOLITUS MALE.,https://www.ebay.com/itm/224817956582?hash=item345831c6e6:g:v~8AAOSw0c5h-J9t,https://i.ebayimg.com/thumbs/images/g/v~8AAOSw0c5h-J9t/s-l225.jpg,$7.99,Feb-05 18:49,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Feb 05, 2022

18:49:29 PST"
item345831bcb6,UNMOUNTED BUTTERFLIES/ORNITHOPTERA TROIDES HYPOLITUS HYPOLITUS PAIR.,https://www.ebay.com/itm/224817953974?hash=item345831bcb6:g:zXwAAOSwW4Zh-J8F,https://i.ebayimg.com/thumbs/images/g/zXwAAOSwW4Zh-J8F/s-l225.jpg,$27.99,Feb-05 18:47,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,2,1,"Feb 05, 2022

18:47:44 PST"
item3457976de8,UNMOUNTED BUTTERFLIES/ORNITHOPTERA TROIDES HYPOLITUS ANTIOPA PAIR.,https://www.ebay.com/itm/224807841256?hash=item3457976de8:g:V6oAAOSwFzVh8L1a,https://i.ebayimg.com/thumbs/images/g/V6oAAOSwFzVh8L1a/s-l225.jpg,$30.00,Jan-30 19:19,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,3,1,"Jan 30, 2022

19:19:08 PST"
item219de331f7,+ Entomology Butterfly: TROIDES HYPOLITUS HYPOLITUS ♀ Ceram +++,https://www.ebay.com/itm/144382833143?hash=item219de331f7:g:qM4AAOSw8b1h7Zn8,https://i.ebayimg.com/thumbs/images/g/qM4AAOSw8b1h7Zn8/s-l225.jpg,$19.66,Jan-30 10:10,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,15,1,"Jan 30, 2022

10:10:14 PST"
item1f3338c4d4,+ Entomology Butterfly: TROIDES HYPOLITUS HYPOLITUS ♂ Ceram +++,https://www.ebay.com/itm/134003344596?hash=item1f3338c4d4:g:VsMAAOSwig1h7ZnX,https://i.ebayimg.com/thumbs/images/g/VsMAAOSwig1h7ZnX/s-l225.jpg,$27.52,Jan-30 10:09,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,15,1,"Jan 30, 2022

10:09:40 PST"
