id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item491032dbf8,"Paul young-come back and stay Extended Clu 12"" MAXI VINYL SCARF",https://www.ebay.com/itm/313804381176?hash=item491032dbf8:g:4NgAAOSwUhthxHM2,https://i.ebayimg.com/thumbs/images/g/4NgAAOSwUhthxHM2/s-l225.jpg,$13.64,Mar-01 23:10,"Mülheim, NRW, Germany",buy24hours,https://www.ebay.com/usr/buy24hours?_trksid=p2047675.l2559,Instant,0,1,
item49054054f7,Black Adder V - Back and Forth,https://www.ebay.com/itm/313620714743?epid=3343633&hash=item49054054f7:g:Bi0AAOxyVLNS~Deq,https://i.ebayimg.com/thumbs/images/g/Bi0AAOxyVLNS~Deq/s-l225.jpg,$5.25,Mar-01 22:41,"Colorado Springs, Colorado, United States",goodwill_colorado_springs,https://www.ebay.com/usr/goodwill_colorado_springs?_trksid=p2047675.l2559,Instant,0,1,
item525ec52e6c,Lot of 3 Aleve Back & Muscle Pain Naproxen Sodium 220mg 100 Tablets EXP 09/2023,https://www.ebay.com/itm/353777299052?epid=25017806298&hash=item525ec52e6c:g:k~cAAOSwteNhmVtE,https://i.ebayimg.com/thumbs/images/g/k~cAAOSwteNhmVtE/s-l225.jpg,$17.99,Mar-01 21:33,"Antelope, California, United States",enchantingobjects,https://www.ebay.com/usr/enchantingobjects?_trksid=p2047675.l2559,Instant,0,1,
item5bba2db565,Zyllion ZMA-13-BK Shiatsu Back and Neck Massager with Heat and Vehicle Cord,https://www.ebay.com/itm/393965581669?epid=6028769343&hash=item5bba2db565:g:HuwAAOSwp7piHUPH,https://i.ebayimg.com/thumbs/images/g/HuwAAOSwp7piHUPH/s-l225.jpg,$29.99,Mar-01 21:19,"Wichita Falls, Texas, United States",texastrove,https://www.ebay.com/usr/texastrove?_trksid=p2047675.l2559,Instant,0,1,
item21a0cd9f41,Back and Neck Brace Aspen Vista CTO4...INCLUDING additional back support.,https://www.ebay.com/itm/144431750977?hash=item21a0cd9f41:g:35kAAOSww7hhtEjF,https://i.ebayimg.com/thumbs/images/g/35kAAOSww7hhtEjF/s-l225.jpg,$180.00,Mar-01 19:56,"Taunton, Massachusetts, United States",workingsupraman,https://www.ebay.com/usr/workingsupraman?_trksid=p2047675.l2559,Auction,1,1,"Mar 01, 2022

19:56:26 PST"
item1d2518c9a5,"no boundaries jean Jacket with knit Ribbed arms And Back, And Fur On the Collar",https://www.ebay.com/itm/125176433061?hash=item1d2518c9a5:g:EGwAAOSwW4Zh-YOh,https://i.ebayimg.com/thumbs/images/g/EGwAAOSwW4Zh-YOh/s-l225.jpg,$22.30,Mar-01 19:28,"Portland, Tennessee, United States",kkssince1976,https://www.ebay.com/usr/kkssince1976?_trksid=p2047675.l2559,Auction,1,1,"Mar 01, 2022

19:28:03 PST"
item36854724a6,(2) 2021 Gypsy Queen Rickey Henderson Bazooka Back and base 315/320 Athletics,https://www.ebay.com/itm/234164266150?hash=item36854724a6:g:TrAAAOSw2V1hLD3e,https://i.ebayimg.com/thumbs/images/g/TrAAAOSw2V1hLD3e/s-l225.jpg,$75.00,Mar-01 18:57,"Woodbridge, Virginia, United States",coolectibles-n-more,https://www.ebay.com/usr/coolectibles-n-more?_trksid=p2047675.l2559,Instant,0,1,
item2b24651708,Trump the Game â„¢ I'm Back and You're Fired!  by Parker Brothers 2004 New Sealed,https://www.ebay.com/itm/185294198536?epid=0&hash=item2b24651708:g:XUwAAOSw6mRgYQhI,https://i.ebayimg.com/thumbs/images/g/XUwAAOSw6mRgYQhI/s-l225.jpg,$29.99,Mar-01 18:56,"New Rochelle, New York, United States",sircattywompus,https://www.ebay.com/usr/sircattywompus?_trksid=p2047675.l2559,Instant,0,1,
item5bb9b3beb3,Guitar Luthier Tonewood QUARTERSAWN WENGE Acoustic backs sides SET back and side,https://www.ebay.com/itm/393957588659?hash=item5bb9b3beb3:g:HZsAAOSwDthiF~ky,https://i.ebayimg.com/thumbs/images/g/HZsAAOSwDthiF~ky/s-l225.jpg,$29.00,Mar-01 18:06,"Chatsworth, Georgia, United States",ahix1176,https://www.ebay.com/usr/ahix1176?_trksid=p2047675.l2559,Auction,3,1,"Mar 01, 2022

18:06:18 PST"
item5bb9b3b9a4,Guitar Luthier Tonewood FIGURED OVANGKOL Acoustic backs sides SET back and sides,https://www.ebay.com/itm/393957587364?hash=item5bb9b3b9a4:g:9uYAAOSwSiRiF~i4,https://i.ebayimg.com/thumbs/images/g/9uYAAOSwSiRiF~i4/s-l225.jpg,$19.99,Mar-01 18:02,"Chatsworth, Georgia, United States",ahix1176,https://www.ebay.com/usr/ahix1176?_trksid=p2047675.l2559,Auction,1,1,"Mar 01, 2022

18:02:20 PST"
