id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4dd5d07bb3,Butterfly Red Spotted Purple Butterfly Metal Earth 3D Model Kit Fascinations,https://www.ebay.com/itm/334299691955?hash=item4dd5d07bb3:g:5k0AAOSwS~te7KZU,https://i.ebayimg.com/thumbs/images/g/5k0AAOSwS~te7KZU/s-l225.jpg,$10.91,Feb-27 05:56,"06134, Italy",wetzikon67,https://www.ebay.com/usr/wetzikon67?_trksid=p2047675.l2559,Instant,0,1,
item5defece7a7,Stunning Limenitis arthemis Red-spotted Purple Butterfly Indiana #52W WOW,https://www.ebay.com/itm/403457238951?hash=item5defece7a7:g:tAQAAOSwDgdh-GyE,https://i.ebayimg.com/thumbs/images/g/tAQAAOSwDgdh-GyE/s-l225.jpg,$30.00,Feb-14 15:18,"Depauw, Indiana, United States",fossilinsect09,https://www.ebay.com/usr/fossilinsect09?_trksid=p2047675.l2559,Auction,1,1,"Feb 14, 2022

15:18:19 PST"
item1d2169dba7,Red-Spotted Purple Butterfly Limenitis arthemis astyanax Nymphalidae TX M114,https://www.ebay.com/itm/125114637223?hash=item1d2169dba7:g:nzEAAOSwB5hh62s5,https://i.ebayimg.com/thumbs/images/g/nzEAAOSwB5hh62s5/s-l225.jpg,$5.10,Feb-07 19:42,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,2,1,"Feb 07, 2022

19:42:07 PST"
item345151f0ac,Limenitis arizonensis blue red spotted purple verso butterfly AZ framed,https://www.ebay.com/itm/224702623916?hash=item345151f0ac:g:N6sAAOSw9gxhmViO,https://i.ebayimg.com/thumbs/images/g/N6sAAOSw9gxhmViO/s-l225.jpg,$42.00,Jan-27 06:24,"Sahuarita, Arizona, United States",Unknown,Unknown,Instant,0,2,
item449ec647f0,Canada 2014 20 Dollar Butterfly Red Spotted Purple Silver .9999 Proof Coin,https://www.ebay.com/itm/294721570800?hash=item449ec647f0:g:qAIAAOSwdthh4FL0,https://i.ebayimg.com/thumbs/images/g/qAIAAOSwdthh4FL0/s-l225.jpg,$55.18,Jan-23 11:00,"Regina,Saskatchewan, Canada",prairie_coin,https://www.ebay.com/usr/prairie_coin?_trksid=p2047675.l2559,Instant,0,1,
item4dccc814e5,Butterfly Red Spotted Purple Butterfly Metal Earth 3D Model Kit MMS130,https://www.ebay.com/itm/334148146405?hash=item4dccc814e5:g:5k0AAOSwS~te7KZU,https://i.ebayimg.com/thumbs/images/g/5k0AAOSwS~te7KZU/s-l225.jpg,$10.84,Jan-21 02:22,"06134, Italy",wetzikon67,https://www.ebay.com/usr/wetzikon67?_trksid=p2047675.l2559,Instant,0,1,
item48ac7196dc,RED SPOTTED PURPLE Butterfly Series JFK Kennedy Half Dollar U.S. Coin NEW,https://www.ebay.com/itm/312130770652?hash=item48ac7196dc:g:d5gAAOSw7aFa8e53,https://i.ebayimg.com/thumbs/images/g/d5gAAOSw7aFa8e53/s-l225.jpg,$8.95,Jan-16 17:18,"Freeport, New York, United States",Unknown,Unknown,Instant,0,14,
item598060a841,Canada 2014 $20 Fine Silver Butterflies of Canada - Red-Spotted Purple,https://www.ebay.com/itm/384405907521?hash=item598060a841:g:AjoAAOSwVZhhSfGO,https://i.ebayimg.com/thumbs/images/g/AjoAAOSwVZhhSfGO/s-l225.jpg,$54.39,Jan-13 06:54,"Quebec, Quebec, Canada",capitalecollection,https://www.ebay.com/usr/capitalecollection?_trksid=p2047675.l2559,Instant,0,1,
item570a9a991c,Red-Spotted Purple Butterfly Limenitis arthemis astyanax Nymphalidae TX L213,https://www.ebay.com/itm/373840058652?hash=item570a9a991c:g:VjIAAOSwKMJhxthU,https://i.ebayimg.com/thumbs/images/g/VjIAAOSwKMJhxthU/s-l225.jpg,$9.50,Jan-10 19:39,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,3,1,"Jan 10, 2022

19:39:51 PST"
item1d1ec0ae2b,Red-Spotted Purple Butterfly Limenitis arthemis astyanax Nymphalidae TX L212,https://www.ebay.com/itm/125069995563?hash=item1d1ec0ae2b:g:yu0AAOSwXHthxtnC,https://i.ebayimg.com/thumbs/images/g/yu0AAOSwXHthxtnC/s-l225.jpg,$6.16,Jan-10 19:38,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,2,1,"Jan 10, 2022

19:38:34 PST"
item2d42d4b20c,2014 $20 PCGS PR70DCAM - Red Spotted Purple Butterfly,https://www.ebay.com/itm/194394763788?hash=item2d42d4b20c:g:W6EAAOSwkOxhUIUJ,https://i.ebayimg.com/thumbs/images/g/W6EAAOSwkOxhUIUJ/s-l225.jpg,$145.00,Dec-31 19:58,"New Britain, Connecticut, United States",ebelairjr,https://www.ebay.com/usr/ebelairjr?_trksid=p2047675.l2559,Instant,0,1,
