id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f33b1a264,"Vintage Ekco Stainless Steel Slotted Spatula SHORT 9"" Speckled Wood Handle Clean",https://www.ebay.com/itm/134011265636?hash=item1f33b1a264:g:-icAAOSwQ0Zh-IHE,https://i.ebayimg.com/thumbs/images/g/-icAAOSwQ0Zh-IHE/s-l225.jpg,$34.95,Feb-15 16:53,"North Canton, Ohio, United States",ibejunkin,https://www.ebay.com/usr/ibejunkin?_trksid=p2047675.l2559,Instant,0,1,
item5bb687725a,Pair Of Stacking Decorative Square Bowls Unknown Speckled Wood,https://www.ebay.com/itm/393904353882?hash=item5bb687725a:g:f1AAAOSwNK1h9KnA,https://i.ebayimg.com/thumbs/images/g/f1AAAOSwNK1h9KnA/s-l225.jpg,$22.80,Feb-11 18:22,"McMinnville, Oregon, United States",swedemom,https://www.ebay.com/usr/swedemom?_trksid=p2047675.l2559,Instant,0,1,
item46c6fa5638,1 x playing card of a Butterfly Speckled Wood 40-45 mm 6 of Clubs,https://www.ebay.com/itm/303986005560?hash=item46c6fa5638:g:LHcAAOSw1oBgkiBB,https://i.ebayimg.com/thumbs/images/g/LHcAAOSw1oBgkiBB/s-l225.jpg,$2.52,Feb-02 11:48,"Eastbourne, United Kingdom",jean-bni_0,https://www.ebay.com/usr/jean-bni_0?_trksid=p2047675.l2559,Instant,0,2,
item447fefdd3b,L.L. Bean Cast Iron Enamel Sauce Pan Pour Spout Pot 6 inch Blue Speckled Wood,https://www.ebay.com/itm/294204202299?hash=item447fefdd3b:g:M0kAAOSw1bxgtR8t,https://i.ebayimg.com/thumbs/images/g/M0kAAOSw1bxgtR8t/s-l225.jpg,$34.99,Jan-28 03:41,"Palmerton, Pennsylvania, United States",rhz5001,https://www.ebay.com/usr/rhz5001?_trksid=p2047675.l2559,Instant,0,1,
item3dc6ea2c21,Target Bullseye Playground 6ct Speckled Wood Egg Decoration Easter,https://www.ebay.com/itm/265330240545?hash=item3dc6ea2c21:g:luIAAOSwtVBhTnaN,https://i.ebayimg.com/thumbs/images/g/luIAAOSwtVBhTnaN/s-l225.jpg,$6.00,Jan-23 16:54,"Las Vegas, Nevada, United States",cowgirl4life30,https://www.ebay.com/usr/cowgirl4life30?_trksid=p2047675.l2559,Instant,0,1,
item2f729ebc3e,Pair Speckled Wood Butterflies Bagshot Hants Moth Insect Lepidoptera Taxidermy,https://www.ebay.com/itm/203786468414?hash=item2f729ebc3e:g:ZFwAAOSws4Rh2y4r,https://i.ebayimg.com/thumbs/images/g/ZFwAAOSws4Rh2y4r/s-l225.jpg,$6.66,Jan-16 10:53,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,1,1,"Jan 16, 2022

10:53:47 PST"
item3fcdf4981c,"Fine Art Quality Postcard, Speckled Wood Butterfly Photo by Ian Rabjohns CK8",https://www.ebay.com/itm/274038298652?hash=item3fcdf4981c:g:AYQAAOSw1EZe22Pw,https://i.ebayimg.com/thumbs/images/g/AYQAAOSw1EZe22Pw/s-l225.jpg,$3.34,Jan-14 02:35,"Barnsley, United Kingdom",Unknown,Unknown,Instant,0,72,
item2673e78a53,EDDIE BAUER Women Angora-Blend Sweater Vest Sz XL Green Speckled Wood Buttons,https://www.ebay.com/itm/165153311315?hash=item2673e78a53:g:Wt8AAOSwrIJhehgi,https://i.ebayimg.com/thumbs/images/g/Wt8AAOSwrIJhehgi/s-l225.jpg,$13.99,Jan-01 19:36,"Sterling Heights, Michigan, United States",valrya9,https://www.ebay.com/usr/valrya9?_trksid=p2047675.l2559,Instant,0,1,
item28a9bb2bbe,Vintage Mid Century EKCO Pull Thru Knife Sharpener Gold Speckled Wood Handle USA,https://www.ebay.com/itm/174646307774?hash=item28a9bb2bbe:g:c8YAAOSw7ctgMYEB,https://i.ebayimg.com/thumbs/images/g/c8YAAOSw7ctgMYEB/s-l225.jpg,$8.99,Dec-30 10:45,"Brookfield, Wisconsin, United States",lafo_jea,https://www.ebay.com/usr/lafo_jea?_trksid=p2047675.l2559,Instant,0,1,
item2d4b3fdf41,Pararge aegeria  - Speckled Wood - pair,https://www.ebay.com/itm/194536005441?hash=item2d4b3fdf41:g:DcEAAOSwaAlhn0de,https://i.ebayimg.com/thumbs/images/g/DcEAAOSwaAlhn0de/s-l225.jpg,$4.27,Dec-26 09:52,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,2,1,"Dec 26, 2021

09:52:31 PST"
item400aff2c6e,Nymphalinae - Satyrinae - Pararge aegeria - Speckled Wood - pair,https://www.ebay.com/itm/275062402158?hash=item400aff2c6e:g:1lgAAOSw--BhmnvW,https://i.ebayimg.com/thumbs/images/g/1lgAAOSw--BhmnvW/s-l225.jpg,$4.46,Dec-19 11:04,"Jarosław, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1,"Dec 19, 2021

11:04:06 PST"
item1d164d49d3,Seasalt Speckled Wood Jumper size 16.  Z4,https://www.ebay.com/itm/124928215507?hash=item1d164d49d3:g:2PUAAOSwNHthVo8o,https://i.ebayimg.com/thumbs/images/g/2PUAAOSwNHthVo8o/s-l225.jpg,$33.37,Dec-14 04:11,"Lowestoft, United Kingdom",rena311210,https://www.ebay.com/usr/rena311210?_trksid=p2047675.l2559,Instant,0,1,
