id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item267f77861b,Cerambycidae- Macrodontia cervicornis 150mm VERY RARE LOCATION Bolivia 2098,https://www.ebay.com/itm/165347296795?hash=item267f77861b:g:hLIAAOSw2SdhVk7V,https://i.ebayimg.com/thumbs/images/g/hLIAAOSw2SdhVk7V/s-l225.jpg,$299.99,Feb-27 16:21,Unknown,expertcollector,https://www.ebay.com/usr/expertcollector?_trksid=p2047675.l2559,Auction,1,1,"Feb 27, 2022

16:21:17 PST"
item491460798c,Macrodontia cervicornis 160mm!!!,https://www.ebay.com/itm/313874479500?hash=item491460798c:g:d2gAAOSwjkZiCTB4,https://i.ebayimg.com/thumbs/images/g/d2gAAOSwjkZiCTB4/s-l225.jpg,$557.08,Feb-14 14:03,Unknown,goliathini,https://www.ebay.com/usr/goliathini?_trksid=p2047675.l2559,Instant,0,1,
item5def89c468,MACRODONTIA CERVICORNIS 155mm (Peru),https://www.ebay.com/itm/403450741864?hash=item5def89c468:g:BxcAAOSwd8Vh-Cta,https://i.ebayimg.com/thumbs/images/g/BxcAAOSwd8Vh-Cta/s-l225.jpg,$400.00,Feb-14 09:23,Unknown,insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,1,1,"Feb 14, 2022

09:23:29 PST"
item3458a34633,MACRODONTIA CERVICORNIS MALE | HUANUCO PERU | AS PICTURED | XXL  140.32MM SCARCE,https://www.ebay.com/itm/224825394739?hash=item3458a34633:g:uoEAAOSw1zph~7iZ,https://i.ebayimg.com/thumbs/images/g/uoEAAOSw1zph~7iZ/s-l225.jpg,$162.89,Feb-13 10:24,Unknown,multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,19,1,"Feb 13, 2022

10:24:53 PST"
item42467c6e59,"Macrodontia cervicornis 113,50 mm",https://www.ebay.com/itm/284650401369?hash=item42467c6e59:g:3TkAAOSwWwFiB5-I,https://i.ebayimg.com/thumbs/images/g/3TkAAOSwWwFiB5-I/s-l225.jpg,$66.85,Feb-12 12:23,Unknown,Unknown,Unknown,Instant,0,1,
item4bade631b6,Huge MACRODONTIA cervicornis 146mm PRIONINAE Peru Beetle Insect Rare,https://www.ebay.com/itm/325040091574?hash=item4bade631b6:g:2rYAAOSwhN5iAuxj,https://i.ebayimg.com/thumbs/images/g/2rYAAOSwhN5iAuxj/s-l225.jpg,$224.83,Feb-09 19:36,Unknown,stormbed_paleontological,https://www.ebay.com/usr/stormbed_paleontological?_trksid=p2047675.l2559,Instant,0,1,
item4900aab274,0312 - Cerambycidae Macrodontia cervicornis FEMALE 95mm A1 PERU - A1 BUT OILY,https://www.ebay.com/itm/313543799412?hash=item4900aab274:g:I28AAOSwNepgobGT,https://i.ebayimg.com/thumbs/images/g/I28AAOSwNepgobGT/s-l225.jpg,$45.00,Feb-09 10:00,Unknown,Unknown,Unknown,Instant,0,8,
item4bade6265a,Huge MACRODONTIA cervicornis 155mm PRIONINAE Peru Beetle Insect Rare,https://www.ebay.com/itm/325040088666?hash=item4bade6265a:g:XwYAAOSwICxiAuug,https://i.ebayimg.com/thumbs/images/g/XwYAAOSwICxiAuug/s-l225.jpg,$319.49,Feb-08 23:19,Unknown,stormbed_paleontological,https://www.ebay.com/usr/stormbed_paleontological?_trksid=p2047675.l2559,Instant,0,1,
item4bada578e4,Rare MACRODONTIA cervicornis Pair 14.7cm and 11.6cm PRIONINAE Peru Beetle Insect,https://www.ebay.com/itm/325035849956?hash=item4bada578e4:g:trEAAOSwQIZiAE5L,https://i.ebayimg.com/thumbs/images/g/trEAAOSwQIZiAE5L/s-l225.jpg,$189.33,Feb-07 13:00,Unknown,stormbed_paleontological,https://www.ebay.com/usr/stormbed_paleontological?_trksid=p2047675.l2559,Instant,0,1,
item36933f0c15,B CERAMBYCIDAE PRIONIINAE MALE Macrodontia cervicornis FROM PERU 111mm male,https://www.ebay.com/itm/234398616597?hash=item36933f0c15:g:B3IAAOSwPdhh9bnR,https://i.ebayimg.com/thumbs/images/g/B3IAAOSwPdhh9bnR/s-l225.jpg,$90.00,Feb-05 14:04,Unknown,beetlesdundee,https://www.ebay.com/usr/beetlesdundee?_trksid=p2047675.l2559,Auction,11,1,"Feb 05, 2022

14:04:10 PST"
item4bad415501,Rare MACRODONTIA cervicornis 14.3cm huge PRIONINAE Peru Beetle Insect Rare,https://www.ebay.com/itm/325029287169?hash=item4bad415501:g:Tk0AAOSwRFZh-xWD,https://i.ebayimg.com/thumbs/images/g/Tk0AAOSwRFZh-xWD/s-l225.jpg,$114.38,Feb-03 05:50,Unknown,stormbed_paleontological,https://www.ebay.com/usr/stormbed_paleontological?_trksid=p2047675.l2559,Instant,0,1,
item2d57916229,CERAMBYCIDAE # 50 MACRODONTIA CERVICORNIS 14CM - DEC2021,https://www.ebay.com/itm/194742673961?hash=item2d57916229:g:9NoAAOSwN4dhrLaI,https://i.ebayimg.com/thumbs/images/g/9NoAAOSwN4dhrLaI/s-l225.jpg,$112.50,Jan-23 09:15,Unknown,amarathperu,https://www.ebay.com/usr/amarathperu?_trksid=p2047675.l2559,Auction,13,1,"Jan 23, 2022

09:15:26 PST"
