id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3daa06dfde,Aglais io Peacock (Aberration) real butterfly X1 A- SET #j01,https://www.ebay.com/itm/264845582302?hash=item3daa06dfde:g:tU0AAOSwRmxgW1mV,https://i.ebayimg.com/thumbs/images/g/tU0AAOSwRmxgW1mV/s-l225.jpg,$35.38,May-27 09:51,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,1,
item4b93c41681,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324601648769?hash=item4b93c41681:g:2OgAAOSwwq9gjwtO,https://i.ebayimg.com/thumbs/images/g/2OgAAOSwwq9gjwtO/s-l225.jpg,$4.08,May-09 13:28,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"May 09, 2021

13:28:09 PDT"
item4b93c41063,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324601647203?hash=item4b93c41063:g:eqEAAOSwovhgjwsE,https://i.ebayimg.com/thumbs/images/g/eqEAAOSwovhgjwsE/s-l225.jpg,$4.08,May-09 13:26,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"May 09, 2021

13:26:59 PDT"
item4b926a88a0,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324579002528?hash=item4b926a88a0:g:-2EAAOSw-vlgV6tD,https://i.ebayimg.com/thumbs/images/g/-2EAAOSw-vlgV6tD/s-l225.jpg,$6.39,Apr-25 14:18,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,8,1,"Apr 25, 2021

14:18:07 PDT"
item4b926a8560,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324579001696?hash=item4b926a8560:g:AcsAAOSw9Opgahg2,https://i.ebayimg.com/thumbs/images/g/AcsAAOSw9Opgahg2/s-l225.jpg,$5.30,Apr-25 14:16,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,3,1,"Apr 25, 2021

14:16:58 PDT"
item4b9269ef7f,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324578963327?hash=item4b9269ef7f:g:yOIAAOSw9YFgfJo1,https://i.ebayimg.com/thumbs/images/g/yOIAAOSw9YFgfJo1/s-l225.jpg,$5.03,Apr-25 13:44,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,5,1,"Apr 25, 2021

13:44:52 PDT"
item4b9269ebcd,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324578962381?hash=item4b9269ebcd:g:6gAAAOSwFptgfJoK,https://i.ebayimg.com/thumbs/images/g/6gAAAOSwFptgfJoK/s-l225.jpg,$4.49,Apr-25 13:44,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,3,1,"Apr 25, 2021

13:44:19 PDT"
item4b9269634b,Aglais io pair aberration from Poland (mounted),https://www.ebay.com/itm/324578927435?hash=item4b9269634b:g:DhsAAOSwEKxgahhy,https://i.ebayimg.com/thumbs/images/g/DhsAAOSwEKxgahhy/s-l225.jpg,$7.07,Apr-25 13:19,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Apr 25, 2021

13:19:53 PDT"
item2d2d6c85e1,Aglais io -  Peacock - aberration 3,https://www.ebay.com/itm/194035615201?hash=item2d2d6c85e1:g:CwEAAOSwbX9gdbsB,https://i.ebayimg.com/thumbs/images/g/CwEAAOSwbX9gdbsB/s-l225.jpg,$14.89,Apr-25 10:38,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,5,1,"Apr 25, 2021

10:38:32 PDT"
item2d2d6c7aab,Aglais io -  Peacock - aberration 2,https://www.ebay.com/itm/194035612331?hash=item2d2d6c7aab:g:ONMAAOSwUHpgd1Yi,https://i.ebayimg.com/thumbs/images/g/ONMAAOSwUHpgd1Yi/s-l225.jpg,$5.95,Apr-25 10:37,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,2,1,"Apr 25, 2021

10:37:37 PDT"
item2d2d6c7622,Aglais io -  Peacock - aberration 1,https://www.ebay.com/itm/194035611170?hash=item2d2d6c7622:g:4PoAAOSwld9gdbjw,https://i.ebayimg.com/thumbs/images/g/4PoAAOSwld9gdbjw/s-l225.jpg,$9.22,Apr-25 10:36,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,3,1,"Apr 25, 2021

10:36:10 PDT"
item3dbae3991a,47288p Nymphalidae Aglais io,https://www.ebay.com/itm/265128483098?hash=item3dbae3991a:g:MAwAAOSw-S1gfDyo,https://i.ebayimg.com/thumbs/images/g/MAwAAOSw-S1gfDyo/s-l225.jpg,$5.00,Apr-25 07:05,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Auction,1,1,"Apr 25, 2021

07:05:47 PDT"
item2d2acf4342,Aglais io -  Peacock - aberration 2,https://www.ebay.com/itm/193991754562?hash=item2d2acf4342:g:z10AAOSwDbJgW1MY,https://i.ebayimg.com/thumbs/images/g/z10AAOSwDbJgW1MY/s-l225.jpg,$11.37,Apr-04 11:39,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,2,1,"Apr 04, 2021

11:39:22 PDT"
item2d2acebf47,Aglais io -  Peacock - aberration 1,https://www.ebay.com/itm/193991720775?hash=item2d2acebf47:g:ZA4AAOSwg~JgW1KH,https://i.ebayimg.com/thumbs/images/g/ZA4AAOSwg~JgW1KH/s-l225.jpg,$7.09,Apr-04 11:38,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Apr 04, 2021

11:38:17 PDT"
item4b8fa6bad8,Aglais io pair from Poland (mounted),https://www.ebay.com/itm/324532615896?hash=item4b8fa6bad8:g:aPcAAOSw8QhgV6tw,https://i.ebayimg.com/thumbs/images/g/aPcAAOSw8QhgV6tw/s-l225.jpg,$4.08,Mar-28 13:24,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Mar 28, 2021

13:24:47 PDT"
item3ff698a3fd,Nymphalidae - Nymphalis (Aglais) io - Peacock - aberration #4,https://www.ebay.com/itm/274720138237?hash=item3ff698a3fd:g:YPIAAOSwytZgTlji,https://i.ebayimg.com/thumbs/images/g/YPIAAOSwytZgTlji/s-l225.jpg,$12.50,Mar-21 12:46,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,3,1,"Mar 21, 2021

12:46:48 PDT"
