id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item21898d9d7b,"+ ENTOMOLOGY, BUTTERFLY: AGRIAS BEATA LACHAUMEI FEMALE PERU +++",https://www.ebay.com/itm/144041680251?hash=item21898d9d7b:g:0IMAAOSw9VFgoV43,https://i.ebayimg.com/thumbs/images/g/0IMAAOSw9VFgoV43/s-l225.jpg,$23.50,May-23 11:02,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,8,1,"May 23, 2021

11:02:52 PDT"
item1f24dfbc61,"+ ENTOMOLOGY, BUTTERFLY: AGRIAS BEATA LACHAUMEI MALE PERU +++",https://www.ebay.com/itm/133762628705?hash=item1f24dfbc61:g:9yoAAOSwAnlgoV4c,https://i.ebayimg.com/thumbs/images/g/9yoAAOSwAnlgoV4c/s-l225.jpg,$52.00,May-23 11:02,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,14,1,"May 23, 2021

11:02:13 PDT"
item34428be611,"HYBRID A. CLAUDINA X AGRIAS BEATA FEMALE | HUANUCO, PERU | AS PICTURED | MOUNTED",https://www.ebay.com/itm/224454764049?hash=item34428be611:g:E~4AAOSwUfBglpjB,https://i.ebayimg.com/thumbs/images/g/E~4AAOSwUfBglpjB/s-l225.jpg,$19.14,May-16 12:00,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,9,1,"May 16, 2021

12:00:24 PDT"
item344289d3e5,"AGRIAS BEATA BEATIFICA  MALE  | ATALAYA, PERU  | AS PICTURED | UK21--273A",https://www.ebay.com/itm/224454628325?hash=item344289d3e5:g:VcEAAOSwZmdgco8F,https://i.ebayimg.com/thumbs/images/g/VcEAAOSwZmdgco8F/s-l225.jpg,$42.54,May-16 11:50,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,7,1,"May 16, 2021

11:50:42 PDT"
item344108eca1,"HYBRID A. CLAUDINA X AGRIAS BEATA | HUANUCO, PERU | AS PICTURED |  RED",https://www.ebay.com/itm/224429403297?hash=item344108eca1:g:uWsAAOSw3mBge2CN,https://i.ebayimg.com/thumbs/images/g/uWsAAOSw3mBge2CN/s-l225.jpg,$41.12,Apr-25 10:50,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,13,1,"Apr 25, 2021

10:50:31 PDT"
item344108def6,"AGRIAS BEATA BEATIFICA FEMALE | ATALAYA, PERU | AS PICTURED | UK21-3A  PERFECT",https://www.ebay.com/itm/224429399798?hash=item344108def6:g:VSgAAOSwZqtge1-I,https://i.ebayimg.com/thumbs/images/g/VSgAAOSwZqtge1-I/s-l225.jpg,$42.54,Apr-25 10:18,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,11,1,"Apr 25, 2021

10:18:14 PDT"
item3679948f1f,Entomology Butterfly: Agrias beatifica beata ♂ Peru #5,https://www.ebay.com/itm/233968013087?hash=item3679948f1f:g:ISMAAOSwbetgeFRS,https://i.ebayimg.com/thumbs/images/g/ISMAAOSwbetgeFRS/s-l225.jpg,$20.71,Apr-25 09:28,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,18,1,"Apr 25, 2021

09:28:03 PDT"
item4dc0d60223,Mounted unique hybrid Agrias claudina  x Agrias beata male (Good A1-) (E-hyb26),https://www.ebay.com/itm/333947732515?hash=item4dc0d60223:g:1OwAAOSwwhdgLrHQ,https://i.ebayimg.com/thumbs/images/g/1OwAAOSwwhdgLrHQ/s-l225.jpg,$56.71,Apr-18 11:46,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1,"Apr 18, 2021

11:46:28 PDT"
item34407a4ccf,"AGRIAS BEATA BEATIFICA  MALE  | ATALAYA, PERU  | AS PICTURED | UK21--273A",https://www.ebay.com/itm/224420056271?hash=item34407a4ccf:g:VcEAAOSwZmdgco8F,https://i.ebayimg.com/thumbs/images/g/VcEAAOSwZmdgco8F/s-l225.jpg,$14.89,Apr-18 10:26,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,8,1,"Apr 18, 2021

10:26:43 PDT"
item34407941b0,"AGRIAS BEATA BEATIFICA MALE | ATALAYA, PERU | AS PICTURED | UK21-248A",https://www.ebay.com/itm/224419987888?hash=item34407941b0:g:4FMAAOSwmndgcm00,https://i.ebayimg.com/thumbs/images/g/4FMAAOSwmndgcm00/s-l225.jpg,$34.03,Apr-18 10:16,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,13,1,"Apr 18, 2021

10:16:30 PDT"
