id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item23c275752f,"Brintesia circe (Fabricius, 1775) Czech51g",https://www.ebay.com/itm/153586332975?hash=item23c275752f:g:s78AAOSwTs5dQYpm,https://i.ebayimg.com/thumbs/images/g/s78AAOSwTs5dQYpm/s-l225.jpg,$6.12,May-29 12:22,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1,
item23c2757a1e,"Brintesia circe (Fabricius, 1775) Czech56g",https://www.ebay.com/itm/153586334238?hash=item23c2757a1e:g:YYgAAOSwcnpdQYrf,https://i.ebayimg.com/thumbs/images/g/YYgAAOSwcnpdQYrf/s-l225.jpg,$4.76,May-24 01:35,"Czarna Woda, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1,
item1d08bc675b,Brintesia circe A1  -Romania  70mm.,https://www.ebay.com/itm/124700616539?hash=item1d08bc675b:g:pXkAAOSwF3Vgizrq,https://i.ebayimg.com/thumbs/images/g/pXkAAOSwF3Vgizrq/s-l225.jpg,$5.44,May-03 10:13,"Zarnów, Poland",bolbitis777,https://www.ebay.com/usr/bolbitis777?_trksid=p2047675.l2559,Auction,2,1,"May 03, 2021

10:13:45 PDT"
item3ff9c6e6e8,Nymphalidae - Satyrinae - Brintesia circe - Great Banded Grayling - female,https://www.ebay.com/itm/274773501672?hash=item3ff9c6e6e8:g:jmQAAOSwJG5f4Sc4,https://i.ebayimg.com/thumbs/images/g/jmQAAOSwJG5f4Sc4/s-l225.jpg,$2.84,May-02 13:31,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2021

13:31:08 PDT"
item3ff9c6e3d8,Nymphalidae - Satyrinae - Brintesia circe - Great Banded Grayling - male,https://www.ebay.com/itm/274773500888?hash=item3ff9c6e3d8:g:roYAAOSwS4df4SZt,https://i.ebayimg.com/thumbs/images/g/roYAAOSwS4df4SZt/s-l225.jpg,$4.25,May-02 13:29,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1,"May 02, 2021

13:29:41 PDT"
item3dbae3acfa,47181p Satyridae Brintesia circe Georgia,https://www.ebay.com/itm/265128488186?hash=item3dbae3acfa:g:uJ4AAOSw9Z1gfD38,https://i.ebayimg.com/thumbs/images/g/uJ4AAOSw9Z1gfD38/s-l225.jpg,$6.00,Apr-25 07:11,"Krasnoyarsk city, Russian Federation",fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Auction,1,1,"Apr 25, 2021

07:11:36 PDT"
item343f556422,"BRINTESIA CIRCE  FEMALE | KRASNODAR, RUSSIA | MOUNTED | UK21-355",https://www.ebay.com/itm/224400860194?hash=item343f556422:g:ZVsAAOSwbG5gOUa~,https://i.ebayimg.com/thumbs/images/g/ZVsAAOSwbG5gOUa~/s-l225.jpg,$1.73,Apr-03 11:33,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Apr 03, 2021

11:33:19 PDT"
item3db91f9787,Brintesia circe male A1 from Armenia female A- from S.Russia (Satyridae),https://www.ebay.com/itm/265098860423?hash=item3db91f9787:g:p8kAAOSw~39gWkMn,https://i.ebayimg.com/thumbs/images/g/p8kAAOSw~39gWkMn/s-l225.jpg,$5.00,Mar-28 11:26,"Voronezh, Russian Federation",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,1,
item343d4c2587,"BRINTESIA CIRCE  FEMALE | KRASNODAR, RUSSIA | MOUNTED | UK21-355",https://www.ebay.com/itm/224366699911?hash=item343d4c2587:g:4XAAAOSwWelgOUbC,https://i.ebayimg.com/thumbs/images/g/4XAAAOSwWelgOUbC/s-l225.jpg,$1.46,Mar-06 10:08,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Mar 06, 2021

10:08:27 PST"
item48fa1b4792,Satyridae : Brintesia circe 1 male from Italy,https://www.ebay.com/itm/313433737106?hash=item48fa1b4792:g:75wAAOSwmZhgONfq,https://i.ebayimg.com/thumbs/images/g/75wAAOSwmZhgONfq/s-l225.jpg,$1.47,Mar-05 03:14,"Seregno, Italy",cimice2000,https://www.ebay.com/usr/cimice2000?_trksid=p2047675.l2559,Auction,1,1,"Mar 05, 2021

03:14:36 PST"
