id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4900fa1f5a,Framboyan Tree (Delonix Regia) painted Oil Oleo by Dominican Artist TCruz,https://www.ebay.com/itm/313549004634?hash=item4900fa1f5a:g:-fYAAOSw6WZgqx-Z,https://i.ebayimg.com/thumbs/images/g/-fYAAOSw6WZgqx-Z/s-l225.jpg,$50.00,May-31 03:35,"New York, New York, United States",rikesp-0,https://www.ebay.com/usr/rikesp-0?_trksid=p2047675.l2559,Auction,1,1,"May 31, 2021

03:35:45 PDT"
item3430dab3b0,Puerto Rico Red Delonix Regia Flamboyant Royal Poinciana Live Plant Flamboyan !!,https://www.ebay.com/itm/224157938608?hash=item3430dab3b0:g:j9QAAOSwWNBfYNg5,https://i.ebayimg.com/thumbs/images/g/j9QAAOSwWNBfYNg5/s-l225.jpg,$9.99,May-30 21:25,"San German, Puerto Rico, United States",dashhound02,https://www.ebay.com/usr/dashhound02?_trksid=p2047675.l2559,Instant,0,64,
item1a4699febd,"Royal Poinciana Tree (Delonix regia), 5 Seeds",https://www.ebay.com/itm/112853647037?hash=item1a4699febd:g:DSkAAOSwAQBan2D2,https://i.ebayimg.com/thumbs/images/g/DSkAAOSwAQBan2D2/s-l225.jpg,$3.20,May-30 20:51,"Allentown, Pennsylvania, United States",worldseeds,https://www.ebay.com/usr/worldseeds?_trksid=p2047675.l2559,Instant,0,232,
item2b0894be32,"Red Delonix Regia~Flamboyant~Royal Poinciana Live Plant Flamboyan 5 to 7"" tall",https://www.ebay.com/itm/184827559474?hash=item2b0894be32:g:ESEAAOSwjs1gT2Mh,https://i.ebayimg.com/thumbs/images/g/ESEAAOSwjs1gT2Mh/s-l225.jpg,$7.99,May-30 20:51,"Homestead, Florida, United States",anniestore2010,https://www.ebay.com/usr/anniestore2010?_trksid=p2047675.l2559,Instant,0,50,
item28a3019a99,60+ ROYAL POINCIANA SEEDS DELONIX REGIA FRESH FREE SHIPPING,https://www.ebay.com/itm/174533483161?hash=item28a3019a99:g:1HcAAOSwo4pYhi10,https://i.ebayimg.com/thumbs/images/g/1HcAAOSwo4pYhi10/s-l225.jpg,$12.99,May-30 11:25,"Ona, Florida, United States",tsbuske81,https://www.ebay.com/usr/tsbuske81?_trksid=p2047675.l2559,Instant,0,9,
item4b84fc4090,10 ROYAL POINCIANA TREE Delonix Regia aka Red Flame Flamboyant Tree Flower Seeds,https://www.ebay.com/itm/324353671312?hash=item4b84fc4090:g:vRAAAOSwmaJb8jac,https://i.ebayimg.com/thumbs/images/g/vRAAAOSwmaJb8jac/s-l225.jpg,$3.00,May-30 01:58,"Massillon, Ohio, United States",seedsforbrains,https://www.ebay.com/usr/seedsforbrains?_trksid=p2047675.l2559,Instant,0,78,
item28a8bb9249,"10 Fresh Red Flamboyant tree seeds, Royal Poinciana, Delonix Regia Red Flame",https://www.ebay.com/itm/174629556809?hash=item28a8bb9249:g:PiAAAOSwRAVfIFaY,https://i.ebayimg.com/thumbs/images/g/PiAAAOSwRAVfIFaY/s-l225.jpg,$5.00,May-29 17:14,"Aguada, Puerto Rico, United States",pr-poppl,https://www.ebay.com/usr/pr-poppl?_trksid=p2047675.l2559,Instant,0,29,
item2f4c3adec7,"Delonix Regia - Tree of Fire, Flamboyant, Royal Poinciana - 10 seeds",https://www.ebay.com/itm/203142389447?hash=item2f4c3adec7:g:WfsAAOSwSkNficeQ,https://i.ebayimg.com/thumbs/images/g/WfsAAOSwSkNficeQ/s-l225.jpg,$1.18,May-29 15:07,"Lisboa, Portugal",quinta_dos_ouriques,https://www.ebay.com/usr/quinta_dos_ouriques?_trksid=p2047675.l2559,Instant,0,88,
item4b953561af,"Bonsai Flamboyant Flame Tree Seeds to Grow | 10 Seeds | Delonix regia, Prized",https://www.ebay.com/itm/324625850799?hash=item4b953561af:g:DHoAAOSwq5FfPr9C,https://i.ebayimg.com/thumbs/images/g/DHoAAOSwq5FfPr9C/s-l225.jpg,$9.99,May-28 13:33,"Chariton, Iowa, United States",blackcattle641,https://www.ebay.com/usr/blackcattle641?_trksid=p2047675.l2559,Instant,0,9,
item46a06e971d,Jacaranda Mimosifolia    ( FLAMBOYAN YELLOW ) TREE LIVE 4''-8''  (Delonix regia),https://www.ebay.com/itm/303339312925?hash=item46a06e971d:g:DDAAAOSwrwhbtiL9,https://i.ebayimg.com/thumbs/images/g/DDAAAOSwrwhbtiL9/s-l225.jpg,$10.50,May-28 11:29,"Ponce, Puerto Rico, United States",sensurado1974,https://www.ebay.com/usr/sensurado1974?_trksid=p2047675.l2559,Instant,0,67,
