id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4231346135,3 x Limenitis camilla from Italy/Germany,https://www.ebay.com/itm/284293357877?hash=item4231346135:g:2Z0AAOSwSrxgnXXb,https://i.ebayimg.com/thumbs/images/g/2Z0AAOSwSrxgnXXb/s-l225.jpg,$14.62,May-15 08:29,"Eberswalde, Germany",saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,1,
item596f1a7090,"Nymphalidae Limenitis camilla, times from N. Caucasus",https://www.ebay.com/itm/384116093072?hash=item596f1a7090:g:ChAAAOSw569ghY60,https://i.ebayimg.com/thumbs/images/g/ChAAAOSw569ghY60/s-l225.jpg,$4.26,May-02 08:46,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,2,1,"May 02, 2021

08:46:05 PDT"
item56f9a0c0ad,"Nymphalidae Limenitis camilla, female from Lithuania",https://www.ebay.com/itm/373555249325?hash=item56f9a0c0ad:g:0K4AAOSwvM9ghY6a,https://i.ebayimg.com/thumbs/images/g/0K4AAOSwvM9ghY6a/s-l225.jpg,$5.34,May-02 08:45,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,2,1,"May 02, 2021

08:45:39 PDT"
item56f9a0bf8b,"Nymphalidae Limenitis camilla, times from Lithuania",https://www.ebay.com/itm/373555249035?hash=item56f9a0bf8b:g:zuYAAOSw1IJghY6G,https://i.ebayimg.com/thumbs/images/g/zuYAAOSw1IJghY6G/s-l225.jpg,$5.54,May-02 08:45,"Vilnius, default, Lithuania",galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,3,1,"May 02, 2021

08:45:19 PDT"
item2d2d636838,Limenitis camilla -  White Admiral - male revers,https://www.ebay.com/itm/194035017784?hash=item2d2d636838:g:piYAAOSwHu9gdVOj,https://i.ebayimg.com/thumbs/images/g/piYAAOSwHu9gdVOj/s-l225.jpg,$4.25,Apr-25 09:35,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,1,1,"Apr 25, 2021

09:35:29 PDT"
item2d2ad075fa,Limenitis camilla -  White Admiral - pair,https://www.ebay.com/itm/193991833082?hash=item2d2ad075fa:g:mTIAAOSwoOVgXLTX,https://i.ebayimg.com/thumbs/images/g/mTIAAOSwoOVgXLTX/s-l225.jpg,$10.76,Apr-04 11:40,"Jaroslaw, Poland",tild-123,https://www.ebay.com/usr/tild-123?_trksid=p2047675.l2559,Auction,2,1,"Apr 04, 2021

11:40:43 PDT"
item23f1d32213,"Nymphalidae White admiral Limenitis camilla , mounted",https://www.ebay.com/itm/154381001235?hash=item23f1d32213:g:xiEAAOSwX4xgVhr6,https://i.ebayimg.com/thumbs/images/g/xiEAAOSwX4xgVhr6/s-l225.jpg,$11.15,Mar-31 12:48,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,5,1,"Mar 31, 2021

12:48:08 PDT"
item1ab6eec6f6,Butterfly postcard limenitis camilla le sylvain azure,https://www.ebay.com/itm/114738251510?hash=item1ab6eec6f6:g:kpYAAOSw0L5gWjCb,https://i.ebayimg.com/thumbs/images/g/kpYAAOSw0L5gWjCb/s-l225.jpg,$4.25,Mar-28 02:46,"Transylvania, Romania",cartographerro,https://www.ebay.com/usr/cartographerro?_trksid=p2047675.l2559,Instant,0,1,
item366f0aeaea,"Limenitis camilla camilla RUSSIA, South Ural 1M  C3635 4$",https://www.ebay.com/itm/233791220458?hash=item366f0aeaea:g:HgcAAOSwjXtfuWnE,https://i.ebayimg.com/thumbs/images/g/HgcAAOSwjXtfuWnE/s-l225.jpg,$4.00,Mar-16 03:58,"Krasnousolskiy, Russian Federation",aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,1,
item343d7f0d1e,Limenitis camilla camilla 1m NY0021 Nymphalidae Belarus,https://www.ebay.com/itm/224370035998?hash=item343d7f0d1e:g:k9cAAOSwVJBgPQMQ,https://i.ebayimg.com/thumbs/images/g/k9cAAOSwVJBgPQMQ/s-l225.jpg,$2.25,Mar-07 09:39,"Ulan-Ude, default, Russian Federation",karatsiberia,https://www.ebay.com/usr/karatsiberia?_trksid=p2047675.l2559,Auction,2,1,"Mar 07, 2021

09:39:15 PST"
item48fa1af5dc,Nymphalidae : Limenitis camilla 1 ex  from Italy,https://www.ebay.com/itm/313433716188?hash=item48fa1af5dc:g:CZsAAOSw46JgONG~,https://i.ebayimg.com/thumbs/images/g/CZsAAOSw46JgONG~/s-l225.jpg,$1.20,Mar-05 02:49,"Seregno, Italy",cimice2000,https://www.ebay.com/usr/cimice2000?_trksid=p2047675.l2559,Auction,1,1,"Mar 05, 2021

02:49:25 PST"
