id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item5452064a76,Essential Oils - 30 mL (1 oz) - 100% Pure Therapeutic Grade Oil - 60+ Options!,https://www.ebay.com/itm/362153396854?epid=1631073508&hash=item5452064a76:g:GYwAAOSwthJgiA37,https://i.ebayimg.com/thumbs/images/g/GYwAAOSwthJgiA37/s-l225.jpg,$6.99 to $25.99,May-30 20:56,"Lorton, Virginia, United States",wf-medical,https://www.ebay.com/usr/wf-medical?_trksid=p2047675.l2559,Instant,0,"21,404",
item3d7af15922,KS Sala Litsea Cubeba Essential Oil litseaöl Natural Pure 100 ML Pet,https://www.ebay.com/itm/264055642402?hash=item3d7af15922:g:6g0AAOSwxPRgM98v,https://i.ebayimg.com/thumbs/images/g/6g0AAOSwxPRgM98v/s-l225.jpg,$14.36,May-30 08:28,"Greifswald, Germany",salandisgbr,https://www.ebay.com/usr/salandisgbr?_trksid=p2047675.l2559,Instant,0,35,
item422fefb483,Jaboneria Marianella Rosewood and Litsea Cubeba Body Oil 4 fl oz Sealed,https://www.ebay.com/itm/284272080003?epid=22036981593&hash=item422fefb483:g:FMwAAOSw6~xghemX,https://i.ebayimg.com/thumbs/images/g/FMwAAOSw6~xghemX/s-l225.jpg,"$18.99
Trending at
$19.99",May-28 16:14,Unknown,Unknown,Unknown,Instant,0,1,
item4212806333,"Plant Therapy May Chang (Litsea Cubeba) Essential Oil 100% Pure, Undiluted",https://www.ebay.com/itm/283778245427?hash=item4212806333:g:ZocAAOSwu51gU7iw,https://i.ebayimg.com/thumbs/images/g/ZocAAOSwu51gU7iw/s-l225.jpg,$6.68 to $10.88,May-28 15:22,"Twin Falls, Idaho, United States",planttherapyessentialoils,https://www.ebay.com/usr/planttherapyessentialoils?_trksid=p2047675.l2559,Instant,0,24,
item46ab94608c,NEW Jaboneria Marianella Rosewood and Litsea Cubeba Body Oil 4 oz - FABFITFUN,https://www.ebay.com/itm/303526338700?hash=item46ab94608c:g:g6kAAOSwqHtef8E9,https://i.ebayimg.com/thumbs/images/g/g6kAAOSwqHtef8E9/s-l225.jpg,$22.00,May-26 21:36,"Tulsa, Oklahoma, United States",prsnlshpr01,https://www.ebay.com/usr/prsnlshpr01?_trksid=p2047675.l2559,Instant,0,1,
item2189888f95,Jaboneria Marianella - Rosewood Litsea Cubeba Body Oil - 4 oz - Sealed,https://www.ebay.com/itm/144041349013?epid=22036981593&hash=item2189888f95:g:~NEAAOSwuvtgoRRj,https://i.ebayimg.com/thumbs/images/g/~NEAAOSwuvtgoRRj/s-l225.jpg,$22.99,May-26 20:37,Unknown,Unknown,Unknown,Instant,0,1,
item4670231750,"8 fl oz Essential Oil in Amber Glass, Free Shipping, 60+ Pure Natural Oils",https://www.ebay.com/itm/302529058640?epid=18027565534&hash=item4670231750:g:Y~gAAOSwiBJaHNHN,https://i.ebayimg.com/thumbs/images/g/Y~gAAOSwiBJaHNHN/s-l225.jpg,$14.99 to $99.99,May-26 16:50,"Lorton, Virginia, United States",wf-medical,https://www.ebay.com/usr/wf-medical?_trksid=p2047675.l2559,Instant,0,"7,794",
item53dd7da683,8 fl oz Litsea Cubeba Essential Oil (100% Pure & Natural) Glass Bottle,https://www.ebay.com/itm/360198284931?epid=18027565534&hash=item53dd7da683:g:XZMAAOSwSgJXOBo1,https://i.ebayimg.com/thumbs/images/g/XZMAAOSwSgJXOBo1/s-l225.jpg,$22.99,May-26 04:23,"Lorton, Virginia, United States",wf-medical,https://www.ebay.com/usr/wf-medical?_trksid=p2047675.l2559,Instant,0,30,
item54664a4d47,Sala Litsea Cubeba Essential Oil litseaöl Natural Pure 100 ML Pet,https://www.ebay.com/itm/362493398343?hash=item54664a4d47:g:Tm8AAOSw5J5gM9-n,https://i.ebayimg.com/thumbs/images/g/Tm8AAOSw5J5gM9-n/s-l225.jpg,$10.71,May-25 10:48,"Greifswald, Germany",salandisgbr,https://www.ebay.com/usr/salandisgbr?_trksid=p2047675.l2559,Instant,0,28,
item1c7fe60aba,Litsea Cubeba/May Chang Essential Oil 100% Pure & Undiluted up to 16oz.5-10% off,https://www.ebay.com/itm/122404866746?hash=item1c7fe60aba:g:TxkAAOSwXYtYzrJJ,https://i.ebayimg.com/thumbs/images/g/TxkAAOSwXYtYzrJJ/s-l225.jpg,$5.90 to $19.00,May-24 11:42,"Glenview, Illinois, United States",123jewelery,https://www.ebay.com/usr/123jewelery?_trksid=p2047675.l2559,Instant,0,64,
item4aea411430,"Essential Oils 10 ml. 100% Pure Natural Therapeutic Grade Oil For Skin, Diffuser",https://www.ebay.com/itm/321757713456?hash=item4aea411430:g:K6EAAOSwFE5fu9xJ,https://i.ebayimg.com/thumbs/images/g/K6EAAOSwFE5fu9xJ/s-l225.jpg,$5.25 to $84.95,May-23 23:48,"Plainfield, New Jersey, United States",garden_state_apothecary,https://www.ebay.com/usr/garden_state_apothecary?_trksid=p2047675.l2559,Instant,0,"39,989",
item5b947806e3,Jaboneria Marianella - Rosewood Litsea Cubeba Body Oil - 4 oz - Sealed,https://www.ebay.com/itm/393332917987?epid=22036981593&hash=item5b947806e3:g:enkAAOSwFUZgpCim,https://i.ebayimg.com/thumbs/images/g/enkAAOSwFUZgpCim/s-l225.jpg,"$18.00
Trending at
$21.95",May-20 05:08,Unknown,Unknown,Unknown,Instant,0,1,
item1ccfadad1f,Kneipp Fragrance Scent Worlds Swab Litsea Cubeba Citron,https://www.ebay.com/itm/123743350047?epid=4019459861&hash=item1ccfadad1f:g:xWwAAOSw32lcvY7O,https://i.ebayimg.com/thumbs/images/g/xWwAAOSw32lcvY7O/s-l225.jpg,$9.73,May-17 23:55,"Hildesheim, Germany",fabriksgeist-de,https://www.ebay.com/usr/fabriksgeist-de?_trksid=p2047675.l2559,Instant,0,9,
item3d7ae91178,"(27,90 EUR/100 ML) Sala Litsea Cubeba Essential Oil litseaöl Natural Pure 10 ML",https://www.ebay.com/itm/264055099768?hash=item3d7ae91178:g:YzEAAOSw7S9gM-PS,https://i.ebayimg.com/thumbs/images/g/YzEAAOSw7S9gM-PS/s-l225.jpg,$3.40,May-17 23:27,"Greifswald, Germany",salandisgbr,https://www.ebay.com/usr/salandisgbr?_trksid=p2047675.l2559,Instant,0,69,
item261a744fbe,"Litsea Cubeba Essential Oil (100% Pure, Natural, UNDILUTED) 10ml",https://www.ebay.com/itm/163652587454?hash=item261a744fbe:g:L6QAAOSwuG1cth~s,https://i.ebayimg.com/thumbs/images/g/L6QAAOSwuG1cth~s/s-l225.jpg,$9.99,May-11 16:17,"Phoenix, Arizona, United States",scottsdalewholesalers,https://www.ebay.com/usr/scottsdalewholesalers?_trksid=p2047675.l2559,Instant,0,5,
item3dbbcf0499,Jaboneria Marianella Rosewood and Litsea Cubeba Body Oil 4 fl oz   FULL,https://www.ebay.com/itm/265143911577?epid=22036981593&hash=item3dbbcf0499:g:oHIAAOSw4jxgjQbI,https://i.ebayimg.com/thumbs/images/g/oHIAAOSw4jxgjQbI/s-l225.jpg,$17.99,May-10 21:45,Unknown,Unknown,Unknown,Instant,0,1,
item3440375855,"Essential Oil 4 oz with Free Glass Dropper, All Natural Uncut, 50+ Oils",https://www.ebay.com/itm/224415668309?hash=item3440375855:g:lOgAAOSwLE5gbfvF,https://i.ebayimg.com/thumbs/images/g/lOgAAOSwLE5gbfvF/s-l225.jpg,$8.99 to $69.99,May-10 05:09,"Lorton, Virginia, United States",wf-medical,https://www.ebay.com/usr/wf-medical?_trksid=p2047675.l2559,Instant,0,540,
item3442438346,New without box Jaboneria Marianella Rosewood Litsea Cubeba Body Oil 4 oz-Sealed,https://www.ebay.com/itm/224450020166?epid=22036981593&hash=item3442438346:g:V8AAAOSwJh9gkVy6,https://i.ebayimg.com/thumbs/images/g/V8AAAOSwJh9gkVy6/s-l225.jpg,$21.50,May-07 17:07,Unknown,Unknown,Unknown,Instant,0,1,
item33562d16a3,4 fl oz Litsea Cubeba Essential Oil (100% Pure & Natural) - GreenHealth,https://www.ebay.com/itm/220489127587?epid=1632964509&hash=item33562d16a3:g:rzIAAOSwWntXM89T,https://i.ebayimg.com/thumbs/images/g/rzIAAOSwWntXM89T/s-l225.jpg,$11.99,May-04 11:17,"Lorton, Virginia, United States",wf-medical,https://www.ebay.com/usr/wf-medical?_trksid=p2047675.l2559,Instant,0,219,
