id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item549c99b89b,PAPILIO ARCTURUS ARCTURUS MALE FROM VIETNAM,https://www.ebay.com/itm/363404572827?hash=item549c99b89b:g:qS4AAOSwDPhgpp5y,https://i.ebayimg.com/thumbs/images/g/qS4AAOSwDPhgpp5y/s-l225.jpg,$2.00,May-30 11:01,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"May 30, 2021

11:01:12 PDT"
item3443a15ebf,"Butterfly. Papilio arcturus ssp. Yunnan, Dali, C of Mt.Cangshan. 1M. MC0010.",https://www.ebay.com/itm/224472948415?hash=item3443a15ebf:g:f6IAAOSwtoBgq9A8,https://i.ebayimg.com/thumbs/images/g/f6IAAOSwtoBgq9A8/s-l225.jpg,$7.99,May-29 09:12,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"May 29, 2021

09:12:03 PDT"
item23f6f27e2a,642. Insects buterflies: Papilio arcturus. Central Vietnam,https://www.ebay.com/itm/154466942506?hash=item23f6f27e2a:g:ZlQAAOSwcshgh2l3,https://i.ebayimg.com/thumbs/images/g/ZlQAAOSwcshgh2l3/s-l225.jpg,$1.99,May-25 12:56,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item367c00aaab,Papilio arcturus arcturus (PAIR) from Khasi Hills India,https://www.ebay.com/itm/234008652459?hash=item367c00aaab:g:wrQAAOSwIgtgnl7V,https://i.ebayimg.com/thumbs/images/g/wrQAAOSwIgtgnl7V/s-l225.jpg,$38.28,May-22 11:46,"Pershore, United Kingdom",juliefc111,https://www.ebay.com/usr/juliefc111?_trksid=p2047675.l2559,Auction,4,1,"May 22, 2021

11:46:31 PDT"
item4b94bc6210,"Butterfly. Papilio arcturus ssp. Myanmar, Kechin state,Nanse village.1M. MB10103",https://www.ebay.com/itm/324617921040?hash=item4b94bc6210:g:MjkAAOSw2HFgmrYL,https://i.ebayimg.com/thumbs/images/g/MjkAAOSw2HFgmrYL/s-l225.jpg,$4.99,May-17 11:03,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"May 17, 2021

11:03:45 PDT"
item4b94b30a6a,"Butterfly. Papilio arcturus ssp. Yunnan, Dali, Fengyi town.1M. MB9862.",https://www.ebay.com/itm/324617308778?hash=item4b94b30a6a:g:CcMAAOSwXdJgmk2u,https://i.ebayimg.com/thumbs/images/g/CcMAAOSwXdJgmk2u/s-l225.jpg,$9.17,May-17 07:02,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,3,1,"May 17, 2021

07:02:42 PDT"
item3da319c8c1,REAL PAPILIO ARCTURUS; BLUE PEACOCK BUTTERFLY IN FRAMED DISPLAY : TAXIDERMY,https://www.ebay.com/itm/264729381057?hash=item3da319c8c1:g:IDMAAOSwoBFeQ3JI,https://i.ebayimg.com/thumbs/images/g/IDMAAOSwoBFeQ3JI/s-l225.jpg,$47.00,May-14 05:41,"Chiang Mai, Thailand",bugs_r_us,https://www.ebay.com/usr/bugs_r_us?_trksid=p2047675.l2559,Instant,0,1,
item56ed92605a,PA6983. Unmounted butterflies: Papilio arcturus. North Vietnam,https://www.ebay.com/itm/373352980570?hash=item56ed92605a:g:b04AAOSwFwhfmRFy,https://i.ebayimg.com/thumbs/images/g/b04AAOSwFwhfmRFy/s-l225.jpg,$3.00,May-13 16:46,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56f8774c7d,"358. Insects, butterflies: Papilio arcturus. North Vietnam",https://www.ebay.com/itm/373535755389?hash=item56f8774c7d:g:iO4AAOSwqTVgTuUT,https://i.ebayimg.com/thumbs/images/g/iO4AAOSwqTVgTuUT/s-l225.jpg,$11.11,May-07 01:00,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item23f4be4f75,659. Insects buterflies: Papilio arcturus. Central Vietnam,https://www.ebay.com/itm/154429968245?hash=item23f4be4f75:g:LPAAAOSwwgRgh2nd,https://i.ebayimg.com/thumbs/images/g/LPAAAOSwwgRgh2nd/s-l225.jpg,$2.25,May-03 18:33,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1,"May 03, 2021

18:33:49 PDT"
item56f9b7d678,376. Insects buterflies: Papilio arcturus. North Vietnam,https://www.ebay.com/itm/373556762232?hash=item56f9b7d678:g:t5oAAOSwUKlgh2g4,https://i.ebayimg.com/thumbs/images/g/t5oAAOSwUKlgh2g4/s-l225.jpg,$9.50,May-03 18:26,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1,"May 03, 2021

18:26:44 PDT"
item23f4be3b87,387. Insects butterflies: Papilio arcturus. North Vietnam,https://www.ebay.com/itm/154429963143?hash=item23f4be3b87:g:9GAAAOSwX4Bgh2f5,https://i.ebayimg.com/thumbs/images/g/9GAAAOSwX4Bgh2f5/s-l225.jpg,$8.00,May-03 18:25,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,2,1,"May 03, 2021

18:25:43 PDT"
