id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item344386b78b,"PAPILIO MULTICAUDATA GRANDIOSUS MALE  | PUEBLA, MEXICO | AS PICTURED | UK21-183",https://www.ebay.com/itm/224471201675?hash=item344386b78b:g:skQAAOSwLJpgqfGP,https://i.ebayimg.com/thumbs/images/g/skQAAOSwLJpgqfGP/s-l225.jpg,$45.37,May-30 10:54,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,18,1,"May 30, 2021

10:54:44 PDT"
item344385ea26,"PAPILIO MULTICAUDATA GRANDIOSUS MALE  | PUEBLA, MEXICO | MOUNTED | UK21-115",https://www.ebay.com/itm/224471149094?hash=item344385ea26:g:FI8AAOSw3hBgQ5F1,https://i.ebayimg.com/thumbs/images/g/FI8AAOSw3hBgQ5F1/s-l225.jpg,$35.45,May-30 10:00,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,16,1,"May 30, 2021

10:00:25 PDT"
item344274a4ed,"PAPILIO MULTICAUDATA GRANDIOSUS MALE  | PUEBLA, MEXICO | MOUNTED | UK21-115",https://www.ebay.com/itm/224453240045?hash=item344274a4ed:g:FI8AAOSw3hBgQ5F1,https://i.ebayimg.com/thumbs/images/g/FI8AAOSw3hBgQ5F1/s-l225.jpg,$52.46,May-16 12:26,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,20,1,"May 16, 2021

12:26:13 PDT"
item3fc69cfbb2,Real Framed Butterfly Papilio Multicaudata in Riker Mount-Two Tailed Swallowtail,https://www.ebay.com/itm/273915116466?hash=item3fc69cfbb2:g:zDAAAOSwZrBdHSj-,https://i.ebayimg.com/thumbs/images/g/zDAAAOSwZrBdHSj-/s-l225.jpg,$17.95,May-05 06:48,"Hagerstown, Maryland, United States",rikerwings,https://www.ebay.com/usr/rikerwings?_trksid=p2047675.l2559,Instant,0,1,
item3441095ef9,"PAPILIO MULTICAUDATA GRANDIOSUS FEMALE  | PUEBLA, MEX. | SMALL REPAIR | UK21-316",https://www.ebay.com/itm/224429432569?hash=item3441095ef9:g:xSIAAOSwzu9gQ5HK,https://i.ebayimg.com/thumbs/images/g/xSIAAOSwzu9gQ5HK/s-l225.jpg,$34.03,Apr-25 11:34,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,13,1,"Apr 25, 2021

11:34:10 PDT"
item4205506b25,"Real Framed Butterfly Papilio Multicaudata in Riker Mount,Two Tailed Swallowtail",https://www.ebay.com/itm/283556997925?hash=item4205506b25:g:yoIAAOSw7cldHSeJ,https://i.ebayimg.com/thumbs/images/g/yoIAAOSw7cldHSeJ/s-l225.jpg,$17.95,Apr-22 18:08,"Hagerstown, Maryland, United States",rikerwings,https://www.ebay.com/usr/rikerwings?_trksid=p2047675.l2559,Instant,0,1,
item34406c0526,"PAPILIO MULTICAUDATA GRANDIOSUS MALE  | PUEBLA, MEXICO | AS PICTURED | UK21-340",https://www.ebay.com/itm/224419120422?hash=item34406c0526:g:A8wAAOSwDYJgQ46y,https://i.ebayimg.com/thumbs/images/g/A8wAAOSwDYJgQ46y/s-l225.jpg,$26.94,Apr-18 12:16,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,20,1,"Apr 18, 2021

12:16:42 PDT"
item3da3199748,REAL PAPILIO MULTICAUDATA PUSILLUS IN FRAMED DISPLAY: TAXIDERMY,https://www.ebay.com/itm/264729368392?hash=item3da3199748:g:2vEAAOSw9g1cFRFL,https://i.ebayimg.com/thumbs/images/g/2vEAAOSw9g1cFRFL/s-l225.jpg,$47.00,Apr-16 04:37,"Chiang Mai, Thailand",bugs_r_us,https://www.ebay.com/usr/bugs_r_us?_trksid=p2047675.l2559,Instant,0,1,
item596c11fed4,"Papilio multicaudata grandiosus, from Michoacan, Mexico",https://www.ebay.com/itm/384065208020?hash=item596c11fed4:g:6CQAAOSwbH1gYGKH,https://i.ebayimg.com/thumbs/images/g/6CQAAOSwbH1gYGKH/s-l225.jpg,$26.00,Apr-04 14:47,"Madrid, Spain",machanoides,https://www.ebay.com/usr/machanoides?_trksid=p2047675.l2559,Auction,8,1,"Apr 04, 2021

14:47:01 PDT"
item343f5fa6d4,"PAPILIO MULTICAUDATA GRANDIOSUS MALE  | PUEBLA, MEXICO | AS PICTURED | UK21-340",https://www.ebay.com/itm/224401532628?hash=item343f5fa6d4:g:A8wAAOSwDYJgQ46y,https://i.ebayimg.com/thumbs/images/g/A8wAAOSwDYJgQ46y/s-l225.jpg,$39.70,Apr-03 12:19,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,12,1,"Apr 03, 2021

12:19:48 PDT"
