id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1f25449d8b,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO THOAS AUTOCLES MALE COSTA RICA +++",https://www.ebay.com/itm/133769239947?hash=item1f25449d8b:g:jVsAAOSwvC9gqpPN,https://i.ebayimg.com/thumbs/images/g/jVsAAOSwvC9gqpPN/s-l225.jpg,$2.99,May-30 10:41,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"May 30, 2021

10:41:42 PDT"
item2189cb3792,PAPILIONIDAE Papilio thoas cyniras MALE Wingspan 119mm from PERU mounted #761,https://www.ebay.com/itm/144045717394?hash=item2189cb3792:g:uRsAAOSwTHhgoqnf,https://i.ebayimg.com/thumbs/images/g/uRsAAOSwTHhgoqnf/s-l225.jpg,$6.50,May-27 11:52,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,6,1,"May 27, 2021

11:52:40 PDT"
item3ff426ad1f,Papilio thoas-Real Butterfly Display Box/Frame Behind Glass,https://www.ebay.com/itm/274679115039?hash=item3ff426ad1f:g:eHsAAOSwXh5gJDt5,https://i.ebayimg.com/thumbs/images/g/eHsAAOSwXh5gJDt5/s-l225.jpg,$30.45,May-27 10:02,"Riga, default, Latvia",bsb-framer,https://www.ebay.com/usr/bsb-framer?_trksid=p2047675.l2559,Instant,0,1,
item59070d1297,Papilio thoas king swallowtail yellow black butterfly Peru framed,https://www.ebay.com/itm/382370386583?hash=item59070d1297:g:Q74AAOSwkvdadRpe,https://i.ebayimg.com/thumbs/images/g/Q74AAOSwkvdadRpe/s-l225.jpg,$32.00,May-25 18:44,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,56,
item42319d0788,5 Papilio thoas in A1 condition,https://www.ebay.com/itm/284300216200?hash=item42319d0788:g:Z6oAAOSwNPFgpasf,https://i.ebayimg.com/thumbs/images/g/Z6oAAOSwNPFgpasf/s-l225.jpg,$13.99,May-24 05:17,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"May 24, 2021

05:17:57 PDT"
item48ee3d9a2b,VERSO King Swallowtail Papilio thoas REAL Butterfly Sustainably Sourced!,https://www.ebay.com/itm/313234659883?hash=item48ee3d9a2b:g:UkoAAOSwb5ZeMkwk,https://i.ebayimg.com/thumbs/images/g/UkoAAOSwb5ZeMkwk/s-l225.jpg,$4.55,May-22 21:37,"Estes Park, Colorado, United States",little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,15,
item3ab192ec01,Thoas King Swallowtail Butterfly Papilio thoas cinyras Male Folded FAST FROM USA,https://www.ebay.com/itm/252087299073?hash=item3ab192ec01:g:k3MAAOSwu4BV6wWu,https://i.ebayimg.com/thumbs/images/g/k3MAAOSwu4BV6wWu/s-l225.jpg,$4.69,May-22 18:20,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,105,
item46bfa80fba,Real Insect/Butterfly/Moth Set/Spread B6962 Lge Rare Papilio thoas cinyras Peru,https://www.ebay.com/itm/303863173050?hash=item46bfa80fba:g:ff4AAOSwgWFgEg2q,https://i.ebayimg.com/thumbs/images/g/ff4AAOSwgWFgEg2q/s-l225.jpg,$10.37,May-18 18:07,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item48debf6957,King Swallowtail Papilio thoas REAL Butterfly FAST FROM USA! A1 Unmounted,https://www.ebay.com/itm/312974731607?hash=item48debf6957:g:uCcAAOSw-rReMkwn,https://i.ebayimg.com/thumbs/images/g/uCcAAOSw-rReMkwn/s-l225.jpg,$4.55,May-16 10:44,"Estes Park, Colorado, United States",little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,59,
item46bef87553,Real Dried Insect/Butterfly Non set B6291 Rare Large Papilio Thoas cinyras Peru,https://www.ebay.com/itm/303851664723?hash=item46bef87553:g:jxMAAOSwwgRfSyb5,https://i.ebayimg.com/thumbs/images/g/jxMAAOSwwgRfSyb5/s-l225.jpg,$5.28,May-08 19:37,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,9,
