id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4b90a51f76,Ayurvedic Ritha Whole/ Herbal Hair Wash Nut/ Reetha/ Sapindus Mukorossi 100 gm,https://www.ebay.com/itm/324549287798?hash=item4b90a51f76:g:8XUAAOSwnNtfwN9U,https://i.ebayimg.com/thumbs/images/g/8XUAAOSwnNtfwN9U/s-l225.jpg,$9.56,May-28 01:54,"KOLKATA, WEST BENGAL, India",rightshopping_essentials,https://www.ebay.com/usr/rightshopping_essentials?_trksid=p2047675.l2559,Instant,0,1,
item2d24fa7492,"Soap Nuts (Sapindus mukorossi) Deseeded, Organic - 4 oz.",https://www.ebay.com/itm/193893921938?hash=item2d24fa7492:g:9t8AAOSwyuNgKpoL,https://i.ebayimg.com/thumbs/images/g/9t8AAOSwyuNgKpoL/s-l225.jpg,$5.00,May-25 17:42,"Denver, Colorado, United States",noslosoapco,https://www.ebay.com/usr/noslosoapco?_trksid=p2047675.l2559,Instant,0,2,
item2aa0c0db5e,3 seeds of tree has wash nuts (sapindus mukorossi) e351 seeds seeds semilla,https://www.ebay.com/itm/183085620062?hash=item2aa0c0db5e:g:TOoAAOSwB4BaTWg7,https://i.ebayimg.com/thumbs/images/g/TOoAAOSwB4BaTWg7/s-l225.jpg,$2.38,May-23 14:02,"SANARY SUR MER, France",bazar_micro,https://www.ebay.com/usr/bazar_micro?_trksid=p2047675.l2559,Instant,0,36,
item2aef95e6ec,5 Sapindus Mukorossi Gaertn Fruit Trees Seeds Rare Chinese Soapberry Reetha Home,https://www.ebay.com/itm/184408205036?hash=item2aef95e6ec:g:ZBcAAOSwUZdfKUZt,https://i.ebayimg.com/thumbs/images/g/ZBcAAOSwUZdfKUZt/s-l225.jpg,$6.49,May-21 05:25,"Tianjin, China",happysho-5,https://www.ebay.com/usr/happysho-5?_trksid=p2047675.l2559,Instant,0,3,
item3d9f3d3c57,"Sapindus Mukorossi 5 Seeds, Big Soap Nut Tree Soapberry Medicinal Washnut USA",https://www.ebay.com/itm/264664595543?hash=item3d9f3d3c57:g:wEkAAOSwV3JeaiOZ,https://i.ebayimg.com/thumbs/images/g/wEkAAOSwV3JeaiOZ/s-l225.jpg,$3.75,May-16 23:48,"Venice, Florida, United States",bigbluecrab,https://www.ebay.com/usr/bigbluecrab?_trksid=p2047675.l2559,Instant,0,49,
item263d5d5bd5,WHOLE ARITHA - RITHA - REETHA - SAPINDUS MUKOROSSI FRUIT - TOP OP - 100g,https://www.ebay.com/itm/164238285781?hash=item263d5d5bd5:g:444AAOSwzRpe39wj,https://i.ebayimg.com/thumbs/images/g/444AAOSwzRpe39wj/s-l225.jpg,$4.89,May-14 10:16,"Croydon, United Kingdom",savemore-spicefoods,https://www.ebay.com/usr/savemore-spicefoods?_trksid=p2047675.l2559,Instant,0,50,
item365f1f87ec,"Sapindus Mukorossi 5 Seeds, Big Soap Nut Tree Soapberry Medicinal Washnut USA",https://www.ebay.com/itm/233524135916?hash=item365f1f87ec:g:j-EAAOSwTopeaigR,https://i.ebayimg.com/thumbs/images/g/j-EAAOSwTopeaigR/s-l225.jpg,$3.75,May-11 20:29,"Venice, Florida, United States",theplantattraction,https://www.ebay.com/usr/theplantattraction?_trksid=p2047675.l2559,Instant,0,18,
item4472952ed6,"Soap Nuts Tree Seedling ( Sapindus Mukorossi) 18-24"" Tall -US Stock- 'Til April",https://www.ebay.com/itm/293980155606?hash=item4472952ed6:g:jHwAAOSw4PBeEutq,https://i.ebayimg.com/thumbs/images/g/jHwAAOSw4PBeEutq/s-l225.jpg,$40.00,May-06 12:01,"Snellville, Georgia, United States",all_about_soap_nuts,https://www.ebay.com/usr/all_about_soap_nuts?_trksid=p2047675.l2559,Instant,0,1,
item4dc00fdacf,Soapberry / Saopnut / Sapindus drummondii / Sapindus Mukorossi / Ritha / 4 Seeds,https://www.ebay.com/itm/333934746319?hash=item4dc00fdacf:g:tIEAAOSwaxtgXbsb,https://i.ebayimg.com/thumbs/images/g/tIEAAOSwaxtgXbsb/s-l225.jpg,$4.00,Apr-18 09:53,"KERALA, India",akshaya2010,https://www.ebay.com/usr/akshaya2010?_trksid=p2047675.l2559,Instant,0,1,
item3d72ef5c85,"Reetha (Sapindus mukorossi,soapberry,washnut) 120g 100% Pure & Natural hair care",https://www.ebay.com/itm/263921294469?hash=item3d72ef5c85:g:nk0AAOSwImRYIf4I,https://i.ebayimg.com/thumbs/images/g/nk0AAOSwImRYIf4I/s-l225.jpg,$6.95,Mar-23 17:38,"DELHI, DELHI, India",dimrajtrade.90,https://www.ebay.com/usr/dimrajtrade.90?_trksid=p2047675.l2559,Instant,0,3,
