id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3dbb4895e2,French Lilac Syringa Vulgaris Hardy Live Plant Shrub Tree Purple Flower,https://www.ebay.com/itm/265135101410?hash=item3dbb4895e2:g:91EAAOSwqptggyQY,https://i.ebayimg.com/thumbs/images/g/91EAAOSwqptggyQY/s-l225.jpg,$15.00,May-30 08:56,"East Enterprise, Indiana, United States",natureswonders,https://www.ebay.com/usr/natureswonders?_trksid=p2047675.l2559,Instant,0,1,
item1efbc92002,lilac OLD FASHIONED LILAC tree bush common Syringa vulgaris 45 seeds GroCo* USA,https://www.ebay.com/itm/133073281026?hash=item1efbc92002:g:tIwAAOxyUrZS5KAh,https://i.ebayimg.com/thumbs/images/g/tIwAAOxyUrZS5KAh/s-l225.jpg,$1.25,May-29 21:26,"Portland, Oregon, United States",grocoseeds,https://www.ebay.com/usr/grocoseeds?_trksid=p2047675.l2559,Instant,0,159,
item422b2379cb,LILAC Shrub Unrooted Organic Cuttings 5pc DARK PURPLE Flower Syringa Vulgaris,https://www.ebay.com/itm/284191586763?hash=item422b2379cb:g:zBQAAOSwFE5f4NQP,https://i.ebayimg.com/thumbs/images/g/zBQAAOSwFE5f4NQP/s-l225.jpg,$12.99,May-27 15:19,"Lakewood, Washington, United States",artbymonica,https://www.ebay.com/usr/artbymonica?_trksid=p2047675.l2559,Instant,0,8,
item3f03af0b46,"French Lilac, Syringa vulgaris, Shrub Seeds (Fast, Fragrant, Hardy, Showy Hedge)",https://www.ebay.com/itm/270644742982?hash=item3f03af0b46:g:YAYAAOxy7rdRENzc,https://i.ebayimg.com/thumbs/images/g/YAYAAOxy7rdRENzc/s-l225.jpg,$2.00,May-24 00:18,"Elko, Nevada, United States",treeseedsplus,https://www.ebay.com/usr/treeseedsplus?_trksid=p2047675.l2559,Instant,0,512,
item286ec667cf,Common lilac (Syringa vulgaris) 300 seeds,https://www.ebay.com/itm/173657188303?hash=item286ec667cf:g:ihcAAOSwt~1b-OaK,https://i.ebayimg.com/thumbs/images/g/ihcAAOSwt~1b-OaK/s-l225.jpg,$4.90,May-23 22:57,"630051, Russian Federation, Novosibirsk, Russian Federation",kirsanovss,https://www.ebay.com/usr/kirsanovss?_trksid=p2047675.l2559,Instant,0,11,
item23f6ba595d,French Lilac Syringa Vulgaris Hardy Live Plant Shrub Tree Purple Flower,https://www.ebay.com/itm/154463263069?hash=item23f6ba595d:g:CK8AAOSwrtpgqRwI,https://i.ebayimg.com/thumbs/images/g/CK8AAOSwrtpgqRwI/s-l225.jpg,$14.99,May-22 10:12,"Forest Hills, New York, United States",aklthingz,https://www.ebay.com/usr/aklthingz?_trksid=p2047675.l2559,Instant,0,1,
item23f6ba6271,French Lilac Syringa Vulgaris Hardy Live Plant Shrub Tree Purple Flower,https://www.ebay.com/itm/154463265393?hash=item23f6ba6271:g:LRAAAOSwS91gqRyR,https://i.ebayimg.com/thumbs/images/g/LRAAAOSwS91gqRyR/s-l225.jpg,$13.99,May-22 09:40,"Forest Hills, New York, United States",aklthingz,https://www.ebay.com/usr/aklthingz?_trksid=p2047675.l2559,Instant,0,1,
item5487cf93e2,50Pc Lilac Seeds Flowers Syringa Vulgaris Bush Perennials Beauty Garden Colorful,https://www.ebay.com/itm/363055780834?hash=item5487cf93e2:g:heoAAOSwf6NfGcAi,https://i.ebayimg.com/thumbs/images/g/heoAAOSwf6NfGcAi/s-l225.jpg,$3.49,May-17 19:03,"Ulan Bator, Mongolia",sevenseds,https://www.ebay.com/usr/sevenseds?_trksid=p2047675.l2559,Instant,0,1,
item2661ee7bec,Portmeirion Botanic Garden Syringa Vulgaris Cheese Board / Slicer England,https://www.ebay.com/itm/164851776492?hash=item2661ee7bec:g:LhwAAOSwKcdgkxqb,https://i.ebayimg.com/thumbs/images/g/LhwAAOSwKcdgkxqb/s-l225.jpg,$20.00,May-15 15:25,"Athens, Alabama, United States",bamagal4752,https://www.ebay.com/usr/bamagal4752?_trksid=p2047675.l2559,Auction,1,1,"May 15, 2021

15:25:10 PDT"
item5dca7c06ae,French Lilac Syringa Vulgaris Hardy Live Plant Shrub Tree Purple Flower,https://www.ebay.com/itm/402829084334?hash=item5dca7c06ae:g:veAAAOSwEldgh0jo,https://i.ebayimg.com/thumbs/images/g/veAAAOSwEldgh0jo/s-l225.jpg,$13.99,May-15 02:37,"Forest Hills, New York, United States",aklthingz,https://www.ebay.com/usr/aklthingz?_trksid=p2047675.l2559,Instant,0,1,
