id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item56fbcdb2b9,Pa6355. Insects butterflies.Teinopalpus aureus shinkaii. Vietnam. Vinh Phuc,https://www.ebay.com/itm/373591749305?hash=item56fbcdb2b9:g:AmMAAOSwNMNgl7Dp,https://i.ebayimg.com/thumbs/images/g/AmMAAOSwNMNgl7Dp/s-l225.jpg,$370.00,May-25 11:13,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item4231b85179,Teinopalpus aureus male Vietnam,https://www.ebay.com/itm/284302004601?hash=item4231b85179:g:hsUAAOSwfApgp5FG,https://i.ebayimg.com/thumbs/images/g/hsUAAOSwfApgp5FG/s-l225.jpg,$22.13,May-24 03:57,"Monor, Hungary",kerik-74,https://www.ebay.com/usr/kerik-74?_trksid=p2047675.l2559,Auction,2,1,"May 24, 2021

03:57:27 PDT"
item3fbb0d84b9,"Set 2, China 5 Yuan coin, 1999,Teinopalpus Aureus & Chinese Sturgeon, A-UNC",https://www.ebay.com/itm/273721164985?hash=item3fbb0d84b9:g:XIAAAOSwtfhYr-sG,https://i.ebayimg.com/thumbs/images/g/XIAAAOSwtfhYr-sG/s-l225.jpg,$14.99,May-22 15:57,"Shanghai City, China",asianbanknotes,https://www.ebay.com/usr/asianbanknotes?_trksid=p2047675.l2559,Instant,0,2,
item56fab85b28,Pa6364. Insects butterflies.Teinopalpus aureus shinkaii. Vietnam. Vinh Phuc,https://www.ebay.com/itm/373573573416?hash=item56fab85b28:g:ElQAAOSwU2dgl7Ni,https://i.ebayimg.com/thumbs/images/g/ElQAAOSwU2dgl7Ni/s-l225.jpg,$20.50,May-16 03:05,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,5,1,"May 16, 2021

03:05:06 PDT"
item56fab83ccc,Pa6351. Insects butterflies. Teinopalpus aureus shinkaii. Vietnam. Vinh Phuc,https://www.ebay.com/itm/373573565644?hash=item56fab83ccc:g:dlEAAOSw~HFgl7E-,https://i.ebayimg.com/thumbs/images/g/dlEAAOSw~HFgl7E-/s-l225.jpg,$410.00,May-16 02:54,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,1,1,"May 16, 2021

02:54:57 PDT"
item56e55337ad,Pa6342. Unmounted Butterfly. Teinopalpus aureus shinkaii. Vietnam North,https://www.ebay.com/itm/373214623661?hash=item56e55337ad:g:5KUAAOSwpYhfWDdi,https://i.ebayimg.com/thumbs/images/g/5KUAAOSwpYhfWDdi/s-l225.jpg,$350.00,May-04 07:35,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56f93f7941,"1287. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/373548874049?hash=item56f93f7941:g:UNQAAOSw3mBgfuN9,https://i.ebayimg.com/thumbs/images/g/UNQAAOSw3mBgfuN9/s-l225.jpg,$20.51,Apr-27 07:22,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1,"Apr 27, 2021

07:22:41 PDT"
item23f442933c,"1261. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/154421859132?hash=item23f442933c:g:Y-4AAOSw3KFgfuLI,https://i.ebayimg.com/thumbs/images/g/Y-4AAOSw3KFgfuLI/s-l225.jpg,$19.50,Apr-27 07:19,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,6,1,"Apr 27, 2021

07:19:05 PDT"
item56f93f6957,"1241. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/373548869975?hash=item56f93f6957:g:LiAAAOSw0gJgfuHZ,https://i.ebayimg.com/thumbs/images/g/LiAAAOSw0gJgfuHZ/s-l225.jpg,$39.00,Apr-27 07:15,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,9,1,"Apr 27, 2021

07:15:06 PDT"
item56f93f6261,"1247. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/373548868193?hash=item56f93f6261:g:scsAAOSwVklgfuFH,https://i.ebayimg.com/thumbs/images/g/scsAAOSwVklgfuFH/s-l225.jpg,$17.51,Apr-27 07:13,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1,"Apr 27, 2021

07:13:02 PDT"
item23f4427b93,"1249. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/154421853075?hash=item23f4427b93:g:wy4AAOSwd69gfuDa,https://i.ebayimg.com/thumbs/images/g/wy4AAOSwd69gfuDa/s-l225.jpg,$17.51,Apr-27 07:10,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1,"Apr 27, 2021

07:10:52 PDT"
item23f44275eb,"1240. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/154421851627?hash=item23f44275eb:g:3XgAAOSw1aVgfuBo,https://i.ebayimg.com/thumbs/images/g/3XgAAOSw1aVgfuBo/s-l225.jpg,$18.27,Apr-27 07:09,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,5,1,"Apr 27, 2021

07:09:05 PDT"
item23f44271e6,"1244. Insects butterflies, Teinopalpus aureus ssp. North Vietnam",https://www.ebay.com/itm/154421850598?hash=item23f44271e6:g:sQkAAOSwcHtgft~m,https://i.ebayimg.com/thumbs/images/g/sQkAAOSwcHtgft~m/s-l225.jpg,$22.27,Apr-27 07:06,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,4,1,"Apr 27, 2021

07:06:47 PDT"
item56ca56c5fd,PA4836. Unmounted butterflies: Teinopalpus aureus sp. North Vietnam.,https://www.ebay.com/itm/372761871869?hash=item56ca56c5fd:g:B2QAAOSwzLhdZzcE,https://i.ebayimg.com/thumbs/images/g/B2QAAOSwzLhdZzcE/s-l225.jpg,$130.00,Apr-26 18:04,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item23f4312e5c,1293. Insects butterflies: Teinopalpus aureus ssp. North Vietnam,https://www.ebay.com/itm/154420719196?hash=item23f4312e5c:g:lTwAAOSwcrdgfZmZ,https://i.ebayimg.com/thumbs/images/g/lTwAAOSwcrdgfZmZ/s-l225.jpg,$17.27,Apr-26 07:54,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,5,1,"Apr 26, 2021

07:54:42 PDT"
item56f929c642,1284. Insects buterflies: Teinopalpus aureus. North Vietnam,https://www.ebay.com/itm/373547451970?hash=item56f929c642:g:hp0AAOSwE1dgfZgX,https://i.ebayimg.com/thumbs/images/g/hp0AAOSwE1dgfZgX/s-l225.jpg,$68.00,Apr-26 07:48,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,3,1,"Apr 26, 2021

07:48:16 PDT"
item23d92fff99,PA6213. Unmounted butterflies: Teinopalpus aureus eminens. South Vietnam.,https://www.ebay.com/itm/153967656857?hash=item23d92fff99:g:RxsAAOSwUEleuj69,https://i.ebayimg.com/thumbs/images/g/RxsAAOSwUEleuj69/s-l225.jpg,$380.00,Apr-10 07:38,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56ca56c601,PA5428. Unmounted butterflies: Teinopalpus aureus. North Vietnam.,https://www.ebay.com/itm/372761871873?hash=item56ca56c601:g:RIkAAOSwzi5dZ0~w,https://i.ebayimg.com/thumbs/images/g/RIkAAOSwzi5dZ0~w/s-l225.jpg,$25.00,Mar-21 02:20,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56f1ea6166,Pa5423. Unmounted butterfly: Teinopalpus aureus. North Vietnam. Yen Bai,https://www.ebay.com/itm/373425856870?hash=item56f1ea6166:g:ceQAAOSwMq5ezfGH,https://i.ebayimg.com/thumbs/images/g/ceQAAOSwMq5ezfGH/s-l225.jpg,$25.00,Mar-04 04:00,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
