id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4231b4bee1,TROGONOPTERA  TROJANA SIMILAR MALE,https://www.ebay.com/itm/284301770465?hash=item4231b4bee1:g:QEgAAOSw65tgkOtz,https://i.ebayimg.com/thumbs/images/g/QEgAAOSw65tgkOtz/s-l225.jpg,$32.74,May-25 23:09,"Monor, Hungary",kerik-74,https://www.ebay.com/usr/kerik-74?_trksid=p2047675.l2559,Auction,3,1,"May 25, 2021

23:09:53 PDT"
item28b16a2b98,Trogonoptera trojana male 85mm BG204 Papilionidae Beetles,https://www.ebay.com/itm/174775217048?hash=item28b16a2b98:g:PfIAAOSwjt1gpHUu,https://i.ebayimg.com/thumbs/images/g/PfIAAOSwjt1gpHUu/s-l225.jpg,$9.99,May-25 03:35,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1,"May 25, 2021

03:35:10 PDT"
item21891f949c,+ entomology butterflies: Trogonoptera trojana ♂ Palawan +++,https://www.ebay.com/itm/144034469020?hash=item21891f949c:g:vRMAAOSwNMNgmB0s,https://i.ebayimg.com/thumbs/images/g/vRMAAOSwNMNgmB0s/s-l225.jpg,$49.34,May-16 10:34,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,19,1,"May 16, 2021

10:34:45 PDT"
item2b07bb8f73,Trogonoptera trojana male 85mm BA154 Papilionidae Beetles,https://www.ebay.com/itm/184813326195?hash=item2b07bb8f73:g:U1oAAOSwHzpgZX3H,https://i.ebayimg.com/thumbs/images/g/U1oAAOSwHzpgZX3H/s-l225.jpg,$9.50,May-09 02:23,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,4,1,"May 09, 2021

02:23:21 PDT"
item28b052cdc9,Trogonoptera trojana male 85mm BA157 Papilionidae Beetles,https://www.ebay.com/itm/174756908489?hash=item28b052cdc9:g:yCcAAOSwubpgZX4o,https://i.ebayimg.com/thumbs/images/g/yCcAAOSwubpgZX4o/s-l225.jpg,$8.50,May-09 02:23,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,2,1,"May 09, 2021

02:23:20 PDT"
item28b052c639,Trogonoptera trojana male 84mm BC125 Papilionidae Butterflies,https://www.ebay.com/itm/174756906553?hash=item28b052c639:g:3tcAAOSw4Ydgd7UT,https://i.ebayimg.com/thumbs/images/g/3tcAAOSw4Ydgd7UT/s-l225.jpg,$9.51,May-09 02:21,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,3,1,"May 09, 2021

02:21:22 PDT"
item2b07858734,Trogonoptera trojana male 85mm BA156 Papilionidae Beetles,https://www.ebay.com/itm/184809785140?hash=item2b07858734:g:tNcAAOSwFd9gZXzq,https://i.ebayimg.com/thumbs/images/g/tNcAAOSwFd9gZXzq/s-l225.jpg,$7.99,May-07 19:47,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1,"May 07, 2021

19:47:12 PDT"
item28afba4492,Trogonoptera trojana male 90mm BC129 Papilionidae Butterflies,https://www.ebay.com/itm/174746911890?hash=item28afba4492:g:ocAAAOSwSrRgd7QA,https://i.ebayimg.com/thumbs/images/g/ocAAAOSwSrRgd7QA/s-l225.jpg,$8.49,May-01 04:27,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,2,1,"May 01, 2021

04:27:57 PDT"
item2b068eb3eb,Trogonoptera trojana male 81mm BC130 Papilionidae Butterflies,https://www.ebay.com/itm/184793609195?hash=item2b068eb3eb:g:IRAAAOSwTAVgd7Ra,https://i.ebayimg.com/thumbs/images/g/IRAAAOSwTAVgd7Ra/s-l225.jpg,$7.99,May-01 03:35,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1,"May 01, 2021

03:35:25 PDT"
item28af391287,Trogonoptera trojana male 90mm BC131 Papilionidae Butterflies,https://www.ebay.com/itm/174738444935?hash=item28af391287:g:5HEAAOSwnCtgd7S2,https://i.ebayimg.com/thumbs/images/g/5HEAAOSwnCtgd7S2/s-l225.jpg,$7.99,Apr-24 05:15,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,1,1,"Apr 24, 2021

05:15:09 PDT"
