id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item366efec097,10 Thai Jujube (Ziziphus Jujuba) bonsai tree/fruit seeds,https://www.ebay.com/itm/233790423191?hash=item366efec097:g:lWYAAOSwzJFfuIXZ,https://i.ebayimg.com/thumbs/images/g/lWYAAOSwzJFfuIXZ/s-l225.jpg,$9.00,May-30 20:32,"Thailand., United States",coddy65john,https://www.ebay.com/usr/coddy65john?_trksid=p2047675.l2559,Instant,0,4,
item44782f3fcb,Shanxi Li Jujube chinese Date Ziziphus jujuba live plant & seeds fast grow bulk,https://www.ebay.com/itm/294074138571?hash=item44782f3fcb:g:utgAAOSw015gVUrk,https://i.ebayimg.com/thumbs/images/g/utgAAOSw015gVUrk/s-l225.jpg,$2.99 to $23.73,May-28 20:39,"Marietta, Georgia, United States",usagardenshop,https://www.ebay.com/usr/usagardenshop?_trksid=p2047675.l2559,Instant,0,22,
item33e62250dc,20 RED CHINESE DATE TREE Edible Fruit Jujube Ziziphus Jujuba Yellow Flower Seeds,https://www.ebay.com/itm/222904340700?hash=item33e62250dc:g:DgcAAOSwMNxXZD70,https://i.ebayimg.com/thumbs/images/g/DgcAAOSwMNxXZD70/s-l225.jpg,$4.00,May-25 01:05,"Massillon, Ohio, United States",seedsforbrains,https://www.ebay.com/usr/seedsforbrains?_trksid=p2047675.l2559,Instant,0,540,
item44782f6686,Sugarcane Jujube chinese Date Ziziphus jujuba live plant & seeds fast grow bulk,https://www.ebay.com/itm/294074148486?hash=item44782f6686:g:Mp8AAOSwRfZgVUyz,https://i.ebayimg.com/thumbs/images/g/Mp8AAOSwRfZgVUyz/s-l225.jpg,$2.99 to $44.84,May-23 21:40,"Marietta, Georgia, United States",usagardenshop,https://www.ebay.com/usr/usagardenshop?_trksid=p2047675.l2559,Instant,0,12,
item5489aedae2,10Pcs Ziziphus Jujuba Seeds Plants Fruit Trees Chinese Date Garden Nature Beauty,https://www.ebay.com/itm/363087190754?hash=item5489aedae2:g:8joAAOSwgZJfRPkS,https://i.ebayimg.com/thumbs/images/g/8joAAOSwgZJfRPkS/s-l225.jpg,$3.49 to $3.99,May-23 21:13,"Tianjin, China",sevenseds,https://www.ebay.com/usr/sevenseds?_trksid=p2047675.l2559,Instant,0,7,
item54572c2214,Ziziphus jujuba JUJUBE Fruit Tree Seeds!,https://www.ebay.com/itm/362239762964?hash=item54572c2214:g:Z-UAAOSwSKtageS-,https://i.ebayimg.com/thumbs/images/g/Z-UAAOSwSKtageS-/s-l225.jpg,$4.99,May-17 09:20,"Walterboro, South Carolina, United States",greg17086,https://www.ebay.com/usr/greg17086?_trksid=p2047675.l2559,Instant,0,53,
item2f3922605c,1 l Dried Ziziphus jujuba Fruit - dried fruit and remedy for hypertension УНАБИ,https://www.ebay.com/itm/202822017116?hash=item2f3922605c:g:QloAAOSwHP1dzL4p,https://i.ebayimg.com/thumbs/images/g/QloAAOSwHP1dzL4p/s-l225.jpg,$6.90,May-15 06:19,"Timashevsk, Russian Federation",oleg-marmuta,https://www.ebay.com/usr/oleg-marmuta?_trksid=p2047675.l2559,Instant,0,30,
item4db2c8ccc1,20 Wild Jujube Fruit Seeds Ziziphus jujuba Chinese Date Perennial Organic Plants,https://www.ebay.com/itm/333711985857?hash=item4db2c8ccc1:g:OzQAAOSwIDZfVMj8,https://i.ebayimg.com/thumbs/images/g/OzQAAOSwIDZfVMj8/s-l225.jpg,$1.99,May-14 04:04,"Darkhan, Mongolia",lexen-55,https://www.ebay.com/usr/lexen-55?_trksid=p2047675.l2559,Instant,0,2,
item1aa7157292,20 Wild Jujube Fruit Seeds Brush Tree Ziziphus Jujuba Garden Perennials Plants,https://www.ebay.com/itm/114472350354?hash=item1aa7157292:g:pI8AAOSw0p9fjfo9,https://i.ebayimg.com/thumbs/images/g/pI8AAOSw0p9fjfo9/s-l225.jpg,$7.49 to $7.99,May-13 09:16,"Darhan, Mongolia",kailleasuna,https://www.ebay.com/usr/kailleasuna?_trksid=p2047675.l2559,Instant,0,16,
item4603809f0e,Relax-All with Lemon Balm ( Melissa Officinalis ) & Jujube Ziziphus Jujuba | 60V,https://www.ebay.com/itm/300706471694?hash=item4603809f0e:g:v2oAAOSw1ZJeac3C,https://i.ebayimg.com/thumbs/images/g/v2oAAOSw1ZJeac3C/s-l225.jpg,$31.69,May-09 13:50,"Banbury, Oxfordshire, United Kingdom",supplementsthatwork-uk,https://www.ebay.com/usr/supplementsthatwork-uk?_trksid=p2047675.l2559,Instant,0,56,
item265137c424,*UNCLE CHAN*20 seed Jujube Ziziphus Jujuba Tropical Fresh Fruit fresh my garden,https://www.ebay.com/itm/164571366436?hash=item265137c424:g:s0IAAOSwZbtfR15H,https://i.ebayimg.com/thumbs/images/g/s0IAAOSwZbtfR15H/s-l225.jpg,$4.00,May-08 21:12,"Maechan, Thailand",v-r-oneworld2020,https://www.ebay.com/usr/v-r-oneworld2020?_trksid=p2047675.l2559,Instant,0,2,
item5489a45867,20Pc Wild Jujube Seeds Plants Brush Tree Fruit Ziziphus Jujuba Garden Perennials,https://www.ebay.com/itm/363086501991?hash=item5489a45867:g:lrIAAOSwjF9fPnOe,https://i.ebayimg.com/thumbs/images/g/lrIAAOSwjF9fPnOe/s-l225.jpg,$3.49 to $3.99,May-08 16:28,"Tianjin, China",sevenseds,https://www.ebay.com/usr/sevenseds?_trksid=p2047675.l2559,Instant,0,40,
item263a64cba0,Jujube Date Extract Powder 4:1 Fructus Ziziphus Jujuba Fruit Spice Discounters,https://www.ebay.com/itm/164188441504?hash=item263a64cba0:g:fksAAOSwZbFdbr1-,https://i.ebayimg.com/thumbs/images/g/fksAAOSwZbFdbr1-/s-l225.jpg,$14.38 to $32.78,May-07 21:02,"Kelseyville, California, United States",spicediscounters,https://www.ebay.com/usr/spicediscounters?_trksid=p2047675.l2559,Instant,0,12,
item524162758e,20Pc Wild Jujube Fruit Seeds Ziziphus jujuba Beautiful Decorative Organic Plants,https://www.ebay.com/itm/353284289934?hash=item524162758e:g:UtoAAOSw8JRftq1O,https://i.ebayimg.com/thumbs/images/g/UtoAAOSw8JRftq1O/s-l225.jpg,$7.49,May-06 01:25,"Darkhan, Mongolia",log84-4,https://www.ebay.com/usr/log84-4?_trksid=p2047675.l2559,Instant,0,2,
item3da9d4f2f8,Ziziphus Jujuba - RED CHINESE DATE TREE  Fruit Jujube Yellow Flower - 3 cuttings,https://www.ebay.com/itm/264842310392?hash=item3da9d4f2f8:g:Ro8AAOSwqJJfQ5Lb,https://i.ebayimg.com/thumbs/images/g/Ro8AAOSwqJJfQ5Lb/s-l225.jpg,$25.00,May-02 16:45,"Shiro, Texas, United States",pursuitofhappiness333,https://www.ebay.com/usr/pursuitofhappiness333?_trksid=p2047675.l2559,Instant,0,5,
item2625ff466d,Jujube Date Extract Powder 4:1 Fructus Ziziphus Jujuba Fruit - Spice Discounter,https://www.ebay.com/itm/163846243949?hash=item2625ff466d:g:fksAAOSwZbFdbr1-,https://i.ebayimg.com/thumbs/images/g/fksAAOSwZbFdbr1-/s-l225.jpg,$13.59,Apr-28 21:27,"Kelseyville, California, United States",spicediscounters,https://www.ebay.com/usr/spicediscounters?_trksid=p2047675.l2559,Instant,0,8,
item4b25032f9a,10 seed Thai Jujube seeds Tropical Fresh Fruit Ziziphus Jujuba,https://www.ebay.com/itm/322743512986?hash=item4b25032f9a:g:X-0AAOSwal5YLSRl,https://i.ebayimg.com/thumbs/images/g/X-0AAOSwal5YLSRl/s-l225.jpg,$7.99,Apr-21 03:02,"A. Chiang-Sean, CR, Thailand",kero-9513,https://www.ebay.com/usr/kero-9513?_trksid=p2047675.l2559,Instant,0,18,
item1f010c00af,Jujube Fruit Fructus Ziziphus Jujuba Date Extract Powder 4:1 - Spice Discounters,https://www.ebay.com/itm/133161549999?hash=item1f010c00af:g:UJcAAOSwACpdbr7w,https://i.ebayimg.com/thumbs/images/g/UJcAAOSwACpdbr7w/s-l225.jpg,$13.58,Mar-30 16:49,"Kelseyville, California, United States",spicediscounters,https://www.ebay.com/usr/spicediscounters?_trksid=p2047675.l2559,Instant,0,6,
item1cdf536f7f,Ziziphus Jujuba Red Dates 8 Oz,https://www.ebay.com/itm/124005871487?hash=item1cdf536f7f:g:EgsAAOSwuOJd70Iw,https://i.ebayimg.com/thumbs/images/g/EgsAAOSwuOJd70Iw/s-l225.jpg,$9.58,Mar-26 20:56,"Forest Hills, New York, United States",jcj-9933,https://www.ebay.com/usr/jcj-9933?_trksid=p2047675.l2559,Instant,0,3,
item3b45a337b8,Suan Zao Ren (Ziziphus Jujuba) Organic Dried Seeds Liquid Extract,https://www.ebay.com/itm/254571395000?hash=item3b45a337b8:g:AogAAOSw9uxemQjk,https://i.ebayimg.com/thumbs/images/g/AogAAOSw9uxemQjk/s-l225.jpg,$17.95 to $27.95,Mar-26 15:15,"Honolulu, Hawaii, United States",fastshippingstore-us,https://www.ebay.com/usr/fastshippingstore-us?_trksid=p2047675.l2559,Instant,0,7,
item265d2ff2cd,Ant Admire Jujube Tree Potted Plant Fruit Ziziphus Jujuba,https://www.ebay.com/itm/164772180685?hash=item265d2ff2cd:g:rbgAAOSw2DRgVsFT,https://i.ebayimg.com/thumbs/images/g/rbgAAOSw2DRgVsFT/s-l225.jpg,$60.00,Mar-22 20:22,"California, United States",plants_paradise,https://www.ebay.com/usr/plants_paradise?_trksid=p2047675.l2559,Instant,0,1,
item23f17b935b,Ant Admire Jujube Tree Potted Plant Fruit Ziziphus Jujuba,https://www.ebay.com/itm/154375263067?hash=item23f17b935b:g:7ncAAOSwn6FgUZmU,https://i.ebayimg.com/thumbs/images/g/7ncAAOSwn6FgUZmU/s-l225.jpg,$40.00,Mar-17 17:07,"California, United States",plants_paradise,https://www.ebay.com/usr/plants_paradise?_trksid=p2047675.l2559,Instant,0,1,
item3b45a33a4c,Jujube (Ziziphus Jujuba) Organic Dried Fruits Liquid Extract,https://www.ebay.com/itm/254571395660?hash=item3b45a33a4c:g:vNYAAOSwT99emQke,https://i.ebayimg.com/thumbs/images/g/vNYAAOSwT99emQke/s-l225.jpg,$27.95,Mar-09 15:16,"Honolulu, Hawaii, United States",fastshippingstore-us,https://www.ebay.com/usr/fastshippingstore-us?_trksid=p2047675.l2559,Instant,0,10,
