id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item218a01cd98,"+ ENTOMOLOGY, BUTTERFLY: ADELPHA CYTHEREA SSP ? MALE BRASIL +++",https://www.ebay.com/itm/144049294744?hash=item218a01cd98:g:lF4AAOSwvQ1gqpYv,https://i.ebayimg.com/thumbs/images/g/lF4AAOSwvQ1gqpYv/s-l225.jpg,$2.99,May-30 10:51,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"May 30, 2021

10:51:51 PDT"
item549cc8505b,"ADELPHA MESENTINA FROM TONANTINS, BRAZIL",https://www.ebay.com/itm/363407626331?hash=item549cc8505b:g:VywAAOSwysBgql3I,https://i.ebayimg.com/thumbs/images/g/VywAAOSwysBgql3I/s-l225.jpg,$2.51,May-30 10:36,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"May 30, 2021

10:36:35 PDT"
item367c703df2,Entomology Butterfly: Adelpha Spec. ♂ Brazil #6,https://www.ebay.com/itm/234015964658?hash=item367c703df2:g:9vQAAOSw4LhgpVWi,https://i.ebayimg.com/thumbs/images/g/9vQAAOSw4LhgpVWi/s-l225.jpg,$3.06,May-30 09:39,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,2,1,"May 30, 2021

09:39:52 PDT"
item23f56e2df7,VELVET By Graham & Spencer Adelpha Tie Dye Sweatshirt Top Green S $150 B29,https://www.ebay.com/itm/154441494007?hash=item23f56e2df7:g:~IQAAOSwOktgkxaz,https://i.ebayimg.com/thumbs/images/g/~IQAAOSwOktgkxaz/s-l225.jpg,$38.00,May-27 10:44,"Beverly Hills, California, United States",starlessla,https://www.ebay.com/usr/starlessla?_trksid=p2047675.l2559,Instant,0,2,
item1f24dfb389,"+ ENTOMOLOGY, BUTTERFLY: ADELPHA EPIONE MALE PERU +++",https://www.ebay.com/itm/133762626441?hash=item1f24dfb389:g:5fEAAOSwObdgoV2s,https://i.ebayimg.com/thumbs/images/g/5fEAAOSwObdgoV2s/s-l225.jpg,$2.99,May-23 11:00,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"May 23, 2021

11:00:20 PDT"
item56fb04bb36,"ADELPHA EROTIA SSP. FROM GRAN SABANA, VENEZUELA",https://www.ebay.com/itm/373578578742?hash=item56fb04bb36:g:h2EAAOSwvEFgnUa5,https://i.ebayimg.com/thumbs/images/g/h2EAAOSwvEFgnUa5/s-l225.jpg,$3.25,May-23 10:17,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"May 23, 2021

10:17:54 PDT"
item549bba2289,"ADELPHA MESENTINA FROM TONANTINS, BRAZIL",https://www.ebay.com/itm/363389919881?hash=item549bba2289:g:5c0AAOSw-E5gl9I2,https://i.ebayimg.com/thumbs/images/g/5c0AAOSw-E5gl9I2/s-l225.jpg,$1.25,May-16 10:50,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"May 16, 2021

10:50:21 PDT"
item423080fd99,Coleoptera  - Cetoniinae - Stephanorrhina adelpha adelpha - Pair - Uganda,https://www.ebay.com/itm/284281601433?hash=item423080fd99:g:ctMAAOSwuFVgkBW3,https://i.ebayimg.com/thumbs/images/g/ctMAAOSwuFVgkBW3/s-l225.jpg,$5.69,May-15 11:03,"South Shields, United Kingdom",0191stanhope,https://www.ebay.com/usr/0191stanhope?_trksid=p2047675.l2559,Auction,9,1,"May 15, 2021

11:03:41 PDT"
item1d09441e4c,Vintage Noritake Adelpha 5 Piece Place Setting,https://www.ebay.com/itm/124709510732?hash=item1d09441e4c:g:fckAAOSw0KJgFfD3,https://i.ebayimg.com/thumbs/images/g/fckAAOSw0KJgFfD3/s-l225.jpg,$10.99,May-09 12:18,"Kaiser, Missouri, United States",thefixitgirl,https://www.ebay.com/usr/thefixitgirl?_trksid=p2047675.l2559,Auction,1,1,"May 09, 2021

12:18:29 PDT"
item2f3db6ba3b,Adelpha lara mainas Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/202898848315?hash=item2f3db6ba3b:g:z8gAAOSw30JeO39v,https://i.ebayimg.com/thumbs/images/g/z8gAAOSw30JeO39v/s-l225.jpg,$4.00,May-07 06:30,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,4,
