id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item549cadc0c9,GERMAN BROWN SOLDIER MARCHING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363405885641?hash=item549cadc0c9:g:5FMAAOSw~FFgNKVP,https://i.ebayimg.com/thumbs/images/g/5FMAAOSw~FFgNKVP/s-l225.jpg,$23.00,May-31 12:28,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"May 31, 2021

12:28:33 PDT"
item549cdd79e5,GERMAN BROWN SOLDIER STANDING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363409013221?hash=item549cdd79e5:g:tS4AAOSwjatgq6Zq,https://i.ebayimg.com/thumbs/images/g/tS4AAOSwjatgq6Zq/s-l225.jpg,$41.00,May-31 06:08,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,6,1,"May 31, 2021

06:08:29 PDT"
item549cd9b110,"GERMAN  BROWN SOLDIER  ON HORSE - ELASTOLIN COMPOSITION - CM. 6,5 SCALE",https://www.ebay.com/itm/363408765200?hash=item549cd9b110:g:~jsAAOSwE9FgZfqi,https://i.ebayimg.com/thumbs/images/g/~jsAAOSwE9FgZfqi/s-l225.jpg,$24.00,May-31 02:49,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"May 31, 2021

02:49:15 PDT"
item549cd9b111,GERMAN BROWN SOLDIER MARCHING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363408765201?hash=item549cd9b111:g:yLUAAOSwkbxgZf4S,https://i.ebayimg.com/thumbs/images/g/yLUAAOSwkbxgZf4S/s-l225.jpg,$23.00,May-31 02:49,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"May 31, 2021

02:49:15 PDT"
item549ca9b1a0,GERMAN BROWN SOLDIER MARCHING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363405619616?hash=item549ca9b1a0:g:ev4AAOSw-NFgcHZV,https://i.ebayimg.com/thumbs/images/g/ev4AAOSw-NFgcHZV/s-l225.jpg,$23.00,May-28 06:31,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"May 28, 2021

06:31:18 PDT"
item549ca9b1a2,GERMAN BROWN SOLDIER MARCHING - SUMMER UNIFORM - ELASTOLIN COMPOSITION,https://www.ebay.com/itm/363405619618?hash=item549ca9b1a2:g:MVgAAOSw~69gcHbs,https://i.ebayimg.com/thumbs/images/g/MVgAAOSw~69gcHbs/s-l225.jpg,$24.50,May-28 06:31,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,2,1,"May 28, 2021

06:31:18 PDT"
item549be13874,GERMAN BROWN SOLDIER STANDING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363392481396?hash=item549be13874:g:n~4AAOSw1GJgcHag,https://i.ebayimg.com/thumbs/images/g/n~4AAOSw1GJgcHag/s-l225.jpg,$26.00,May-21 05:52,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"May 21, 2021

05:52:07 PDT"
item3fd4c1549b,1966-7 North Vietnam Military Stamps - Brown Soldier Guerilla Woman CTO - Sc#M12,https://www.ebay.com/itm/274152379547?hash=item3fd4c1549b:g:NaAAAOSwnYVd~A3g,https://i.ebayimg.com/thumbs/images/g/NaAAAOSwnYVd~A3g/s-l225.jpg,$5.50,May-16 12:15,"Port Pirie, SA, Australia",turrid56,https://www.ebay.com/usr/turrid56?_trksid=p2047675.l2559,Instant,0,11,
item5498d6d1a8,GERMAN BROWN SOLDIER STANDING - ELASTOLIN COMPOSITION - ORIGINAL PREWAR,https://www.ebay.com/itm/363341468072?hash=item5498d6d1a8:g:iJUAAOSwCVRgZf1C,https://i.ebayimg.com/thumbs/images/g/iJUAAOSwCVRgZf1C/s-l225.jpg,$32.00,Apr-08 10:06,"Mirabello di Pavia, Italy",martag7800,https://www.ebay.com/usr/martag7800?_trksid=p2047675.l2559,Auction,1,1,"Apr 08, 2021

10:06:07 PDT"
item2186d98415,Action Man Hasbro vintage 1970s Basic Brown Soldier Belt Later Issue,https://www.ebay.com/itm/143996322837?hash=item2186d98415:g:D~IAAOSwwAZgZ4XO,https://i.ebayimg.com/thumbs/images/g/D~IAAOSwwAZgZ4XO/s-l225.jpg,$9.91,Apr-05 06:23,"Haverhill, Suffolk, United Kingdom",1mytoys1,https://www.ebay.com/usr/1mytoys1?_trksid=p2047675.l2559,Instant,0,1,
