id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item5973d1377f,"Lycaeinidae LYCAENA alciphron ruheli, female from Italy",https://www.ebay.com/itm/384195180415?hash=item5973d1377f:g:1kkAAOSwsApgs7WG,$1.22,"Vilnius, default, Lithuania",https://i.ebayimg.com/images/g/1kkAAOSwsApgs7WG/s-l300.jpg,galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item5973d13667,"Lycaeinidae LYCAENA alciphron ruheli, times from Italy",https://www.ebay.com/itm/384195180135?hash=item5973d13667:g:TvkAAOSwe21gs7Vw,$1.22,"Vilnius, default, Lithuania",https://i.ebayimg.com/images/g/TvkAAOSwe21gs7Vw/s-l300.jpg,galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item56fc2878e0,"Lycaeinidae LYCAENA alciphron melibaeus, times from Armenia",https://www.ebay.com/itm/373597698272?hash=item56fc2878e0:g:kwEAAOSwQOVgs7VX,$1.22,"Vilnius, default, Lithuania",https://i.ebayimg.com/images/g/kwEAAOSwQOVgs7VX/s-l300.jpg,galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item46c29b0798,LYCAENA alciphron ruheli *** times *** Italy,https://www.ebay.com/itm/303912650648?hash=item46c29b0798:g:ueIAAOSwnBdgRhtJ,$20.59,"Miami Playa, Spain",https://i.ebayimg.com/images/g/ueIAAOSwnBdgRhtJ/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,2,"Apr 06, 2021 12:02:04 PDT"
item4474835529,LYCAENA alciphron gordius ** Pair Ex OVO ** NE ITALY,https://www.ebay.com/itm/294012540201?hash=item4474835529:g:JXQAAOSwDWVgJ8Nm,$31.55,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/JXQAAOSwDWVgJ8Nm/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item422febb774,2 x LYCAENA alciphron heracleana from Morocco,https://www.ebay.com/itm/284271818612?hash=item422febb774:g:yGQAAOSwYJdghaoI,$18.27,"Eberswalde, Germany",https://i.ebayimg.com/images/g/yGQAAOSwYJdghaoI/s-l300.jpg,saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4230c1b994,Butterfly Lycaenidae Lycaena alciphron,https://www.ebay.com/itm/284285843860?hash=item4230c1b994:g:4MIAAOSwSYJglNlJ,$9.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/images/g/4MIAAOSwSYJglNlJ/s-l300.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2021 00:19:13 PDT"
item4230c1bb3e,Butterfly Lycaenidae Lycaena alciphron,https://www.ebay.com/itm/284285844286?hash=item4230c1bb3e:g:nX8AAOSwlD5glNl5,$9.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/images/g/nX8AAOSwlD5glNl5/s-l300.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2021 00:19:10 PDT"
item4451257045,LYCAENA alciphron heracleana *** PAIR *** Morocco (unmounted),https://www.ebay.com/itm/293419184197?hash=item4451257045:g:mJwAAOSwMXldWp9q,$60.79,"Miami Playa(Tarragona), Spain",https://i.ebayimg.com/images/g/mJwAAOSwMXldWp9q/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:43 PST"
item3ad7508521,"Unmounted Butterfly/Lycaenidae - Lycaena alciphron alciphron, male, Russia",https://www.ebay.com/itm/252720481569?hash=item3ad7508521:g:cP8AAOSwawpXv~qN,$4.89,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/cP8AAOSwawpXv~qN/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,10,"May 06, 2021 00:51:48 PDT"
item23f3c2cf88,"Lycaena alciphron (Rottemburg, 1775) male Poland86a",https://www.ebay.com/itm/154413485960?hash=item23f3c2cf88:g:jB4AAOSwhjlgddtz,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/jB4AAOSwhjlgddtz/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56f1945064,#905 Insects Lepidoptera Lycaenidae Lycaena alciphron pair Russia Uljanovsk reg,https://www.ebay.com/itm/373420216420?hash=item56f1945064:g:JU4AAOSwAH9f9ome,$11.00,"Vladivostok, Russian Federation",https://i.ebayimg.com/images/g/JU4AAOSwAH9f9ome/s-l300.jpg,pacificvdk,https://www.ebay.com/usr/pacificvdk?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3d3052a252,"Unmounted Butterfly/Lycaenidae - Lycaena alciphron alciphron, FEMALE, A1/A-",https://www.ebay.com/itm/262803726930?hash=item3d3052a252:g:vo8AAOSwDlxU3Q~K,$8.16,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/vo8AAOSwDlxU3Q~K/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 13:07:25 PST"
item23f3c2caaf,"Lycaena alciphron (Rottemburg, 1775) pair Poland85a",https://www.ebay.com/itm/154413484719?hash=item23f3c2caaf:g:5rAAAOSwBYRgddss,$7.48,"Gotelp, Poland",https://i.ebayimg.com/images/g/5rAAAOSwBYRgddss/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f3c2d269,"Lycaena alciphron (Rottemburg, 1775) male Poland87a",https://www.ebay.com/itm/154413486697?hash=item23f3c2d269:g:8bwAAOSwmsxgddun,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/8bwAAOSwmsxgddun/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
