id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3ffc44c4c4,Pieridae - Cepora nerissa - Common Gull - male,https://www.ebay.com/itm/274815304900?hash=item3ffc44c4c4:g:76kAAOSw4UVgUMaR,$4.62,"Jaroslaw, Poland",https://i.ebayimg.com/images/g/76kAAOSw4UVgUMaR/s-l300.jpg,mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item1ca51b5958,"LEPIDOPTERA, PIERIDAE, CEPORA NERISSA from THAILAND",https://www.ebay.com/itm/123029117272?hash=item1ca51b5958:g:GwsAAOSwNbFarrTU,$4.18,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/images/g/GwsAAOSwNbFarrTU/s-l300.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,3,"Sep 05, 2018 10:08:08 PDT"
item4b5d969e4c,5 pcs unmounted butterfly Pieridae Cepora nerissa material artwork CHINA A1 A1-,https://www.ebay.com/itm/323692699212?hash=item4b5d969e4c:g:jd8AAOSwn2pcY4K0,$4.99,"mainland, China",https://i.ebayimg.com/images/g/jd8AAOSwn2pcY4K0/s-l300.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,7,"May 07, 2020 00:29:54 PDT"
item48db675c62,collection 10 pcs unmounted butterfly Pieridae Cepora nerissa CHINA A1 A1-,https://www.ebay.com/itm/312918629474?hash=item48db675c62:g:CEYAAOSwYk5eCfz4,$9.90,"beijing, China",https://i.ebayimg.com/images/g/CEYAAOSwYk5eCfz4/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,4,"Dec 16, 2020 05:44:17 PST"
item4b5d96901e,COLLECTION unmounted butterfly Pieridae Cepora nerissa coronis hainan CHINA A1,https://www.ebay.com/itm/323692695582?hash=item4b5d96901e:g:r2gAAOSwbaxcY4Kl,$1.29,"mainland, China",https://i.ebayimg.com/images/g/r2gAAOSwbaxcY4Kl/s-l300.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,9,"May 07, 2020 00:42:08 PDT"
item218a2460c6,Common Gull Cepora nerissa Butterfly Specimen in 75 mm Amber Clear Square Slide,https://www.ebay.com/itm/144051560646?hash=item218a2460c6:g:ewIAAOSwgKpgG7tv,$11.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/ewIAAOSwgKpgG7tv/s-l300.jpg,gaofudev,https://www.ebay.com/usr/gaofudev?_trksid=p2047675.l2559,Auction,0,0,1,"May 29, 2021 00:33:38 PDT"
item5973395538,Laminated Common Gull Cepora nerissa Butterfly Specimen in 110x110 mm sheet,https://www.ebay.com/itm/384185226552?hash=item5973395538:g:gyQAAOxy-WxTA2Bk,$9.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/gyQAAOxy-WxTA2Bk/s-l300.jpg,gaofudev,https://www.ebay.com/usr/gaofudev?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item48c20b043c,2 unmounted butterfly Pieridae Cepora nerissa coronis hainan CHINA A1-,https://www.ebay.com/itm/312493147196?hash=item48c20b043c:g:OpcAAMXQVERS5DBp,$3.85,"beijing, China",https://i.ebayimg.com/images/g/OpcAAMXQVERS5DBp/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Dec 16, 2020 05:44:17 PST"
item41f58ce13f,PAIR unmounted butterfly Cepora nerissa coronis  male A1   female A1-,https://www.ebay.com/itm/283292524863?hash=item41f58ce13f:g:GsEAAOxyrUVRmxzb,$29.00,"beijing, China",https://i.ebayimg.com/images/g/GsEAAOxyrUVRmxzb/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Dec 16, 2020 05:44:17 PST"
item420f734d9e,wholesale 50 pcs unmounted butterfly Pieridae Cepora nerissa CHINA A1 A1-,https://www.ebay.com/itm/283727056286?hash=item420f734d9e:g:CEYAAOSwYk5eCfz4,$39.90,"beijing, China",https://i.ebayimg.com/images/g/CEYAAOSwYk5eCfz4/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,5,"Nov 11, 2020 01:01:33 PST"
