id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2afbb1bad2,Nymphalidae. 5 x Cethosia cydippe theona. Buru Is,https://www.ebay.com/itm/184611355346?hash=item2afbb1bad2:g:zesAAOSwi8Rf9xO9,$19.00,"Jakarta, Indonesia",https://i.ebayimg.com/images/g/zesAAOSwi8Rf9xO9/s-l300.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,5,"May 17, 2021 06:20:48 PDT"
item3443ddd8aa,UNMOUNTED BUTTERFLY CETHOSIA CYDIPPE 1 PC,https://www.ebay.com/itm/224476911786?hash=item3443ddd8aa:g:T5wAAOSw5T5fo2aa,$4.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/T5wAAOSw5T5fo2aa/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 29, 2021 23:27:33 PDT"
item3da3199a43,REAL CETHOSIA CYDIPPE CLAUDILLA; EASTERN RED LACEWING BUTTERFLY FRAMED DISPLAY,https://www.ebay.com/itm/264729369155?hash=item3da3199a43:g:M7UAAOSwyPlcFRRf,$36.00,"Chiang Mai, Thailand",https://i.ebayimg.com/images/g/M7UAAOSwyPlcFRRf/s-l300.jpg,bugs_r_us,https://www.ebay.com/usr/bugs_r_us?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 02, 2020 20:13:47 PST"
item3da319f22a,REAL CETHOSIA CYDIPPE; EASTERN RED LACEWING BUTTERFLY IN FRAMED DISPLAY,https://www.ebay.com/itm/264729391658?hash=item3da319f22a:g:rPAAAOSw~2VcFQ6A,$36.00,"Chiang Mai, Thailand",https://i.ebayimg.com/images/g/rPAAAOSw~2VcFQ6A/s-l300.jpg,bugs_r_us,https://www.ebay.com/usr/bugs_r_us?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 02, 2020 21:26:37 PST"
item3b51588c0b,"Unmounted Butterfly/Nymphalidae - Cethosia cydippe chrysippe, male, Australia",https://www.ebay.com/itm/254767827979?hash=item3b51588c0b:g:oEkAAOSw-k1foaGk,$10.88,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/oEkAAOSw-k1foaGk/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,6,"Jan 03, 2021 10:30:41 PST"
item3daeb0d82e,"Unmounted Butterfly/Nymphalidae - Cethosia cydippe chrysippe, FEMALE, Australia",https://www.ebay.com/itm/264923830318?hash=item3daeb0d82e:g:iOwAAOSwVztfoaIt,$21.75,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/iOwAAOSwVztfoaIt/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jan 03, 2021 10:33:27 PST"
item1cd3882ce6,"Cethosia cydippe damasippe from yapen island, Indonesia M N 275",https://www.ebay.com/itm/123808001254?hash=item1cd3882ce6:g:EjsAAOSweW5VbvdJ,$30.45,"Brachbach, Germany",https://i.ebayimg.com/images/g/EjsAAOSweW5VbvdJ/s-l300.jpg,borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 01, 2020 03:49:51 PST"
item3daeb0d1dd,"Unmounted Butterfly/Nymphalidae - Cethosia cydippe chrysippe, male, A1/A-",https://www.ebay.com/itm/264923828701?hash=item3daeb0d1dd:g:oEkAAOSw-k1foaGk,$9.52,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/oEkAAOSw-k1foaGk/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,3,"Dec 03, 2020 10:36:45 PST"
item1d073aea7c,Vanuatu 10 Vatu 2006 Butterfly Cethosia cydippe Ø40mm PP Satin Colour,https://www.ebay.com/itm/124675353212?hash=item1d073aea7c:g:j-wAAOSwNdpgcvSx,$42.57,"Norddeutschland, Germany, Germany",https://i.ebayimg.com/images/g/j-wAAOSwNdpgcvSx/s-l300.jpg,hobby-ende,https://www.ebay.com/usr/hobby-ende?_trksid=p2047675.l2559,Instant,0,0,1,"May 27, 2021 00:50:41 PDT"
item35ea49e8eb,2006 Vanuatu Large Proof Color 10 Vatu- Butterfly- Cethosia cydippe,https://www.ebay.com/itm/231563978987?hash=item35ea49e8eb:g:S~kAAOSwBLlVV6Yj,$34.99,"Hackensack, New Jersey, United States",https://i.ebayimg.com/images/g/S~kAAOSwBLlVV6Yj/s-l300.jpg,arkadyn,https://www.ebay.com/usr/arkadyn?_trksid=p2047675.l2559,Instant,0,0,1,"Jul 02, 2020 11:06:16 PDT"
