id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2afb9c9b03,"CHARAXES AMELIAE, Nymphalidae, Male",https://www.ebay.com/itm/184609970947?hash=item2afb9c9b03:g:d80AAOSwLulf9XZ0,$4.49,"Bratislava, Slovakia",https://i.ebayimg.com/images/g/d80AAOSwLulf9XZ0/s-l300.jpg,martinaeurope,https://www.ebay.com/usr/martinaeurope?_trksid=p2047675.l2559,Instant,0,0,7,"Feb 06, 2021 06:28:24 PST"
item447fc2f280,Butterfly : Charaxes ameliae doumeti PAIR  from guinée,https://www.ebay.com/itm/294201258624?hash=item447fc2f280:g:F8sAAOSwNkRfyWS9,$18.27,"Montigny - le - Tilleul, Belgium",https://i.ebayimg.com/images/g/F8sAAOSwNkRfyWS9/s-l300.jpg,africanentomology,https://www.ebay.com/usr/africanentomology?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item447fc30e96,Butterfly  : Charaxes ameliae doumeti from GUINEE,https://www.ebay.com/itm/294201265814?hash=item447fc30e96:g:mMsAAOSwli9evPgX,$17.05,"Montigny - le - Tilleul, Belgium",https://i.ebayimg.com/images/g/mMsAAOSwli9evPgX/s-l300.jpg,africanentomology,https://www.ebay.com/usr/africanentomology?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item23ed90330f,Charaxes ameliae Doumet 1861 CAR 66mm78a,https://www.ebay.com/itm/154309505807?hash=item23ed90330f:g:uPEAAOSwSpBgEucM,$13.46,"Gotelp, Poland",https://i.ebayimg.com/images/g/uPEAAOSwSpBgEucM/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item549cc6aa8a,"CAMEROUN 548 - ""Charaxes ameliae"" Butterfly (pf43824)",https://www.ebay.com/itm/363407518346?hash=item549cc6aa8a:g:k5gAAOSwcwlf1SPv,$1.00,"Ottawa, Ontario, Canada",https://i.ebayimg.com/images/g/k5gAAOSwcwlf1SPv/s-l300.jpg,perforations,https://www.ebay.com/usr/perforations?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ed903539,Charaxes ameliae Doumet 1861 CAR 66mm80a,https://www.ebay.com/itm/154309506361?hash=item23ed903539:g:Dl4AAOSwZH5gEucq,$13.46,"Gotelp, Poland",https://i.ebayimg.com/images/g/Dl4AAOSwZH5gEucq/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23ed90389e,Charaxes ameliae Doumet 1861 CAR 70mm77a,https://www.ebay.com/itm/154309507230?hash=item23ed90389e:g:hjsAAOSw8gdgEudI,$13.46,"Gotelp, Poland",https://i.ebayimg.com/images/g/hjsAAOSw8gdgEudI/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23efd0e6a8,Charaxes ameliae Doumet 1861 C.A.R. 72mm98a,https://www.ebay.com/itm/154347300520?hash=item23efd0e6a8:g:-EsAAOSw6zlgOSfz,$13.46,"Gotelp, Poland",https://i.ebayimg.com/images/g/-EsAAOSw6zlgOSfz/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3667951b64,Cameroun #548 EPL Proof Blue-spotted Charaxes (Charaxes ameliae) [YT528],https://www.ebay.com/itm/233666059108?hash=item3667951b64:g:zwMAAOSwY4hfI4fo,$48.99,"Conroe, Texas, United States",https://i.ebayimg.com/images/g/zwMAAOSwY4hfI4fo/s-l300.jpg,hiplatelics,https://www.ebay.com/usr/hiplatelics?_trksid=p2047675.l2559,Instant,0,0,1,"May 27, 2021 11:27:44 PDT"
item56e0759b48,"Ghana 334-335,MNH.Mi 345-346.Butterflies Cymothoe sangaris,Charaxes ameliae.1968",https://www.ebay.com/itm/373132991304?hash=item56e0759b48:g:g~cAAOSw2SxdFe1O,$4.05,"Westlake Village, California, United States",https://i.ebayimg.com/images/g/g~cAAOSw2SxdFe1O/s-l300.jpg,borisdlevitin,https://www.ebay.com/usr/borisdlevitin?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item447cea0a25,"Gambia 1991 MNH Imperf, Blue-spotted Charaxes (Charaxes ameliae), Butterflies",https://www.ebay.com/itm/294153488933?hash=item447cea0a25:g:Rh8AAOSwyDdgjVlb,$3.50,"BHIWANDI, MAHARASHTRA, India",https://i.ebayimg.com/images/g/Rh8AAOSwyDdgjVlb/s-l300.jpg,kamalmedicine,https://www.ebay.com/usr/kamalmedicine?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 20:45:12 PDT"
item51f33a4a5d,Cameroon-Cameroon (REP. CG.) - 1972-Butterflies-CHARAXES Ameliae-Papilio,https://www.ebay.com/itm/351973034589?hash=item51f33a4a5d:g:UG8AAOSwA3dYlE3i,$4.02,"25124, Italy",https://i.ebayimg.com/images/g/UG8AAOSwA3dYlE3i/s-l300.jpg,philarmonicaplus,https://www.ebay.com/usr/philarmonicaplus?_trksid=p2047675.l2559,Instant,0,0,1,"May 29, 2021 08:35:58 PDT"
