id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item4213fb158d,COLLECTION unmounted butterfly Nymphalidae doleschallia bisaltide CHINA A1-,https://www.ebay.com/itm/283803063693?hash=item4213fb158d:g:t-sAAOSwLNteXnYP,$2.88,"beijing, China",https://i.ebayimg.com/images/g/t-sAAOSwLNteXnYP/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Dec 16, 2020 00:24:28 PST"
item1a92890f7f,"LEPIDOPTERA, NYMPHALIDAE, NYMPHALINAE, DOLESCHALLIA BISALTIDE from PHILIPPINES",https://www.ebay.com/itm/114127605631?hash=item1a92890f7f:g:UVcAAOSw6IJeUsLw,$5.60,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/images/g/UVcAAOSw6IJeUsLw/s-l300.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item2183466fc3,Leaf similar Butterfly Doleschallia bisaltide Leaf Wings Wood Engraving 1893,https://www.ebay.com/itm/143936352195?hash=item2183466fc3:g:TdcAAOSwCSxgGT1F,$7.25,"Buchhorst, Germany",https://i.ebayimg.com/images/g/TdcAAOSwCSxgGT1F/s-l300.jpg,ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 04, 2021 08:09:47 PST"
item23f6deaf03,Mimesis of Leaf Butterfly Doleschallia bisaltide Set clear Education Specimen,https://www.ebay.com/itm/154465644291?hash=item23f6deaf03:g:bxEAAOSwJ-ldbO8a,$17.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/bxEAAOSwJ-ldbO8a/s-l300.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3407bdf1dc,PAIR unmounted butterfly nymphalidae doleschallia bisaltide siamensis #YUN11,https://www.ebay.com/itm/223468188124?hash=item3407bdf1dc:g:c0UAAOSwnI9ch1~v,$59.00,"mainland, China",https://i.ebayimg.com/images/g/c0UAAOSwnI9ch1~v/s-l300.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2020 00:23:48 PDT"
item3b2eca3ed4,Nymphalidae Butterfly - Doleschallia bisaltide pratipa (MorF) - Malaysia ( 24-4),https://www.ebay.com/itm/254188076756?hash=item3b2eca3ed4:g:d~AAAOSwWnFWBkGG,$3.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/d~AAAOSwWnFWBkGG/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,8,"May 09, 2021 07:48:09 PDT"
item23b541373b,Bubble Glass FRAMED Real BUTTERFLY INSECT Doleschallia Bisaltide Brookaina,https://www.ebay.com/itm/153364805435?hash=item23b541373b:g:mqEAAOSw5dNWoCaQ,$34.99,"Highland, Illinois, United States",https://i.ebayimg.com/images/g/mqEAAOSw5dNWoCaQ/s-l300.jpg,pattybeckman,https://www.ebay.com/usr/pattybeckman?_trksid=p2047675.l2559,Instant,0,0,1,"Nov 16, 2019 05:14:50 PST"
item23c42a0eef,Mimesis of Leaf Butterfly Doleschallia bisaltide Set clear Education Specimen,https://www.ebay.com/itm/153614946031?hash=item23c42a0eef:g:1vYAAOSwBgZdX8Bu,$18.00,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/1vYAAOSwBgZdX8Bu/s-l300.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 15, 2021 02:09:25 PDT"
item447786e2bc,Real Insect/Butterfly/Moth Spread B7137 Doleschallia bisaltide Philippines,https://www.ebay.com/itm/294063104700?hash=item447786e2bc:g:K3IAAOSw7kdgTWj2,$5.74,"Goolwa, South Australia, Australia",https://i.ebayimg.com/images/g/K3IAAOSw7kdgTWj2/s-l300.jpg,uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56e0758561,"Solomon Isls 461-464,MNH.Michel 455-458. Butterflies 1982:Doleschallia bisaltide",https://www.ebay.com/itm/373132985697?hash=item56e0758561:g:jgoAAOSwpXFdFfyL,$5.15,"Westlake Village, California, United States",https://i.ebayimg.com/images/g/jgoAAOSwpXFdFfyL/s-l300.jpg,borisdlevitin,https://www.ebay.com/usr/borisdlevitin?_trksid=p2047675.l2559,Instant,0,0,2,"May 18, 2021 12:43:40 PDT"
item48e14602d8,COLLECTION unmounted butterfly Nymphalidae doleschallia bisaltide CHINA A1,https://www.ebay.com/itm/313017107160?hash=item48e14602d8:g:t-sAAOSwLNteXnYP,$3.88,"beijing, China",https://i.ebayimg.com/images/g/t-sAAOSwLNteXnYP/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,5,"Dec 16, 2020 00:24:28 PST"
item2189f6a665,Mimesis of Leaf Butterfly Doleschallia bisaltide Set clear Education Specimen,https://www.ebay.com/itm/144048563813?hash=item2189f6a665:g:AU0AAOSwpo9feq5L,$17.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/AU0AAOSwpo9feq5L/s-l300.jpg,gaofudev,https://www.ebay.com/usr/gaofudev?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
