id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item28ab2671c2,Real Framed Lexias Pardalis Common Archduke Orange Spotted Verso Butterfly 8610V,https://www.ebay.com/itm/174670115266?hash=item28ab2671c2:g:Qh4AAOSwDxhcyghJ,$49.99,"Visalia, California, United States",https://i.ebayimg.com/images/g/Qh4AAOSwDxhcyghJ/s-l300.jpg,butterfly-displays,https://www.ebay.com/usr/butterfly-displays?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item3b2e956051,Nymphalidae - Butterfly - Lexias pardalis dirteana (f)  - Cameron Highlands,https://www.ebay.com/itm/254184611921?hash=item3b2e956051:g:tFYAAOSwKIpWElc2,$8.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/tFYAAOSwKIpWElc2/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,2,"May 09, 2021 07:48:11 PDT"
item3b2f1f2146,"Butterfly- Nymphalidae - Lexias pardalis ellora (f) -Mindoro, Philippines (LPE)",https://www.ebay.com/itm/254193639750?hash=item3b2f1f2146:g:P0wAAOSwP8BZuMdx,$6.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/P0wAAOSwP8BZuMdx/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,1,"May 09, 2021 07:48:11 PDT"
item3b2f979bb8,"Nymphalidae - Butterfly/Lexias pardalis dirteana (f) - Tapah Hills, Perak, M'sia",https://www.ebay.com/itm/254201535416?hash=item3b2f979bb8:g:uq4AAOxyEilSVAKD,$8.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/uq4AAOxyEilSVAKD/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,5,"May 09, 2021 07:48:11 PDT"
item3b2eca3b69,"Nymphalidae -Butterfly -Lexias pardalis dirteana (m) - Tapah Hills, Perak, M'sia",https://www.ebay.com/itm/254188075881?hash=item3b2eca3b69:g:hyAAAOxy2BBSVADW,$8.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/hyAAAOxy2BBSVADW/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,5,"May 09, 2021 07:48:09 PDT"
item56e1c54907,N3031. Unmounted butterfly: Lexias pardalis. South Vietnam. Female,https://www.ebay.com/itm/373154990343?hash=item56e1c54907:g:hYkAAOSwQrNfM7VG,$3.50,"Forest, Vietnam",https://i.ebayimg.com/images/g/hYkAAOSwQrNfM7VG/s-l300.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56e1c54902,N2477. Unmounted butterfly. Lexias pardalis. South Vietnam. Female,https://www.ebay.com/itm/373154990338?hash=item56e1c54902:g:2nkAAOSwOx9fM7YZ,$2.25,"Forest, Vietnam",https://i.ebayimg.com/images/g/2nkAAOSwOx9fM7YZ/s-l300.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item48fb2d6a65,COLLECTION unmounted butterfly nymphalidae lexias pardalis pardalis  #1,https://www.ebay.com/itm/313451702885?hash=item48fb2d6a65:g:z54AAOSw-XBgSwFF,$8.80,"beijing, China",https://i.ebayimg.com/images/g/z54AAOSw-XBgSwFF/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 12, 2021 06:03:51 PST"
item56e1c5490f,N2826. Unmounted butterfly. Lexias pardalis. South Vietnam. Female,https://www.ebay.com/itm/373154990351?hash=item56e1c5490f:g:-kcAAOSwoMhfM7TM,$3.50,"Forest, Vietnam",https://i.ebayimg.com/images/g/-kcAAOSwoMhfM7TM/s-l300.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b3b03f07c,"Unmounted Butterfly/Nymphalidae - Lexias pardalis dirteana, male, Malaysia",https://www.ebay.com/itm/254393184380?hash=item3b3b03f07c:g:FgMAAOSw0Uddqj7v,$4.89,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/FgMAAOSw0Uddqj7v/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,5,"Dec 18, 2020 14:39:46 PST"
