id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item4205a32417,"MORPHO RHETENOR A1 PAPERED, RARE  - GUYANA",https://www.ebay.com/itm/283562419223?hash=item4205a32417:g:QQgAAOSwoQled8mQ,$23.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/QQgAAOSwoQled8mQ/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,6,"Apr 25, 2021 09:05:26 PDT"
item422846c86e,"MORPHO RHETENOR - TEN (10) UNSPREAD, RARE & FRESH MALES - GUYANA",https://www.ebay.com/itm/284143569006?hash=item422846c86e:g:ckcAAOSw2nhewo0l,$212.50,"Commack, New York, United States",https://i.ebayimg.com/images/g/ckcAAOSw2nhewo0l/s-l300.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,3,"Mar 21, 2021 18:41:04 PDT"
item56fbf8b0d0,"MORPHO RHETENOR CACICA MALE FROM SATIPO, PERU",https://www.ebay.com/itm/373594566864?hash=item56fbf8b0d0:g:heEAAOSwCu5gr70s,$20.50,"Munich, Germany",https://i.ebayimg.com/images/g/heEAAOSwCu5gr70s/s-l300.jpg,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,0,1,Unknown
item4219c6945d,"Morpho rhetenor rhetenor form "" cacica""  A1  UNSPREAD, GUYANA",https://www.ebay.com/itm/283900286045?hash=item4219c6945d:g:2bkAAOSwOeFe1orl,$32.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/2bkAAOSwOeFe1orl/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,2,"Apr 10, 2021 05:25:15 PDT"
item56fbf8b170,"MORPHO RHETENOR CACICA FEMALE FROM SATIPO, PERU",https://www.ebay.com/itm/373594567024?hash=item56fbf8b170:g:mrsAAOSwILhgr71I,$66.00,"Munich, Germany",https://i.ebayimg.com/images/g/mrsAAOSwILhgr71I/s-l300.jpg,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,0,1,Unknown
item549d1c29bf,"MORPHO RHETENOR RHETENOR MALE FROM BELEM, PARA, BRAZIL",https://www.ebay.com/itm/363413121471?hash=item549d1c29bf:g:yk0AAOSwwjZgr70P,$42.41,"Munich, Germany",https://i.ebayimg.com/images/g/yk0AAOSwwjZgr70P/s-l300.jpg,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,0,1,Unknown
item4205a3318e,"MORPHO RHETENOR GOOD A- GRADE, FOLDED - GUYANA",https://www.ebay.com/itm/283562422670?hash=item4205a3318e:g:QGoAAOSwljJdP3l0,$18.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/QGoAAOSwljJdP3l0/s-l300.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,More than 10,"May 18, 2020 06:32:48 PDT"
item4219c57fae,"Morpho rhetenor rhetenor form "" cacica""  A1-/A-  SPREAD, GUYANA",https://www.ebay.com/itm/283900215214?hash=item4219c57fae:g:pbQAAOSw049e1ouN,$37.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/pbQAAOSw049e1ouN/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,4,"Apr 10, 2021 05:29:46 PDT"
item23f4a7acfe,Morpho rhetenor helena male peru pinned A-,https://www.ebay.com/itm/154428484862?hash=item23f4a7acfe:g:uCMAAOSwLwdghe51,$120.00,"Manhattan Beach, California, United States",https://i.ebayimg.com/images/g/uCMAAOSwLwdghe51/s-l300.jpg,ap_entomology,https://www.ebay.com/usr/ap_entomology?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2f58cfa5f1,MORPHO RHETENOR HELENA male + female A1++NO PROTECT SPECIES,https://www.ebay.com/itm/203353466353?hash=item2f58cfa5f1:g:V28AAOSwEgxgfZf7,$150.00,"Samara, Russian Federation",https://i.ebayimg.com/images/g/V28AAOSwEgxgfZf7/s-l300.jpg,3849165,https://www.ebay.com/usr/3849165?_trksid=p2047675.l2559,Instant,0,0,1,"May 29, 2021 11:33:52 PDT"
