id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item23ea8d0888,Papilio peranthus - Indonesia - Unmounted - Ships from USA,https://www.ebay.com/itm/154258966664?hash=item23ea8d0888:g:-yIAAOSwH-Bf45lk,$7.00,"Twin Falls, Idaho, United States",https://i.ebayimg.com/images/g/-yIAAOSwH-Bf45lk/s-l300.jpg,brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item41ffd8c148,"PAPILIO PERANTHUS ADAMANTIUS -10 A1 Turquoise, XL Unmounted Males - SULAWESI",https://www.ebay.com/itm/283465269576?hash=item41ffd8c148:g:b3AAAOSwszVbw3Hg,$52.50,"Commack, New York, United States",https://i.ebayimg.com/images/g/b3AAAOSwszVbw3Hg/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,10 lots (10 items per lot),"Apr 28, 2019 03:40:36 PDT"
item3666c940f3,Real Framed Papilio Peranthus & Helenus Summer Spring Form Butterfly - Indonesia,https://www.ebay.com/itm/233652699379?hash=item3666c940f3:g:Z5AAAOSwpQxfEbTy,$64.99,"Fort Lauderdale, Florida, United States",https://i.ebayimg.com/images/g/Z5AAAOSwpQxfEbTy/s-l300.jpg,thevintagecurio,https://www.ebay.com/usr/thevintagecurio?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 09, 2021 13:36:08 PST"
item23f19293d8,Papilio Peranthus Pinned US Shipping,https://www.ebay.com/itm/154376770520?hash=item23f19293d8:g:yLwAAOSwB5tgUt7q,$10.00,"Manhattan Beach, California, United States",https://i.ebayimg.com/images/g/yLwAAOSwB5tgUt7q/s-l300.jpg,ap_entomology,https://www.ebay.com/usr/ap_entomology?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item53d41127c7,"Butterfly - Papilionidae - Papilio peranthus (f) ssp transiens - Bali, Indonesia",https://www.ebay.com/itm/360040179655?hash=item53d41127c7:g:2tAAAOSwiLdWBKGs,$12.98,"Kuala Lumpur, Malaysia",https://i.ebayimg.com/images/g/2tAAAOSwiLdWBKGs/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,Last one,"May 09, 2021 07:48:09 PDT"
item562824ffb1,"Butterfly - Papilionidae - Papilio peranthus ssp peranthus (m) - Java, Indonesia",https://www.ebay.com/itm/370040700849?hash=item562824ffb1:g:XvcAAOSwFnFWBJLA,$7.98,"Kuala Lumpur, Malaysia",https://i.ebayimg.com/images/g/XvcAAOSwFnFWBJLA/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,5,"May 09, 2021 07:48:12 PDT"
item41ffd8ba32,"PAPILIO PERANTHUS. TRANSIENS -10 A1 Turquoise, Unmounted Males - BALI",https://www.ebay.com/itm/283465267762?hash=item41ffd8ba32:g:wxcAAOSwPOhaTtZm,$52.50,"Commack, New York, United States",https://i.ebayimg.com/images/g/wxcAAOSwPOhaTtZm/s-l300.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,8 lots (10 items per lot),"Apr 28, 2019 03:40:26 PDT"
item4b9680bf2e,UNMOUNTED BUTTERFLY/PAPILIO PERANTHUS. 1 PC,https://www.ebay.com/itm/324647567150?hash=item4b9680bf2e:g:ao8AAOSwefxgsGW5,$4.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/ao8AAOSwefxgsGW5/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:36:27 PDT"
item28a7fd2712,Papilio peranthus  Butterfly Dome,https://www.ebay.com/itm/174617077522?hash=item28a7fd2712:g:dOwAAOxy7rdREJWp,$43.00,"Newport, North Carolina, United States",https://i.ebayimg.com/images/g/dOwAAOxy7rdREJWp/s-l300.jpg,papilio28570,https://www.ebay.com/usr/papilio28570?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item1a8a79f042,"LEPIDOPTERA, PAPILIONIDAE, PAPILIO PERANTHUS from INDONESIA",https://www.ebay.com/itm/113992396866?hash=item1a8a79f042:g:IHEAAOSw~MZd4AbG,$7.02,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/images/g/IHEAAOSw~MZd4AbG/s-l300.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,Last one,"Nov 28, 2019 10:10:24 PST"
