id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item46c8525916,Real Mounted Butterflies Framed Papilio Polytes & Prioneris Thestylis Formosana,https://www.ebay.com/itm/304008550678?hash=item46c8525916:g:m-IAAOSwagFgkbHU,$14.99,"Glen Cove, New York, United States",https://i.ebayimg.com/images/g/m-IAAOSwagFgkbHU/s-l300.jpg,poplarproducts,https://www.ebay.com/usr/poplarproducts?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item48d62940ec,Papilio polytes polytes Common Mormon REAL BUTTERFLY unmounted SHIPS FROM USA,https://www.ebay.com/itm/312830673132?hash=item48d62940ec:g:N4MAAOSwr0Rd2dQW,$4.99,"Estes Park, Colorado, United States",https://i.ebayimg.com/images/g/N4MAAOSwr0Rd2dQW/s-l300.jpg,little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,0,3,"Mar 31, 2021 15:38:48 PDT"
item48fb06ba02,Papilionidae. 10 x Papilio polytes thesus. West Kalimantan.,https://www.ebay.com/itm/313449167362?hash=item48fb06ba02:g:J-kAAOSwUNZgSJAg,$10.00,"Jakarta, Indonesia",https://i.ebayimg.com/images/g/J-kAAOSwUNZgSJAg/s-l300.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 12, 2021 19:25:36 PST"
item3db592c85b,Papilio polytes romulus 5 females ex-pupae wholesale butterflies for artworks,https://www.ebay.com/itm/265039300699?hash=item3db592c85b:g:SkQAAOSwkztgGvTG,$12.00,"Voronezh, Russian Federation",https://i.ebayimg.com/images/g/SkQAAOSwkztgGvTG/s-l300.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,3,"Apr 06, 2021 12:04:58 PDT"
item3443dd13bf,"UNMOUNTED BUTTERFLIES PAPILIO POLYTES  , NO 1 PAIR.Luzon",https://www.ebay.com/itm/224476861375?hash=item3443dd13bf:g:8Y0AAOSwbEBgsGVL,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/8Y0AAOSwbEBgsGVL/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:34:51 PDT"
item4b96814f92,UNMOUNTED BUTTERFLIES PAPILIO POLYTES  PAIR.Luzon,https://www.ebay.com/itm/324647604114?hash=item4b96814f92:g:7DcAAOSwp2lgiN8T,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/7DcAAOSwp2lgiN8T/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:40:12 PDT"
item3dbcd0ef44,31523p Papilionidae Papilio polytes f  Vietnam,https://www.ebay.com/itm/265160814404?hash=item3dbcd0ef44:g:EcoAAOSwvE9gn4VQ,$12.00,"Krasnoyarsk city, Russian Federation",https://i.ebayimg.com/images/g/EcoAAOSwvE9gn4VQ/s-l300.jpg,fareastinsects,https://www.ebay.com/usr/fareastinsects?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3443cf18d3,"Framed Butterfly,  Papilio polytes alcindor, insect taxidermy",https://www.ebay.com/itm/224475945171?hash=item3443cf18d3:g:rNgAAOSwkEJfoojl,$26.94,"CHELTENHAM, Australia",https://i.ebayimg.com/images/g/rNgAAOSwkEJfoojl/s-l300.jpg,paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b3cdb0694,papilio polytes butterfly framed,https://www.ebay.com/itm/254424057492?hash=item3b3cdb0694:g:n6sAAOSwhYNd0NB0,$19.99,"Diamond Bar, California, United States",https://i.ebayimg.com/images/g/n6sAAOSwhYNd0NB0/s-l300.jpg,juicegol1,https://www.ebay.com/usr/juicegol1?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 16, 2020 20:23:19 PDT"
item48f1e29349,COLLECTION 10 pcs unmounted butterfly papilionidae Papilio polytes polytes CHINA,https://www.ebay.com/itm/313295803209?hash=item48f1e29349:g:wOgAAMXQWlFRnszX,$9.90,"beijing, China",https://i.ebayimg.com/images/g/wOgAAMXQWlFRnszX/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,10,"Jan 07, 2021 03:51:12 PST"
item4b5ec605b7,COLLECTION unmounted butterfly Papilio polytes polytes GUANGXI A1,https://www.ebay.com/itm/323712583095?hash=item4b5ec605b7:g:sZkAAOSwBqZcGQeY,$1.49,"mainland, China",https://i.ebayimg.com/images/g/sZkAAOSwBqZcGQeY/s-l300.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,3,"May 07, 2020 01:10:59 PDT"
item2b0770ab95,Lepidoptera Papilio polytes Male Philippines Is Mindanao,https://www.ebay.com/itm/184808418197?hash=item2b0770ab95:g:Bn0AAOSw2stbj9Ub,$3.00,"Nizhny Novgorod, Russian Federation",https://i.ebayimg.com/images/g/Bn0AAOSw2stbj9Ub/s-l300.jpg,dpotanin,https://www.ebay.com/usr/dpotanin?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item422145fdca,unmounted butterfly Papilio polytes polytes GUANGXI SPRING FORM A1,https://www.ebay.com/itm/284026076618?hash=item422145fdca:g:i9EAAOxyzi9SlaAw,$3.99,"beijing, China",https://i.ebayimg.com/images/g/i9EAAOxyzi9SlaAw/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,9,"Jan 07, 2021 03:18:30 PST"
item41f8fa6551,5 unmounted butterfly Papilio polytes polytes A1- A-,https://www.ebay.com/itm/283350033745?hash=item41f8fa6551:g:v1MAAOxyEjpRmtaq,$6.90,"beijing, China",https://i.ebayimg.com/images/g/v1MAAOxyEjpRmtaq/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 07, 2021 03:37:11 PST"
item3b2de51a61,"Butterfly-Papilionidae -Papilio polytes pasikrates (f) - Luzon,Philippines (PPP)",https://www.ebay.com/itm/254173059681?hash=item3b2de51a61:g:vd4AAOSwvTBZuNYI,$9.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/images/g/vd4AAOSwvTBZuNYI/s-l300.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,2,"May 09, 2021 07:48:11 PDT"
item41f589cc38,50 pcs unmounted butterfly Papilio polytes polytes GUANGXI A1   A1-,https://www.ebay.com/itm/283292322872?hash=item41f589cc38:g:wOgAAMXQWlFRnszX,$39.00,"beijing, China",https://i.ebayimg.com/images/g/wOgAAMXQWlFRnszX/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 07, 2021 03:31:04 PST"
item48f1e28dd3,COLLECTION 5 pcs unmounted butterfly papilionidae Papilio polytes polytes CHINA,https://www.ebay.com/itm/313295801811?hash=item48f1e28dd3:g:wOgAAMXQWlFRnszX,$5.85,"beijing, China",https://i.ebayimg.com/images/g/wOgAAMXQWlFRnszX/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,9,"Jan 07, 2021 03:51:12 PST"
item1a7d6afbc4,"LEPIDOPTERA, PAPILIONIDAE, PAPILIO POLYTES (male) from PHILIPPINES",https://www.ebay.com/itm/113773312964?hash=item1a7d6afbc4:g:TakAAOSw~V5c-HE5,$2.76,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/images/g/TakAAOSw~V5c-HE5/s-l300.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jun 09, 2019 15:26:57 PDT"
item48f151a058,PAIR unmounted butterfly Papilio polytes YUNNAN male A1-   female A1-/A-,https://www.ebay.com/itm/313286303832?hash=item48f151a058:g:jwkAAMXQsMZRlItQ,$9.90,"beijing, China",https://i.ebayimg.com/images/g/jwkAAMXQsMZRlItQ/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,2,"Jan 07, 2021 03:23:40 PST"
item23f6ca9f3b,Laminated Common Mormon Papilio polytes Butterfly Specimen in 110x110 mm Sheet,https://www.ebay.com/itm/154464329531?hash=item23f6ca9f3b:g:9l0AAMXQlgtTA1YC,$9.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/9l0AAMXQlgtTA1YC/s-l300.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item344283bd83,"3 Butterflies Mounted Catopsilia Pomona. Papilio Polytes Romulus, Danaus Genutia",https://www.ebay.com/itm/224454229379?hash=item344283bd83:g:avoAAOSwf2pglfNe,$49.99,"Oakland, California, United States",https://i.ebayimg.com/images/g/avoAAOSwf2pglfNe/s-l300.jpg,sm695915,https://www.ebay.com/usr/sm695915?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23dc05972d,Laminated Common Mormon Papilio polytes Butterfly Specimen in 110x110 mm Sheet,https://www.ebay.com/itm/154015209261?hash=item23dc05972d:g:9l0AAMXQlgtTA1YC,$10.00,"Hong Kong, Hong Kong",https://i.ebayimg.com/images/g/9l0AAMXQlgtTA1YC/s-l300.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 15, 2021 02:09:24 PDT"
item3b53cd0a08,"Unmounted Butterfly/Papilionidae - Papilio polytes romulus, FEMALE, A1/A-",https://www.ebay.com/itm/254809016840?hash=item3b53cd0a08:g:VKgAAOSwaPFf2NkE,$3.26,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/images/g/VKgAAOSwaPFf2NkE/s-l300.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
