id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item1a80e2a1b3,"Polydor compilation Popkomm 2000 Ronan Keating, Björk, 5 Club 7, Leona na... [CD]",https://www.ebay.com/itm/113831485875?hash=item1a80e2a1b3:g:rFIAAOSwNaBdOllr,$3.64,"13088, Germany",https://i.ebayimg.com/images/g/rFIAAOSwNaBdOllr/s-l300.jpg,funrecords2,https://www.ebay.com/usr/funrecords2?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 07:42:07 PDT"
item2d324708be,Stephen Douglas Design Leona,https://www.ebay.com/itm/194117044414?hash=item2d324708be:g:bG8AAOSwro5gmSg2,$181.24,"Japan, Japan",https://i.ebayimg.com/images/g/bG8AAOSwro5gmSg2/s-l300.jpg,k.mocio,https://www.ebay.com/usr/k.mocio?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item26625b1060,Leona,https://www.ebay.com/itm/164858892384?hash=item26625b1060:g:zNAAAOSwbytgmWi1,$63.95,"Japan, Japan",https://i.ebayimg.com/images/g/zNAAAOSwbytgmWi1/s-l300.jpg,k-tradings-jp,https://www.ebay.com/usr/k-tradings-jp?_trksid=p2047675.l2559,Instant,0,0,1,"May 22, 2021 06:54:25 PDT"
item524bcfcc47,Twisted Wonderland Can Badge Leona,https://www.ebay.com/itm/353459227719?hash=item524bcfcc47:g:nTgAAOSw~69gecOD,$25.64,"Japan, Japan",https://i.ebayimg.com/images/g/nTgAAOSw~69gecOD/s-l300.jpg,naoki_japan,https://www.ebay.com/usr/naoki_japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 02, 2021 10:11:57 PDT"
item524de584cb,Twisted Wonderland Extra Experimental Wear Mascot Savannah Claw Dormitory Leona,https://www.ebay.com/itm/353494205643?hash=item524de584cb:g:uGAAAOSwcMJgnXTi,$52.24,"Japan, Japan",https://i.ebayimg.com/images/g/uGAAAOSwcMJgnXTi/s-l300.jpg,naoki_japan,https://www.ebay.com/usr/naoki_japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 13, 2021 11:55:03 PDT"
item524de584e9,Twisted Wonderland Extra Athletic Wear Mascot Savannah Claw Dormitory Leona,https://www.ebay.com/itm/353494205673?hash=item524de584e9:g:Qg4AAOSwTtFgnXTj,$50.44,"Japan, Japan",https://i.ebayimg.com/images/g/Qg4AAOSwTtFgnXTj/s-l300.jpg,naoki_japan,https://www.ebay.com/usr/naoki_japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 13, 2021 11:55:06 PDT"
item524de58508,Twisted Wonderland Extra Athletic Wear Plush Toy Savannah Claw Dormitory Leona,https://www.ebay.com/itm/353494205704?hash=item524de58508:g:yzYAAOSwTVRgnXTk,$53.25,"Japan, Japan",https://i.ebayimg.com/images/g/yzYAAOSwTVRgnXTk/s-l300.jpg,naoki_japan,https://www.ebay.com/usr/naoki_japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 13, 2021 11:55:04 PDT"
item4dc315af52,Twiste Twisted Wonderland Wafer Leona,https://www.ebay.com/itm/333985460050?hash=item4dc315af52:g:zIsAAOSwFztgjveL,$428.90,"Japan, Japan",https://i.ebayimg.com/images/g/zIsAAOSwFztgjveL/s-l300.jpg,nakameshi,https://www.ebay.com/usr/nakameshi?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1d09eb34a6,Dragon Quest Die'S Great Adventure Medal Charm Magnet Badge Leona,https://www.ebay.com/itm/124720460966?hash=item1d09eb34a6:g:z0QAAOSwACNgm3So,$60.00,"Japan, Japan",https://i.ebayimg.com/images/g/z0QAAOSwACNgm3So/s-l300.jpg,ebroro,https://www.ebay.com/usr/ebroro?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item524ecfec9b,Stephen Douglas Design Leona,https://www.ebay.com/itm/353509567643?hash=item524ecfec9b:g:QXcAAOSwIrVgrTMO,$322.99,"Japan, Japan",https://i.ebayimg.com/images/g/QXcAAOSwIrVgrTMO/s-l300.jpg,frankincense_ltd,https://www.ebay.com/usr/frankincense_ltd?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item447f73d8be,Anime Treca Character Card Disney Twisted-Wonderland Wafer 2542361 06 Leona,https://www.ebay.com/itm/294196074686?hash=item447f73d8be:g:eHsAAOSwDtlgrtc7,$39.72,"Japan, Japan",https://i.ebayimg.com/images/g/eHsAAOSwDtlgrtc7/s-l300.jpg,asap-japan,https://www.ebay.com/usr/asap-japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 26, 2021 18:22:43 PDT"
item447f73d946,Anime Treca Character Card Disney Twisted-Wonderland Wafer 2527202 No.06 Leona,https://www.ebay.com/itm/294196074822?hash=item447f73d946:g:Pa4AAOSwQL9grtc8,$40.56,"Japan, Japan",https://i.ebayimg.com/images/g/Pa4AAOSwQL9grtc8/s-l300.jpg,asap-japan,https://www.ebay.com/usr/asap-japan?_trksid=p2047675.l2559,Instant,0,0,1,"May 26, 2021 17:50:15 PDT"
item4dc315ae83,Twisted Wonderland Twiste Goods Leona,https://www.ebay.com/itm/333985459843?hash=item4dc315ae83:g:4fgAAOSwNnZgjveJ,$320.02,"Japan, Japan",https://i.ebayimg.com/images/g/4fgAAOSwNnZgjveJ/s-l300.jpg,nakameshi,https://www.ebay.com/usr/nakameshi?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2661f25c25,Disney Twisted Wonderland Acrylic Charms Raggy Leona,https://www.ebay.com/itm/164852030501?hash=item2661f25c25:g:m0wAAOSw5cJgk1Gn,$41.32,"Japan, Japan",https://i.ebayimg.com/images/g/m0wAAOSw5cJgk1Gn/s-l300.jpg,omiyage-japan634,https://www.ebay.com/usr/omiyage-japan634?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b5802f608,Twiste Clear Visual Posters Cards Savannah Claw Dormitory Leona,https://www.ebay.com/itm/254879659528?hash=item3b5802f608:g:zcYAAOSwcKtgNy7X,$45.66,"Japan, Japan",https://i.ebayimg.com/images/g/zcYAAOSwcKtgNy7X/s-l300.jpg,tenkaren_japan,https://www.ebay.com/usr/tenkaren_japan?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item21871b471b,Twiste A5 Double Clear File Collection Leona,https://www.ebay.com/itm/144000632603?hash=item21871b471b:g:6wAAAOSwjq5gbVFD,$39.51,"Japan, Japan",https://i.ebayimg.com/images/g/6wAAAOSwjq5gbVFD/s-l300.jpg,japan_for_otaku,https://www.ebay.com/usr/japan_for_otaku?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 07, 2021 07:53:33 PDT"
item4dc315ae04,Twiste Cap Cans Azul Jade Floyd Riddle Epel Ace Leona,https://www.ebay.com/itm/333985459716?hash=item4dc315ae04:g:VK4AAOSwXG9gjveH,$242.08,"Japan, Japan",https://i.ebayimg.com/images/g/VK4AAOSwXG9gjveH/s-l300.jpg,nakameshi,https://www.ebay.com/usr/nakameshi?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2b0807c18a,Twisted Wonderland Twiste Wafer Card Metal Leona,https://www.ebay.com/itm/184818319754?hash=item2b0807c18a:g:fnYAAOSwSXJgk2DM,$154.75,"Japan, Japan",https://i.ebayimg.com/images/g/fnYAAOSwSXJgk2DM/s-l300.jpg,onihasotof_59,https://www.ebay.com/usr/onihasotof_59?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 00:29:27 PDT"
