id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item367b7f88bb,Yellow Wild Indigo (Baptisia tinctoria) Plug Seedlings 5-Pack,https://www.ebay.com/itm/234000189627?hash=item367b7f88bb:g:4a4AAOSwVxBglgv2,$10.00,"Perkasie, Pennsylvania, United States",https://i.ebayimg.com/images/g/4a4AAOSwVxBglgv2/s-l300.jpg,conservation-seedlings,https://www.ebay.com/usr/conservation-seedlings?_trksid=p2047675.l2559,Instant,0,0,3,"May 08, 2021 13:14:13 PDT"
item3b45a33801,Wild Indigo (Baptisia Tinctoria) Dried Root Liquid Extract,https://www.ebay.com/itm/254571395073?hash=item3b45a33801:g:RekAAOSwRHlemQkB,$97.95,"Honolulu, Hawaii, United States",https://i.ebayimg.com/images/g/RekAAOSwRHlemQkB/s-l300.jpg,fastshippingstore-us,https://www.ebay.com/usr/fastshippingstore-us?_trksid=p2047675.l2559,Instant,0,0,2,"Mar 14, 2021 01:42:33 PST"
item3ff66cb44b,Wild Indigo (Baptisia Tinctoria) Tincture. Alcohol-Based. Hawaii Pharm.,https://www.ebay.com/itm/274717258827?hash=item3ff66cb44b:g:UOoAAOSwAblgS09w,$19.95,"Honolulu, Hawaii, United States",https://i.ebayimg.com/images/g/UOoAAOSwAblgS09w/s-l300.jpg,hawaii-pharm,https://www.ebay.com/usr/hawaii-pharm?_trksid=p2047675.l2559,Instant,0,0,1,"May 21, 2021 18:15:09 PDT"
item5dbde71ecd,Willmar Schwabe Baptisia Tinctoria 1X Tablets (20g),https://www.ebay.com/itm/402617999053?hash=item5dbde71ecd:g:F5oAAOSw7GVfy28q,$14.99,"Fairview, New Jersey, United States",https://i.ebayimg.com/images/g/F5oAAOSw7GVfy28q/s-l300.jpg,retailbusiness,https://www.ebay.com/usr/retailbusiness?_trksid=p2047675.l2559,Instant,0,0,1,"May 29, 2021 04:48:57 PDT"
item596082665e,Baptisia Tinctoria 30 C MD Boiron 80 Pellet,https://www.ebay.com/itm/383871247966?hash=item596082665e:g:lLQAAOSwkT5gVGUt,$9.48,"Woodinville, Washington, United States",https://i.ebayimg.com/images/g/lLQAAOSwkT5gVGUt/s-l300.jpg,vitaminlife,https://www.ebay.com/usr/vitaminlife?_trksid=p2047675.l2559,Instant,0,0,2,"May 01, 2021 00:09:07 PDT"
item342662384f,"Wild Indigo (Baptisia Tinctoria) Tincture, Dried Roots Liquid Extract",https://www.ebay.com/itm/223982270543?hash=item342662384f:g:BcwAAOSwKgxem~Yj,$299.95,"Honolulu, Hawaii, United States",https://i.ebayimg.com/images/g/BcwAAOSwKgxem~Yj/s-l300.jpg,herbalterra,https://www.ebay.com/usr/herbalterra?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 14, 2021 01:52:17 PST"
item2636d123a1,"BAPTISIA TINCTORIA 6c, 30c, 200C HOMEOPATHY/HOMEOPATHIC REMEDY - 300 pillules",https://www.ebay.com/itm/164128433057?hash=item2636d123a1:g:wmsAAOSwuIRdSq76,$6.37,"Truro, United Kingdom",https://i.ebayimg.com/images/g/wmsAAOSwuIRdSq76/s-l300.jpg,stellar-homeopathics,https://www.ebay.com/usr/stellar-homeopathics?_trksid=p2047675.l2559,Instant,0,0,5,"Sep 17, 2020 23:55:42 PDT"
item524f071d8e,Dr. Reckeweg Baptisia Tinctoria Mother Tincture Q 20 ML Free ship,https://www.ebay.com/itm/353513184654?hash=item524f071d8e:g:QQgAAOSwd9pgsODv,$14.99,"Ambala, HARYANA, India",https://i.ebayimg.com/images/g/QQgAAOSwd9pgsODv/s-l300.jpg,amazing_deals23,https://www.ebay.com/usr/amazing_deals23?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item56da03c73c,SBL Homeopathy Baptisia Tinctoria Mother Tincture Q (30 ML),https://www.ebay.com/itm/373024868156?hash=item56da03c73c:g:7d0AAOSwKY9empzX,$12.99,"MUMBAI, MAHARASHTRA, India",https://i.ebayimg.com/images/g/7d0AAOSwKY9empzX/s-l300.jpg,curepeak,https://www.ebay.com/usr/curepeak?_trksid=p2047675.l2559,Instant,0,0,1,"May 04, 2021 21:05:39 PDT"
item3db2341131,Dr. Reckeweg Baptisia Tinctoria Dilution Homeopathic Drops All CH,https://www.ebay.com/itm/264982761777?hash=item3db2341131:g:rzUAAOSw-Wdf3kGP,$6.30,"PANIPAT, HARYANA, India",https://i.ebayimg.com/images/g/rzUAAOSw-Wdf3kGP/s-l300.jpg,herbaluniverse,https://www.ebay.com/usr/herbaluniverse?_trksid=p2047675.l2559,Instant,0,0,3,"May 26, 2021 07:45:15 PDT"
item1abb901d3f,SBL Baptisia Tinctoria 1X (Q) (30ml),https://www.ebay.com/itm/114815933759?hash=item1abb901d3f:g:9e0AAOSw8-VgSIUF,$12.65,"DELHI, DELHI, India",https://i.ebayimg.com/images/g/9e0AAOSw8-VgSIUF/s-l300.jpg,magicsale7,https://www.ebay.com/usr/magicsale7?_trksid=p2047675.l2559,Instant,0,0,5,"May 28, 2021 05:17:13 PDT"
item263afcd2ec,ADEL Baptisia Tinctoria Mother Tincture Q 20 ml,https://www.ebay.com/itm/164198404844?hash=item263afcd2ec:g:kREAAOSwCMVbyt-L,$11.12,"DELHI, DELHI, India",https://i.ebayimg.com/images/g/kREAAOSwCMVbyt-L/s-l300.jpg,homeohome,https://www.ebay.com/usr/homeohome?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 21, 2021 23:01:30 PST"
item5b6b120863,Dr. Reckeweg Baptisia Tinctoria Mother Tincture Q,https://www.ebay.com/itm/392638367843?hash=item5b6b120863:g:GdMAAOSwbRldPAtq,$17.95,"GURGAON, HARYANA, India",https://i.ebayimg.com/images/g/GdMAAOSwbRldPAtq/s-l300.jpg,jingle_mingle,https://www.ebay.com/usr/jingle_mingle?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 20, 2021 04:55:38 PST"
item3b59cc911b,Dr. Reckeweg Baptisia Tinctoria Dilution 6 CH,https://www.ebay.com/itm/254909649179?hash=item3b59cc911b:g:TUgAAOSwxMBgVZ0W,$12.99,"Ambala, HARYANA, India",https://i.ebayimg.com/images/g/TUgAAOSwxMBgVZ0W/s-l300.jpg,gaurishankar84,https://www.ebay.com/usr/gaurishankar84?_trksid=p2047675.l2559,Instant,0,0,1,"May 25, 2021 08:00:29 PDT"
item3b338ef502,Baptisia Tinctoria Homeopathy Mother Tinctures / Creams,https://www.ebay.com/itm/254268077314?hash=item3b338ef502:g:UiUAAOSwpUVdCReP,$14.11,"Brierley Hill, United Kingdom",https://i.ebayimg.com/images/g/UiUAAOSwpUVdCReP/s-l300.jpg,herbalhealthnaturally,https://www.ebay.com/usr/herbalhealthnaturally?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 18, 2021 08:58:46 PST"
item3dab696494,SBL Baptisia Tinctoria Mother Tincture Q Homeopathic Drops Homeopathy,https://www.ebay.com/itm/264868816020?hash=item3dab696494:g:CbkAAOSwjahfY5pw,$10.48,"PANIPAT, HARYANA, India",https://i.ebayimg.com/images/g/CbkAAOSwjahfY5pw/s-l300.jpg,herbaluniverse,https://www.ebay.com/usr/herbaluniverse?_trksid=p2047675.l2559,Instant,0,0,3,"May 26, 2021 07:45:00 PDT"
