id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item421d72042a,"Cithaerias aurorina  A1 PINK Male & Female PAIR , FOLDED - PERU",https://www.ebay.com/itm/283961852970?hash=item421d72042a:g:C1sAAOSwWGJdt034,$11.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/C1sAAOSwWGJdt034/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,8 lots (2 items per lot),Unknown
item2aec33cf61,LOT OF 5 CITHAERIAS AURORINA  A1 UNMOUNTED WINGS CLOSED IQUITOS-PERU,https://www.ebay.com/itm/184351444833?hash=item2aec33cf61:g:HY0AAOSwFz9eWrbc,$40.00,"Miami, Florida, United States",https://i.ebayimg.com/images/g/HY0AAOSwFz9eWrbc/s-l300.jpg,eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Instant,0,0,4,"Aug 26, 2020 15:57:54 PDT"
item2ae2ae0a4d,LOT OF 10 CITHAERIAS AURORINA  A1 UNMOUNTED WINGS CLOSED IQUITOS-PERU,https://www.ebay.com/itm/184191683149?hash=item2ae2ae0a4d:g:HY0AAOSwFz9eWrbc,$65.00,"Miami, Florida, United States",https://i.ebayimg.com/images/g/HY0AAOSwFz9eWrbc/s-l300.jpg,eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 26, 2020 15:54:17 PDT"
item4231bc84a3,"Cithaerias aurorina 6 Pairs, MOUNTED, ACTUAL SPECIMENS",https://www.ebay.com/itm/284302279843?hash=item4231bc84a3:g:wJIAAOSw2eFgVigV,$120.00,"Frydek-Mistek, Czech Republic",https://i.ebayimg.com/images/g/wJIAAOSw2eFgVigV/s-l300.jpg,wingshape,https://www.ebay.com/usr/wingshape?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b5cd67df6,Transparent butterfly Cithaerias aurorina 5pcs wholesale for entomology artwork,https://www.ebay.com/itm/254960631286?hash=item3b5cd67df6:g:~X4AAOSw-6xghGuP,$25.00,"Voronezh, Russian Federation",https://i.ebayimg.com/images/g/~X4AAOSw-6xghGuP/s-l300.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,5,Unknown
item420b475cba,"Cithaerias aurorina 5 A1 DAYGLO PINK SPECIMENS , FOLDED - PERU",https://www.ebay.com/itm/283657067706?hash=item420b475cba:g:C1sAAOSwWGJdt034,$29.95,"Commack, New York, United States",https://i.ebayimg.com/images/g/C1sAAOSwWGJdt034/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,2 lots (5 items per lot),"Oct 14, 2020 05:28:29 PDT"
item3b08aae208,"REAL BUTTERFLIES CITHAERIAS PIRETA, HAETERA PIERA & CITHAERIAS AURORINA, FRAMED",https://www.ebay.com/itm/253548487176?hash=item3b08aae208:g:B3UAAOSwIzBayiFR,$99.00,"Montana, United States",https://i.ebayimg.com/images/g/B3UAAOSwIzBayiFR/s-l300.jpg,qualityauctions2018,https://www.ebay.com/usr/qualityauctions2018?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 16, 2019 10:14:10 PDT"
item447f612f22,Cithaerias aurorina  from Perou,https://www.ebay.com/itm/294194851618?hash=item447f612f22:g:33AAAOSw-mFgqLyL,$8.53,"Montigny - le - Tilleul, Belgium",https://i.ebayimg.com/images/g/33AAAOSw-mFgqLyL/s-l300.jpg,africanentomology,https://www.ebay.com/usr/africanentomology?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item2f5ffab931,Cithaerias aurorina Butterfly FOLDED REAL Insect Unmounted,https://www.ebay.com/itm/203473729841?hash=item2f5ffab931:g:tHIAAOSw9ydgrvhh,$6.50,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/images/g/tHIAAOSw9ydgrvhh/s-l300.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item1f1e4504a8,Cithaerias aurorina & Haetera piera - Real Butterflies in Handmade Museum Frame,https://www.ebay.com/itm/133651825832?hash=item1f1e4504a8:g:YEkAAOSw~-dfMlA1,$68.06,"Monmouth, United Kingdom",https://i.ebayimg.com/images/g/YEkAAOSw~-dfMlA1/s-l300.jpg,juancarlos2nd,https://www.ebay.com/usr/juancarlos2nd?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item420b4791bc,"Cithaerias aurorina 2 A1 DAYGLO PINK SPECIMENS , FOLDED - PERU",https://www.ebay.com/itm/283657081276?hash=item420b4791bc:g:C1sAAOSwWGJdt034,$12.50,"Commack, New York, United States",https://i.ebayimg.com/images/g/C1sAAOSwWGJdt034/s-l300.png,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,8 lots (2 items per lot),Unknown
