id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item56fbe1c0f7,Euploea mulciber ssp dufresne (male) from Camguin Island,https://www.ebay.com/itm/373593063671?hash=item56fbe1c0f7:g:mSkAAOSwH69grihm,$7.08,"Pershore, United Kingdom",https://i.ebayimg.com/images/g/mSkAAOSwH69grihm/s-l300.jpg,julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item42324ebdf2,Euploea blossomae tamaraw Mindoro Philippines,https://www.ebay.com/itm/284311862770?hash=item42324ebdf2:g:YeYAAOSw-tdgmSoO,$6.00,"Monor, Hungary",https://i.ebayimg.com/images/g/YeYAAOSw-tdgmSoO/s-l300.jpg,kerik-74,https://www.ebay.com/usr/kerik-74?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4231b6c2ea,Euploea blossomae tamaraw Mindoro Philippines folded similar,https://www.ebay.com/itm/284301902570?hash=item4231b6c2ea:g:MdgAAOSwCl5gnO9H,$5.00,"Monor, Hungary",https://i.ebayimg.com/images/g/MdgAAOSwCl5gnO9H/s-l300.jpg,kerik-74,https://www.ebay.com/usr/kerik-74?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item56fbe1c676,Euploea climene eurypon (female) from Aru Island,https://www.ebay.com/itm/373593065078?hash=item56fbe1c676:g:2eYAAOSwkW9grikk,$7.08,"Pershore, United Kingdom",https://i.ebayimg.com/images/g/2eYAAOSwkW9grikk/s-l300.jpg,julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item48f68ace0a,Danaidae. 9 x Euploea algea algea. Buru Is,https://www.ebay.com/itm/313373937162?hash=item48f68ace0a:g:2OYAAOSwMlNf-Eeh,$10.00,"Jakarta, Indonesia",https://i.ebayimg.com/images/g/2OYAAOSwMlNf-Eeh/s-l300.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 12, 2021 19:52:28 PST"
item4b96810c57,UNMOUNTED BUTTERFLY EUPLOEA BLOSSOMAE TAMARAW 1 PC,https://www.ebay.com/itm/324647586903?hash=item4b96810c57:g:X9gAAOSwq0pggOo~,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/X9gAAOSwq0pggOo~/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:35:22 PDT"
item4b96814f9d,UNMOUNTED BUTTERFLY EUPLOEA MULCIBER PAIR,https://www.ebay.com/itm/324647604125?hash=item4b96814f9d:g:tEYAAOSw8HdgkMcK,$3.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/tEYAAOSw8HdgkMcK/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:39:56 PDT"
item3443dd9bcf,UNMOUNTED BUTTERFLY EUPLOEA MULCIBER 1 PC,https://www.ebay.com/itm/224476896207?hash=item3443dd9bcf:g:j3sAAOSwoyFgUWxw,$1.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/j3sAAOSwoyFgUWxw/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:38:28 PDT"
item4b96814f97,UNMOUNTED BUTTERFLY EUPLOEA BLOSSOMAE BLOSSOMAE 1 PC,https://www.ebay.com/itm/324647604119?hash=item4b96814f97:g:3ZcAAOSwae9gaTXH,$2.99,"pattaya, chonburi, Thailand",https://i.ebayimg.com/images/g/3ZcAAOSwae9gaTXH/s-l300.jpg,wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,0,0,1,"May 27, 2021 22:40:05 PDT"
item56fbe1c215,Euploea mulciber ssp dufresne (female) from Camguin Island,https://www.ebay.com/itm/373593063957?hash=item56fbe1c215:g:TSoAAOSwcQtgrijA,$7.08,"Pershore, United Kingdom",https://i.ebayimg.com/images/g/TSoAAOSwcQtgrijA/s-l300.jpg,julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
