id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item23f4d3a8ec,Hoya Australis 'Lisa' Variegated Wax Starter Plant Succulent,https://www.ebay.com/itm/154431367404?hash=item23f4d3a8ec:g:pSQAAOSwea5giLUq,$25.00,"California, United States",https://i.ebayimg.com/images/g/pSQAAOSwea5giLUq/s-l300.jpg,plants_paradise,https://www.ebay.com/usr/plants_paradise?_trksid=p2047675.l2559,Instant,0,0,6,"May 20, 2021 13:42:53 PDT"
item2d34139a31,"Hoya australis v. tenuipes, wax plant",https://www.ebay.com/itm/194147228209?hash=item2d34139a31:g:dWcAAOSwgExgqC2K,$29.99,"Hallandale, Florida, United States",https://i.ebayimg.com/images/g/dWcAAOSwgExgqC2K/s-l300.jpg,yellowgreen2u,https://www.ebay.com/usr/yellowgreen2u?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item3b5e85d21d,Hoya australis Lisa 2 rooted cuttings #B,https://www.ebay.com/itm/254988898845?hash=item3b5e85d21d:g:ExMAAOSwwVpgqaSO,$24.99,"Ozark, Arkansas, United States",https://i.ebayimg.com/images/g/ExMAAOSwwVpgqaSO/s-l300.jpg,eagletactical1,https://www.ebay.com/usr/eagletactical1?_trksid=p2047675.l2559,Instant,0,0,1,"May 22, 2021 18:18:37 PDT"
item1d0b5c7706,"Hoya Australis - Live Plant in 4"" Nursery Pot",https://www.ebay.com/itm/124744660742?hash=item1d0b5c7706:g:Jd4AAOSwXdJgn3B~,$16.50,"Vista, California, United States",https://i.ebayimg.com/images/g/Jd4AAOSwXdJgn3B~/s-l300.jpg,greenacresvista,https://www.ebay.com/usr/greenacresvista?_trksid=p2047675.l2559,Instant,0,0,6,Unknown
item2d14194bf1,FlowerPotNursery Waxvine Waxflower Hoya australis 4” Pot,https://www.ebay.com/itm/193610730481?hash=item2d14194bf1:g:P3cAAOSw~-dfKHAM,$8.99,"Loranger, Louisiana, United States",https://i.ebayimg.com/images/g/P3cAAOSw~-dfKHAM/s-l300.jpg,theflowerpotnursery,https://www.ebay.com/usr/theflowerpotnursery?_trksid=p2047675.l2559,Instant,0,0,21,"May 30, 2021 06:30:46 PDT"
item3b5e85c77e,Hoya australis Lisa 2 rooted cuttings #C,https://www.ebay.com/itm/254988896126?hash=item3b5e85c77e:g:3RgAAOSwxKhgqaOx,$24.99,"Ozark, Arkansas, United States",https://i.ebayimg.com/images/g/3RgAAOSwxKhgqaOx/s-l300.jpg,eagletactical1,https://www.ebay.com/usr/eagletactical1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3443707c94,Hoya Australis Lisa Variegated Australis -A,https://www.ebay.com/itm/224469744788?hash=item3443707c94:g:OjEAAOSwtbNgqAKo,$60.00,"Port Saint Lucie, Florida, United States",https://i.ebayimg.com/images/g/OjEAAOSwtbNgqAKo/s-l300.jpg,jessam-58,https://www.ebay.com/usr/jessam-58?_trksid=p2047675.l2559,Instant,0,0,1,"May 21, 2021 20:07:57 PDT"
item4b915dc572,Hoya australis,https://www.ebay.com/itm/324561388914?hash=item4b915dc572:g:d8sAAOSwbPVdPcBS,$15.00,"Lajas, Puerto Rico, United States",https://i.ebayimg.com/images/g/d8sAAOSwbPVdPcBS/s-l300.jpg,lgandy52,https://www.ebay.com/usr/lgandy52?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item2d302bfc95,Hoya Australis Waxvine Trailing Plant,https://www.ebay.com/itm/194081717397?hash=item2d302bfc95:g:B8wAAOSwKZBgjFzG,$7.95,"Newberry Springs, California, United States",https://i.ebayimg.com/images/g/B8wAAOSwKZBgjFzG/s-l300.jpg,sheilscal_0,https://www.ebay.com/usr/sheilscal_0?_trksid=p2047675.l2559,Instant,0,0,Last one,Unknown
item56fb526cbc,Hoya australis ssp 'Rupicola '   ( pic #2-4 for sale),https://www.ebay.com/itm/373583670460?hash=item56fb526cbc:g:HD8AAOSwGOtgQYLX,$49.00,"Wailuku, Hawaii, United States",https://i.ebayimg.com/images/g/HD8AAOSwGOtgQYLX/s-l300.jpg,pearllassie,https://www.ebay.com/usr/pearllassie?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1d0aaa032c,Variegated Hoya Australis Lisa. With Roots🐞,https://www.ebay.com/itm/124732965676?hash=item1d0aaa032c:g:TsAAAOSwTpZgnUJ~,$26.99,"Pasadena, Texas, United States",https://i.ebayimg.com/images/g/TsAAAOSwTpZgnUJ~/s-l300.jpg,valesnchz_8,https://www.ebay.com/usr/valesnchz_8?_trksid=p2047675.l2559,Instant,0,0,2,"May 27, 2021 16:33:13 PDT"
item3443703e74,Hoya Australis Lisa Variegated Australis -D,https://www.ebay.com/itm/224469728884?hash=item3443703e74:g:Kv4AAOSwa3lgp~8l,$60.00,"Port Saint Lucie, Florida, United States",https://i.ebayimg.com/images/g/Kv4AAOSwa3lgp~8l/s-l300.jpg,jessam-58,https://www.ebay.com/usr/jessam-58?_trksid=p2047675.l2559,Instant,0,0,1,"May 21, 2021 20:08:47 PDT"
item2d3413ad34,"Hoya australis, wax plant",https://www.ebay.com/itm/194147233076?hash=item2d3413ad34:g:lqEAAOSwChtgqDHh,$29.99,"Hallandale, Florida, United States",https://i.ebayimg.com/images/g/lqEAAOSwChtgqDHh/s-l300.jpg,yellowgreen2u,https://www.ebay.com/usr/yellowgreen2u?_trksid=p2047675.l2559,Instant,0,0,3,"May 21, 2021 15:20:07 PDT"
item59730374de,"Hoya australis v. rupicola, wax plant",https://www.ebay.com/itm/384181695710?hash=item59730374de:g:2vcAAOSwnVdgqmUm,$25.00,"Lompoc, California, United States",https://i.ebayimg.com/images/g/2vcAAOSwnVdgqmUm/s-l300.jpg,nadingiammatte_0,https://www.ebay.com/usr/nadingiammatte_0?_trksid=p2047675.l2559,Instant,0,0,3,"May 25, 2021 05:16:57 PDT"
item1d0847ffc9,"HOYA AUSTRALIS SSP. KEYSII,  ROOTED PLANTS SHIPPED IN 2 Inch Pot",https://www.ebay.com/itm/124692987849?hash=item1d0847ffc9:g:2f8AAOSwe99ggZsz,$12.00,"Harrisburg, Pennsylvania, United States",https://i.ebayimg.com/images/g/2f8AAOSwe99ggZsz/s-l300.jpg,noramli76,https://www.ebay.com/usr/noramli76?_trksid=p2047675.l2559,Instant,0,0,2,"Apr 27, 2021 01:47:40 PDT"
item4b93573631,Hoya Australis variegated,https://www.ebay.com/itm/324594513457?hash=item4b93573631:g:PZAAAOSwXxJgiPvU,$20.00,"Houston, Texas, United States",https://i.ebayimg.com/images/g/PZAAAOSwXxJgiPvU/s-l300.jpg,batz39,https://www.ebay.com/usr/batz39?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46c5a37cad,Hoya Australis Lisa Variegated Australis -E,https://www.ebay.com/itm/303963536557?hash=item46c5a37cad:g:5KEAAOSw5PNgeh8l,$44.99,"Garden Grove, California, United States",https://i.ebayimg.com/images/g/5KEAAOSw5PNgeh8l/s-l300.jpg,beautiflorist,https://www.ebay.com/usr/beautiflorist?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item26609a9c34,Hoya australis - 2.5”,https://www.ebay.com/itm/164829502516?hash=item26609a9c34:g:i0YAAOSwG0xggzo2,$8.95,"Lakeside, California, United States",https://i.ebayimg.com/images/g/i0YAAOSwG0xggzo2/s-l300.jpg,zensability,https://www.ebay.com/usr/zensability?_trksid=p2047675.l2559,Instant,0,0,3,"May 17, 2021 12:59:22 PDT"
item1d0b0ebc3b,Hoya Australis Lisa Var. 5rooted Cuttings In 4 Pot( Not For CA),https://www.ebay.com/itm/124739566651?hash=item1d0b0ebc3b:g:nx0AAOSwsfpf7J-W,$68.00,"Lexington, South Carolina, United States",https://i.ebayimg.com/images/g/nx0AAOSwsfpf7J-W/s-l300.jpg,lada.tropical.plants,https://www.ebay.com/usr/lada.tropical.plants?_trksid=p2047675.l2559,Instant,0,0,4,"May 26, 2021 05:51:46 PDT"
item524cac3469,Hoya Australis,https://www.ebay.com/itm/353473672297?hash=item524cac3469:g:QooAAOSwuFVgiKlx,$25.00,"San Diego, California, United States",https://i.ebayimg.com/images/g/QooAAOSwuFVgiKlx/s-l300.jpg,curiousplantsbybre,https://www.ebay.com/usr/curiousplantsbybre?_trksid=p2047675.l2559,Instant,0,0,3,"May 06, 2021 08:02:56 PDT"
item46c869556a,Hoya Australis Lisa Variegated Australis -Y,https://www.ebay.com/itm/304010057066?hash=item46c869556a:g:~MgAAOSwjLdgnr7o,$59.99,"Garden Grove, California, United States",https://i.ebayimg.com/images/g/~MgAAOSwjLdgnr7o/s-l300.jpg,beautiflorist,https://www.ebay.com/usr/beautiflorist?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b5f0ce9d3,Hoya australis variegated RARE,https://www.ebay.com/itm/254997752275?hash=item3b5f0ce9d3:g:~6MAAOSwdctgsoJf,$125.00,"Little Ferry, New Jersey, United States",https://i.ebayimg.com/images/g/~6MAAOSwdctgsoJf/s-l300.jpg,ssal_p_4eraz4xkq,https://www.ebay.com/usr/ssal_p_4eraz4xkq?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item447ea7ab77,Hoya Australis -A,https://www.ebay.com/itm/294182693751?hash=item447ea7ab77:g:i8kAAOSw8YBgpEiy,$44.99,"Garden Grove, California, United States",https://i.ebayimg.com/images/g/i8kAAOSw8YBgpEiy/s-l300.jpg,beautiflorist,https://www.ebay.com/usr/beautiflorist?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4dc3eb2ae3,C3831 RARE Hoya Australis Variegated Lisa Cutting No Roots🌱💕,https://www.ebay.com/itm/333999450851?hash=item4dc3eb2ae3:g:u9AAAOSwqFJgnKOw,$19.99,"Hockley, Texas, United States",https://i.ebayimg.com/images/g/u9AAAOSwqFJgnKOw/s-l300.jpg,thequintco,https://www.ebay.com/usr/thequintco?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item367ba3265d,Rare Hoya Australis Lisa Variegated Rooted Plant C1,https://www.ebay.com/itm/234002523741?hash=item367ba3265d:g:CEsAAOSwVZVgo0Nf,$45.00,"Irvine, California, United States",https://i.ebayimg.com/images/g/CEsAAOSwVZVgo0Nf/s-l300.jpg,the_plantista,https://www.ebay.com/usr/the_plantista?_trksid=p2047675.l2559,Instant,0,0,1,"May 17, 2021 21:32:44 PDT"
item3ffb076a9d,"Hoya Australis ""Lisa"" - Variegated Hoya -  Well Rooted Plant",https://www.ebay.com/itm/274794506909?hash=item3ffb076a9d:g:hZUAAOSwna5gm0Ry,$50.00,"Simi Valley, California, United States",https://i.ebayimg.com/images/g/hZUAAOSwna5gm0Ry/s-l300.jpg,paintedleaves.plantstore,https://www.ebay.com/usr/paintedleaves.plantstore?_trksid=p2047675.l2559,Instant,0,0,1,"May 12, 2021 13:17:46 PDT"
item28b1ad9b6d,"Variegated Hoya Australis ""Lisa""-6"" Hanging Pot",https://www.ebay.com/itm/174779636589?hash=item28b1ad9b6d:g:Ny0AAOSwqUVgq1s9,$79.99,"Romulus, Michigan, United States",https://i.ebayimg.com/images/g/Ny0AAOSwqUVgq1s9/s-l300.jpg,khanlivin_7,https://www.ebay.com/usr/khanlivin_7?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item3443704d1b,Hoya Australis Lisa Variegated Australis -B,https://www.ebay.com/itm/224469732635?hash=item3443704d1b:g:mCoAAOSwts5gqATb,$60.00,"Port Saint Lucie, Florida, United States",https://i.ebayimg.com/images/g/mCoAAOSwts5gqATb/s-l300.jpg,jessam-58,https://www.ebay.com/usr/jessam-58?_trksid=p2047675.l2559,Instant,0,0,1,"May 21, 2021 20:07:35 PDT"
item595a678a9d,"Hoya australis (True Form),  ROOTED PLANT SHIPPED IN 2.5"" POT",https://www.ebay.com/itm/383768824477?hash=item595a678a9d:g:5McAAOSwyv9fisJg,$25.95,"Marianna, Florida, United States",https://i.ebayimg.com/images/g/5McAAOSwyv9fisJg/s-l300.jpg,cowboyflowerman,https://www.ebay.com/usr/cowboyflowerman?_trksid=p2047675.l2559,Instant,0,0,2,"Dec 06, 2020 03:18:38 PST"
item367055be93,Hoya Australis  plant,https://www.ebay.com/itm/233812901523?hash=item367055be93:g:KMkAAOSwNoVfNEg-,$20.99,"Kissimmee, Florida, United States",https://i.ebayimg.com/images/g/KMkAAOSwNoVfNEg-/s-l300.jpg,dreamweaver0104,https://www.ebay.com/usr/dreamweaver0104?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item34435575f3,"Hoya Australis Lisa - Full 4"" pot",https://www.ebay.com/itm/224467973619?hash=item34435575f3:g:b1sAAOSwVphgpgG7,$44.00,"Goleta, California, United States",https://i.ebayimg.com/images/g/b1sAAOSwVphgpgG7/s-l300.jpg,bplantparadise,https://www.ebay.com/usr/bplantparadise?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 21:15:04 PDT"
item3ffb07564c,"Hoya Australis ""Lisa"" - Variegated Hoya -  Well Rooted Plant",https://www.ebay.com/itm/274794501708?hash=item3ffb07564c:g:SPEAAOSwSr1gm0C2,$45.00,"Simi Valley, California, United States",https://i.ebayimg.com/images/g/SPEAAOSwSr1gm0C2/s-l300.jpg,paintedleaves.plantstore,https://www.ebay.com/usr/paintedleaves.plantstore?_trksid=p2047675.l2559,Instant,0,0,1,"May 27, 2021 13:15:44 PDT"
item46c7a61433,Hoya Australis Lisa Variegated Australis  -Z,https://www.ebay.com/itm/303997260851?hash=item46c7a61433:g:L6MAAOSwlhNgnr9H,$49.99,"Garden Grove, California, United States",https://i.ebayimg.com/images/g/L6MAAOSwlhNgnr9H/s-l300.jpg,beautiflorist,https://www.ebay.com/usr/beautiflorist?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b5f12765d,Hoya australis ssp keysii rooted cutting,https://www.ebay.com/itm/254998115933?hash=item3b5f12765d:g:Z4gAAOSwxslgjym0,$14.99,"Ozark, Arkansas, United States",https://i.ebayimg.com/images/g/Z4gAAOSwxslgjym0/s-l300.jpg,eagletactical1,https://www.ebay.com/usr/eagletactical1?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item3443557823,"Hoya Australis Lisa - Full 4"" pot",https://www.ebay.com/itm/224467974179?hash=item3443557823:g:orkAAOSwWAVgpgH~,$39.00,"Goleta, California, United States",https://i.ebayimg.com/images/g/orkAAOSwWAVgpgH~/s-l300.jpg,bplantparadise,https://www.ebay.com/usr/bplantparadise?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 21:14:46 PDT"
item524f26a654,Hoya Australis 'Lisa' (A),https://www.ebay.com/itm/353515251284?hash=item524f26a654:g:c9oAAOSwaxdgrFuN,$15.00,"San Diego, California, United States",https://i.ebayimg.com/images/g/c9oAAOSwaxdgrFuN/s-l300.jpg,curiousplantsbybre,https://www.ebay.com/usr/curiousplantsbybre?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item1abbefaaec,Hoya Australis ssp. Tenuipes Reverted Lisa,https://www.ebay.com/itm/114822195948?hash=item1abbefaaec:g:oFQAAOSwqOVgX7vs,$9.99,"Saint Louis, Missouri, United States",https://i.ebayimg.com/images/g/oFQAAOSwqOVgX7vs/s-l300.jpg,greattreasuretrove,https://www.ebay.com/usr/greattreasuretrove?_trksid=p2047675.l2559,Instant,0,0,1,"May 23, 2021 18:42:00 PDT"
item3ffb0774a7,"Hoya Australis ""Lisa"" - Variegated Hoya -  Well Rooted Plant",https://www.ebay.com/itm/274794509479?hash=item3ffb0774a7:g:3k0AAOSwTI5gm0YF,$20.00,"Simi Valley, California, United States",https://i.ebayimg.com/images/g/3k0AAOSwTI5gm0YF/s-l300.jpg,paintedleaves.plantstore,https://www.ebay.com/usr/paintedleaves.plantstore?_trksid=p2047675.l2559,Instant,0,0,1,"May 13, 2021 14:51:20 PDT"
item3b5ee5963b,hoya australis lisa,https://www.ebay.com/itm/254995174971?hash=item3b5ee5963b:g:L88AAOSwvElgr9bs,$50.00,"North Port, Florida, United States",https://i.ebayimg.com/images/g/L88AAOSwvElgr9bs/s-l300.jpg,dramos31-941,https://www.ebay.com/usr/dramos31-941?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f5128be7,hoya australis lisa,https://www.ebay.com/itm/154435488743?hash=item23f5128be7:g:KiwAAOSw9Z1ggFbg,$28.00,"Saint Albans, New York, United States",https://i.ebayimg.com/images/g/KiwAAOSw9Z1ggFbg/s-l300.jpg,irvin-sophi,https://www.ebay.com/usr/irvin-sophi?_trksid=p2047675.l2559,Instant,0,0,1,"May 09, 2021 03:40:02 PDT"
item23f51289de,Hoya Australis Lisa Variegated Australis -B,https://www.ebay.com/itm/154435488222?hash=item23f51289de:g:zuoAAOSw8FhggFUf,$28.00,"Saint Albans, New York, United States",https://i.ebayimg.com/images/g/zuoAAOSw8FhggFUf/s-l300.jpg,irvin-sophi,https://www.ebay.com/usr/irvin-sophi?_trksid=p2047675.l2559,Instant,0,0,1,"May 09, 2021 03:42:02 PDT"
item1f23ee0ec9,Hoya australis ssp. australis albomarginata/outer variegation,https://www.ebay.com/itm/133746790089?hash=item1f23ee0ec9:g:Ed4AAOSww~5gjFU0,$65.00,"Richmond, Virginia, United States",https://i.ebayimg.com/images/g/Ed4AAOSww~5gjFU0/s-l300.jpg,bunnycuteness,https://www.ebay.com/usr/bunnycuteness?_trksid=p2047675.l2559,Instant,0,0,1,"May 06, 2021 19:02:03 PDT"
item4231aee9b5,Hoya Australis ssp. Tenuipes Actual Plant for Sale  rooted cutting,https://www.ebay.com/itm/284301388213?hash=item4231aee9b5:g:KJIAAOSwqTdgpuLh,$30.00,"Saint Louis, Missouri, United States",https://i.ebayimg.com/images/g/KJIAAOSwqTdgpuLh/s-l300.jpg,octave715,https://www.ebay.com/usr/octave715?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 12:15:40 PDT"
item23f66c6067,hoya australis lisa variegated rooted,https://www.ebay.com/itm/154458153063?hash=item23f66c6067:g:wocAAOSwNj1go27U,$35.00,"Oakland, California, United States",https://i.ebayimg.com/images/g/wocAAOSwNj1go27U/s-l300.jpg,trailingdude,https://www.ebay.com/usr/trailingdude?_trksid=p2047675.l2559,Instant,0,0,1,"May 30, 2021 00:43:52 PDT"
item1d06c2fa30,Hoya Australis 3 node cutting beautiful Hoya - Easy Care -  FREE SHIPPING,https://www.ebay.com/itm/124667492912?hash=item1d06c2fa30:g:ulUAAOSw1EZe9Vzg,$19.99,"Clearwater, Florida, United States",https://i.ebayimg.com/images/g/ulUAAOSw1EZe9Vzg/s-l300.jpg,ohboyahoya,https://www.ebay.com/usr/ohboyahoya?_trksid=p2047675.l2559,Instant,0,0,2,Unknown
item3b5e8600f1,Hoya australis rooted cutting #F,https://www.ebay.com/itm/254988910833?hash=item3b5e8600f1:g:fZEAAOSw1yBgqahG,$14.99,"Ozark, Arkansas, United States",https://i.ebayimg.com/images/g/fZEAAOSw1yBgqahG/s-l300.jpg,eagletactical1,https://www.ebay.com/usr/eagletactical1?_trksid=p2047675.l2559,Instant,0,0,1,"May 22, 2021 18:49:14 PDT"
item2b03c8e6a3,"Hoya Australis - 2.5""",https://www.ebay.com/itm/184747091619?hash=item2b03c8e6a3:g:gZ8AAOSwrDVgaqby,$16.99,"US, United States",https://i.ebayimg.com/images/g/gZ8AAOSwrDVgaqby/s-l300.png,hgarden5,https://www.ebay.com/usr/hgarden5?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2b030fed73,"Hoya Australis - 4""",https://www.ebay.com/itm/184734969203?hash=item2b030fed73:g:P1MAAOSwJepgYxpn,$17.99,"CA, United States",https://i.ebayimg.com/images/g/P1MAAOSwJepgYxpn/s-l300.jpg,paypay0461-5,https://www.ebay.com/usr/paypay0461-5?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
