id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item4224573772,collection unmounted butterfly nymphalidae limenitis populi CHINA #2,https://www.ebay.com/itm/284077537138?hash=item4224573772:g:r9wAAOSwV65fhakJ,$39.00,"mainland, China",https://i.ebayimg.com/images/g/r9wAAOSwV65fhakJ/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 00:20:13 PST"
item4224573775,collection unmounted butterfly nymphalidae limenitis populi CHINA #4,https://www.ebay.com/itm/284077537141?hash=item4224573775:g:pDoAAOSwCwJfhauq,$29.00,"mainland, China",https://i.ebayimg.com/images/g/pDoAAOSwCwJfhauq/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 00:20:13 PST"
item4224573776,collection unmounted butterfly nymphalidae limenitis populi CHINA #1,https://www.ebay.com/itm/284077537142?hash=item4224573776:g:2k4AAOSwXrVfhad1,$29.00,"mainland, China",https://i.ebayimg.com/images/g/2k4AAOSwXrVfhad1/s-l300.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 00:20:14 PST"
item4231f2d75f,Couple Limenitis Populi from Germany,https://www.ebay.com/itm/284305839967?hash=item4231f2d75f:g:HxUAAOSwU9Rgq-yy,$59.69,"Eberswalde, Germany",https://i.ebayimg.com/images/g/HxUAAOSwU9Rgq-yy/s-l300.jpg,saperda_scalaris,https://www.ebay.com/usr/saperda_scalaris?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item28b209c9b9,"25 Limenitis Populi tremulae, Germany Rhön",https://www.ebay.com/itm/174785677753?hash=item28b209c9b9:g:clkAAOSwflxgq8-E,$13.28,"Bad Nauheim, Germany",https://i.ebayimg.com/images/g/clkAAOSwflxgq8-E/s-l300.jpg,hxxxxx1,https://www.ebay.com/usr/hxxxxx1?_trksid=p2047675.l2559,Auction,0,0,1,"May 29, 2021 09:19:28 PDT"
item4451257bc6,Limenitis Populi jezoensis *** RARE Female No 1 *** Japan,https://www.ebay.com/itm/293419187142?hash=item4451257bc6:g:h4UAAOSwPqBdrdwD,$121.69,"Miami Playa, Spain",https://i.ebayimg.com/images/g/h4UAAOSwPqBdrdwD/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:40 PST"
item46b4009923,Limenitis Populi *** PAIR *** Germany,https://www.ebay.com/itm/303667648803?hash=item46b4009923:g:LtIAAOSwy7pfSM5H,$115.72,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/images/g/LtIAAOSwy7pfSM5H/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 03, 2021 09:24:07 PST"
item46a686bbc9,Limenitis Populi jezoensis *** Female No 3 *** Japan,https://www.ebay.com/itm/303441558473?hash=item46a686bbc9:g:HNsAAOSwlFFdrd7P,$121.69,"Miami Playa, Spain",https://i.ebayimg.com/images/g/HNsAAOSwlFFdrd7P/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:17 PST"
item46a686bc24,Limenitis Populi jezoensis *** Female No 2 *** Japan,https://www.ebay.com/itm/303441558564?hash=item46a686bc24:g:2p4AAOSw8Otdrd17,$115.60,"Miami Playa, Spain",https://i.ebayimg.com/images/g/2p4AAOSw8Otdrd17/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:18 PST"
item4451256ab9,Limenitis Populi jezoensis *** times no 1 *** Japan,https://www.ebay.com/itm/293419182777?hash=item4451256ab9:g:RSsAAOSw0fZdrdzs,$60.79,"Miami Playa, Spain",https://i.ebayimg.com/images/g/RSsAAOSw0fZdrdzs/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:23:47 PST"
item46a686b212,Limenitis Populi jezoensis *** times no 3 *** Japan,https://www.ebay.com/itm/303441555986?hash=item46a686b212:g:w1QAAOSwW1Ndrd-A,$60.79,"Miami Playa, Spain",https://i.ebayimg.com/images/g/w1QAAOSwW1Ndrd-A/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:19 PST"
item46a686ae26,Limenitis Populi jezoensis *** times no 2 *** Japan,https://www.ebay.com/itm/303441554982?hash=item46a686ae26:g:PZ4AAOSwZ~ldrd4Y,$60.79,"Miami Playa, Spain",https://i.ebayimg.com/images/g/PZ4AAOSwZ~ldrd4Y/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:23 PST"
item1f0bf050df,Large Small Kingfisher Limenitis Populi colour printing of 1961 Butterflies,https://www.ebay.com/itm/133344284895?hash=item1f0bf050df:g:PVkAAOSwqwxeVUQw,$10.35,"Kassel, Germany",https://i.ebayimg.com/images/g/PVkAAOSwqwxeVUQw/s-l300.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 31, 2020 08:25:49 PST"
item21896238fa,Large Kingfisher Limenitis Populi stains Moth Butterfly Colour Print 1956,https://www.ebay.com/itm/144038836474?hash=item21896238fa:g:3ggAAOSwV~lf8flP,$11.57,"Buchhorst, Germany",https://i.ebayimg.com/images/g/3ggAAOSwV~lf8flP/s-l300.jpg,ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1aa2bb913f,Butterfly LIMENITIS POPULI postcard,https://www.ebay.com/itm/114399351103?hash=item1aa2bb913f:g:giUAAOSw3tNfWG0s,$3.54,"Transylvania, Romania",https://i.ebayimg.com/images/g/giUAAOSw3tNfWG0s/s-l300.jpg,cartographerro,https://www.ebay.com/usr/cartographerro?_trksid=p2047675.l2559,Instant,0,0,4,"Dec 15, 2020 13:31:33 PST"
item4b8b0e22e4,Ukraine 2020 1 zlotnik Poplar admiral / Limenitis populi Ukrainian red book,https://www.ebay.com/itm/324455506660?hash=item4b8b0e22e4:g:pCYAAOSwWdVgBGar,$4.24,"Kyiv, Ukraine",https://i.ebayimg.com/images/g/pCYAAOSwWdVgBGar/s-l300.jpg,vrybak,https://www.ebay.com/usr/vrybak?_trksid=p2047675.l2559,Instant,0,0,6,Unknown
item2d0ee1e0ab,1993-romania-limenitis populi-scott 3832 a1086 105l,https://www.ebay.com/itm/193523212459?hash=item2d0ee1e0ab:g:02gAAOSwxDBe6oO5,$1.83,"Santiago, Metropolitana, Chile",https://i.ebayimg.com/images/g/02gAAOSwxDBe6oO5/s-l300.jpg,emperatoriii,https://www.ebay.com/usr/emperatoriii?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2021 11:52:10 PDT"
item2d289e64b8,Ukraine 1 zlotnik 2020 UNC Butterfly Limenitis Populi Red Book,https://www.ebay.com/itm/193954997432?hash=item2d289e64b8:g:zYEAAOSwL3BgTNE-,$3.90,"Budapest, Hungary",https://i.ebayimg.com/images/g/zYEAAOSwL3BgTNE-/s-l300.jpg,annamaria79,https://www.ebay.com/usr/annamaria79?_trksid=p2047675.l2559,Instant,0,0,4,"Apr 12, 2021 11:21:34 PDT"
