id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item5973d13918,"Lycaeinidae LYCAENA phlaeas aestivus, times from Sardinia",https://www.ebay.com/itm/384195180824?hash=item5973d13918:g:1nUAAOSwsApgs7Wg,$1.22,"Vilnius, default, Lithuania",https://i.ebayimg.com/images/g/1nUAAOSwsApgs7Wg/s-l300.jpg,galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item5973d13ada,"Lycaeinidae LYCAENA phlaeas aestivus, female from Sardinia",https://www.ebay.com/itm/384195181274?hash=item5973d13ada:g:ZFAAAOSwJJJgs7W2,$1.22,"Vilnius, default, Lithuania",https://i.ebayimg.com/images/g/ZFAAAOSwJJJgs7W2/s-l300.jpg,galijotas,https://www.ebay.com/usr/galijotas?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item4218b350a7,Butterfly Lycaenidae Lycaena phlaeas,https://www.ebay.com/itm/283882246311?hash=item4218b350a7:g:eT0AAOSwcUlewilV,$2.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/images/g/eT0AAOSwcUlewilV/s-l300.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"May 19, 2020 23:35:47 PDT"
item23f3c2d4f4,"Lycaena phlaeas (Linnaeus, 1761) Poland79a",https://www.ebay.com/itm/154413487348?hash=item23f3c2d4f4:g:JVMAAOSwaC5gddvx,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/JVMAAOSwaC5gddvx/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f3c2d658,"Lycaena phlaeas (Linnaeus, 1761) Poland80a",https://www.ebay.com/itm/154413487704?hash=item23f3c2d658:g:1rUAAOSwJKVgddwN,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/1rUAAOSwJKVgddwN/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f3c2d95c,"Lycaena phlaeas (Linnaeus, 1761) Poland81a",https://www.ebay.com/itm/154413488476?hash=item23f3c2d95c:g:L74AAOSwu~dgddw4,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/L74AAOSwu~dgddw4/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f3c2db75,"Lycaena phlaeas (Linnaeus, 1761) Poland82a",https://www.ebay.com/itm/154413489013?hash=item23f3c2db75:g:-LIAAOSwsMpgddxa,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/-LIAAOSwsMpgddxa/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23f3c2e091,"Lycaena phlaeas (Linnaeus, 1761) Poland83a",https://www.ebay.com/itm/154413490321?hash=item23f3c2e091:g:nzQAAOSwvTxgddyU,$4.49,"Gotelp, Poland",https://i.ebayimg.com/images/g/nzQAAOSwvTxgddyU/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23dfe66ca4,"Lycaena phlaeas (Linnaeus, 1761) x2 Poland72f",https://www.ebay.com/itm/154080275620?hash=item23dfe66ca4:g:GcEAAOSw-u9fWNmw,$6.93,"Czarna Woda, Poland",https://i.ebayimg.com/images/g/GcEAAOSw-u9fWNmw/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 09, 2020 05:35:28 PST"
item447f26dac5,Card image Heodes phlaeas small copper butterfly common copper butterfly 1963,https://www.ebay.com/itm/294191028933?hash=item447f26dac5:g:-ocAAOSwOXRd05NG,$6.08,"Varna, Bulgaria",https://i.ebayimg.com/images/g/-ocAAOSwOXRd05NG/s-l300.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
