id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3dbc13421a,Red-spotted Purple Butterfly Tear Drop Glass Ornament by Marjolein Bastin,https://www.ebay.com/itm/265148383770?hash=item3dbc13421a:g:HIEAAOSwzQ5gkYWD,$14.95,"Sparta, Illinois, United States",https://i.ebayimg.com/images/g/HIEAAOSwzQ5gkYWD/s-l300.png,trapperscabin48,https://www.ebay.com/usr/trapperscabin48?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2021 13:37:30 PDT"
item2ede5ed2b7,RED SPOTTED PURPLE BUTTERFLY JFK Kennedy Half Dollar US Colorized Coin,https://www.ebay.com/itm/201299251895?hash=item2ede5ed2b7:g:aboAAOSwXXVatdLc,$8.95,"Freeport, New York, United States",https://i.ebayimg.com/images/g/aboAAOSwXXVatdLc/s-l300.jpg,ecoins,https://www.ebay.com/usr/ecoins?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Apr 30, 2021 00:30:46 PDT"
item48ac7196dc,RED SPOTTED PURPLE Butterfly Series JFK Kennedy Half Dollar U.S. Coin NEW,https://www.ebay.com/itm/312130770652?hash=item48ac7196dc:g:d5gAAOSw7aFa8e53,$8.95,"Freeport, New York, United States",https://i.ebayimg.com/images/g/d5gAAOSw7aFa8e53/s-l300.jpg,poloblade,https://www.ebay.com/usr/poloblade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Apr 29, 2021 18:12:12 PDT"
item2f53710e4d,Red Spotted Purple Butterfly Dome,https://www.ebay.com/itm/203263381069?hash=item2f53710e4d:g:dQMAAOSwvD5aN0Dq,$44.00,"Newport, North Carolina, United States",https://i.ebayimg.com/images/g/dQMAAOSwvD5aN0Dq/s-l300.jpg,papilio28570,https://www.ebay.com/usr/papilio28570?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2b0a4db63b,ACEO ORIGINAL RED SPOTTED PURPLE BUTTERFLY insects animals wildlife NATURE EMMA,https://www.ebay.com/itm/184856458811?hash=item2b0a4db63b:g:8RIAAOSwIQ9gpUGJ,$15.00,"Warszawa, MAZOWIECKIE, Poland",https://i.ebayimg.com/images/g/8RIAAOSwIQ9gpUGJ/s-l300.jpg,akjam13,https://www.ebay.com/usr/akjam13?_trksid=p2047675.l2559,Auction,1,0,1,Unknown
item4b7f926631,Post Card Red-Spotted Purple Butterfly Field Museum of Natural History Vintage,https://www.ebay.com/itm/324262848049?hash=item4b7f926631:g:JSQAAOSwS-xfOEYV,$5.07,"Jasper, Arkansas, United States",https://i.ebayimg.com/images/g/JSQAAOSwS-xfOEYV/s-l300.jpg,princessalexabelle,https://www.ebay.com/usr/princessalexabelle?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item549398dfc5,LENOX RED SPOTTED PURPLE BUTTERFLY FLOWER sculpture NEW in BOX with COA,https://www.ebay.com/itm/363253522373?hash=item549398dfc5:g:TwgAAOSwokxdJCIE,$74.95,"Bristol, Pennsylvania, United States",https://i.ebayimg.com/images/g/TwgAAOSwokxdJCIE/s-l300.jpg,nanu5,https://www.ebay.com/usr/nanu5?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2f02e5e47b,2014 $20 Red-Spotted Purple DC (Proof) Silver Commemorative,https://www.ebay.com/itm/201912083579?hash=item2f02e5e47b:g:tK4AAOSwhvFZBlRF,$62.09,"Oakville, Ontario, Canada",https://i.ebayimg.com/images/g/tK4AAOSwhvFZBlRF/s-l300.jpg,djtcollectibles,https://www.ebay.com/usr/djtcollectibles?_trksid=p2047675.l2559,Instant,0,0,2,"Mar 27, 2021 12:54:02 PDT"
item5dab3c2245,ARTCANVAS Red Spotted Purple Butterfly Canvas Art Print,https://www.ebay.com/itm/402304803397?var=672263871504&hash=item5dab3c2245:g:hH0AAOSwaL5e8c6a,$59.99 to $82.49,"Niles, Illinois, United States",https://i.ebayimg.com/images/g/hH0AAOSwaL5e8c6a/s-l300.jpg,artcanvas,https://www.ebay.com/usr/artcanvas?_trksid=p2047675.l2559,Instant,0,0,3,"Jul 01, 2020 14:25:26 PDT"
item21880217c8,Wild Wings Collection Ornament - RED SPOTTED PURPLE BUTTERFLY -WW-ORN-4641560825,https://www.ebay.com/itm/144015759304?hash=item21880217c8:g:pMQAAOSwYJdggCZD,$14.95,"Crossville, Tennessee, United States",https://i.ebayimg.com/images/g/pMQAAOSwYJdggCZD/s-l300.jpg,thegoodlife1,https://www.ebay.com/usr/thegoodlife1?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 22, 2021 08:31:52 PDT"
item447e26d4ac,"Red-spotted Purple, Butterflies, Insects, Dominica 1999 MNH",https://www.ebay.com/itm/294174250156?hash=item447e26d4ac:g:vv0AAOSwnWBeuDGJ,$1.40,"Bhiwandi, Dist - Thane, MH, India",https://i.ebayimg.com/images/g/vv0AAOSwnWBeuDGJ/s-l300.jpg,kamalmedicine,https://www.ebay.com/usr/kamalmedicine?_trksid=p2047675.l2559,Instant,0,0,1,"May 24, 2021 20:53:32 PDT"
